"X","hand.label","expert.ind","max.class","verified","username","description","hand.label_simplified"
42,"acad","yes","acad",FALSE,"FWCRIC","FWC's technical research library with an extensive scientific catalog and publishing services; located @MyFWC in St. Petersburg, Florida.","acad"
43,"acad","no","acad",FALSE,"DelaneyKirk","Professor Emeritus. Studying Italian & Spanish. Mah Jongg player. Ailurophile. Watercolorist. Married with 2 Ragdoll cats. Learning to play the piano.","acad"
44,"acad","yes","acad",FALSE,"EddieGreatLakes","Great Lakes Engineer/Scientist.:rainbow flag:. Yooper at heart. he/him. @freeboardtech @limnotech, @iaglr Past President. dog dad. clean lakes are my passion.","acad"
45,"acad","yes","acad",FALSE,"SpringMorning74","Hoosier/Gator Project Manager Env Scientist &Engineer, Puerto Rican and Voter. We can't let Evil stand. she/her","acad"
47,"acad","no","acad",FALSE,"tbhallock","Teacher-scholar-writer-gardener-dad. Transplanted New Yorker, Professor of English & Florida Studies @USF. #RoadCourse #Creekshed #CityWilds. I try to do good.","acad"
48,"acad","no","acad",FALSE,"civilrights_lit","Writes/edits books on civil rights literature + pedagogy. Next: Learning from Birmingham @UnivofALPress. #NYU grad, #USF prof, opinions my own","acad"
49,"acad","no","acad",FALSE,"academicknight","Speech Adjunct Prof. & UCF alumna who lives by Seinfeld quotes. Extemporaneous speaker & spontaneous tweeter. """"Brevity is the soul of wit."""" -William Shakespeare","acad"
50,"acad","no","acad",FALSE,"ResearchCoach","Former Candidate Georgia Secretary of State-Licensing Division 2022; Arbitrator; Natural Genetics Healthcare Scientist; Data Diplomacy; US Marine/GA Army Guard","acad"
51,"acad","no","acad",FALSE,"AudreyGarden","Genealogy researcher  #RESISTANCE #TheResistance  Happily married and mother to 1 son No Lists Please.  #BlackLivesMatter  #FBR #PRU","acad"
55,"acad","no","acad",FALSE,"hdafridi2","professor and chairman orthopaedic dept Dow university of health science s Karachi Pakistan","acad"
59,"acad","no","acad",FALSE,"JoeBidenmyPOTUS","#resister, professor, dog lover #FBR #resist #impeachtrumpnow Alabama fan. #RTR #pride","acad"
61,"acad","no","acad",FALSE,"THEWRENCHLEFT","Writer. Philosophy professor/PhD. Climate, human rights, animal welfare defender. Blocked by Christo-Fascist, MAGAGOP J6 traitor and slimy coward DougMastriano.","acad"
63,"acad","no","acad",FALSE,"AerogelMaker","Proud Scientist; Cat lover; Rabid A's and Warriors Fan #Resistance","acad"
65,"acad","no","acad",FALSE,"Amatodeb","Professor of Educational Psychology #Resist #TheResistance #TeamPelosi #Womensrights #BlueCrew","acad"
66,"acad","no","acad",FALSE,"MOVEprofPHD","African Diaspora storytelling/narrative scholar, Ethnographer. Full Comm. Prof. at PWI, 3rd Gen. military, retired USAF officer. All views  are my own.","acad"
70,"acad","no","acad",FALSE,"KathleeRowlands","Emeritus Professor of Secondary Education and Previous Director of the Cal State Northridge Writing Project. Retired back to Hawai`i to be close to family.","acad"
71,"acad","no","acad",FALSE,"jricole","Professor of History, U of Michigan: Global affairs, Environment, Human Rights, Progressive Politics, Poetry & Literature, Pop Culture, Spirituality","acad"
73,"acad","no","acad",FALSE,"onlywaytomoMD","Avid Miami Heat fan. Johns Hopkins + UM alumni. Physician. Assistant Professor of Medicine. my views are my own. RT does not equal endorsement #BlackLivesMatter","acad"
76,"acad","no","acad",FALSE,"WolffieWolf","Researcher, activist, parent of two kids and two cats. Don’t believe the polls. VOTE! #RemoveTrump #Resist","acad"
77,"acad","no","acad",FALSE,"Pharma_Pro","Scientist","acad"
81,"acad","no","acad",FALSE,"KenLevy2020","LSU Law professor, philosopher, ousiologist, animal lover, cheesehead. (he/him/his) https://t.co/pPbZuAL71r…","acad"
83,"acad","no","acad",FALSE,"JHillport","Jeannette is a professor.","acad"
84,"acad","no","acad",FALSE,"lynchem1","Wife/mom/grandmom, education professor, adv. 4 kids w/ disabilities, Cengage author, knitter, ocean/animal lover, Buckeye/TarHeel/Reds fan, Progressive.","acad"
86,"acad","no","acad",FALSE,"jk_kause","scientist, nature lover, medical professional, environmentalist, art enthusiast and recent political activist. Resist. Basta! #BlueWave","acad"
88,"acad-media","no","acad",FALSE,"GolfWriterKiel","Publisher, https://t.co/Qz4tEWbSQ7. Former GC Senior Writer. Freelance golf, travel, food writer & poet. Real job:  Prof. of Educ Psy, Psy, Ling @ U of Illinois.","acad"
90,"acad","no","acad",FALSE,"stevedepo","Professor and former Head of Department of Communication, University of Cincinnati.  Proud member of Clifton United Methodist Church (https://t.co/naEHwyAqOn).","acad"
91,"acad","no","acad",FALSE,"AviFlyGirl","Scientist & Nature Lover.
:water wave::balance scale::peace symbol::rainbow::national park:#FlipSCBlue
#SCResistanceRoom Lead.
Followed by @Rosie @RoArquette @MorgFair @NancySinatra @JohnPavlovitz & @HarrisonJaime!","acad"
92,"acad","no","acad",FALSE,"CathyCathycab","engineer, scientist, mom, feminist, liberal
she/her","acad"
93,"acad","no","acad",FALSE,"CailinCoane","Writer of YA fantasy by night, research assistant by day :dragon: Neurodivergent, INFJ :books: Easily distracted by dogs :dog face: Owned by Sabrina the rescue beabull","acad"
94,"acad","no","acad",FALSE,"KCSunshineMom","Scientist. Geek. #GeekResist. INFJ4. #RebelScum #Resistance #FBR #WHOVIAN #LOTR #TREK #MontyPython #Miazaki #STARWARS The truth will prevail","acad"
96,"acad","no","acad",FALSE,"drdavidgould","The world is my campus: researcher, futurist, traveler, and systems thinker.","acad"
97,"acad","yes","acad",FALSE,"JonRConway","Environmental researcher and climate policy expert. (they/he)","acad"
98,"acad","no","acad",FALSE,"BeverlyDunning3","proud mom and grandma, clinical research coordinator in lymphoma research #FBR:water wave::water wave::water wave:#BLM #BidenHarris #GetVaxed #IStandWithUkraine","acad"
99,"acad","no","acad",FALSE,"PabonMatriarch","Retired, Political fanatic, Foreign Affs, reading & research, Love meaningful debate sans BS, stick to facts. No insults, No name calling.","acad"
100,"acad","no","acad",FALSE,"SteveWerkmyster","writer, reader, English professor, Husker fan. views are other people’s. author of Wrecked: A Novel in Fragments (thru Amazon). https://t.co/VVgS8aUS4y","acad"
103,"acad","yes","acad",FALSE,"odandydoo","Dad-Husband-Env Scientist-Deadhead Football Golf & Derby fan full of small talk & random thoughts / I'm Uncle Sam, that's who I am, Been hidin out in a R&R Band","acad"
105,"acad","no","acad",FALSE,"drbarb","Professor Emeritus Columbia College Chicago. https://t.co/OghM3yKuht board member.  On Twitter since '06.","acad"
108,"acad","yes","acad",FALSE,"msamorales","Environmentalist, Scientist, Despise injustice, love nature and animals.","acad"
109,"acad","no","acad",FALSE,"bmcinern","I came to Indiana from Alabama. Professor Emeritus of Educational Leadership at Purdue University. Episcopalian. Retweets are things I find interesting.","acad"
112,"acad","yes","acad",FALSE,"FrankSowa1","Comprehensive Anticipatory Design Scientist, R&D Data Tech, Strategist, Futurist, Researcher, Writer, frmr Knight-Ridder&Dix journalist, veteran, dad, #DemVoice","acad"
113,"acad","yes","acad",FALSE,"MollyTNation","Associate Professor of Environmental Education @FGCU :eagle:                        50th class of @AAAS_STPF  @EPA","acad"
115,"acad","no","acad",FALSE,"leoandpaddy",":flag: United States:#RESISTER, Mom, Gigi, Sister, RN, Adjunct Prof, #LifeLongDemocrat, Nature, Yeats, Chicago White Sox, The Holy Trinity, NO DIRECT MESSAGES :person gesturing NO: NO LISTS !!!!","acad"
116,"acad-gov","no","acad",FALSE,"Leslie_Waters","FSU; Allstate; Served in Florida House, Speaker Pro-Tempore; Leslie Waters Gov. Relations; Adjunct Prof.; IRI Global, Author, International Consultant; Mayor.","acad"
117,"acad","no","acad",FALSE,"cherylduckworth","Professor of conflict resolution at @nsuflorida. EIC at @pcsatnsu. Trustee at @alliance4intedu. Schools for peace & peace for schools. Views my own. She/her.","acad"
118,"real","no","acad",FALSE,"llgittens","Math Educator || Realtor @livingstone_re || Professor w/ @capoeiratampa || ICT '22-'23 Student
#breathair","tourbiz"
119,"acad","no","acad",FALSE,"ianasige","Geo-scientist #UAS #LiDAR #RADAR #GIS #RemoteSensing #Photogrammetry #ComputerVision #EarthObservation #DataScience
By GRACE, through FAITH (Ephesians 2:8-9)","acad"
120,"acad","no","acad",FALSE,"Hebrewlit","Professor of Cinema and Media Studies | covid- tired parent | shamelessly obsessed with Florida Man/Woman stories.","acad"
121,"acad","no","acad",FALSE,"DrLiebknicht","Brilliant mad scientist, philosopher, mischief-maker, citizen. Never turn your back on a Republican. #MaskUp #Resist #BidenHarrisToSaveAmerica","acad"
123,"acad","yes","acad",FALSE,"rumschsl","Research Ecologist with USEPA | Freshwater Community Ecology | Biodiversity, Disturbance, Disease - she/her, PhD :water wave: :frog: :woman technologist: medium-light skin tone:","acad"
124,"acad","no","acad",FALSE,"DrVickieLynn","PublicHealth, SocialWork educator/researcher/speaker #IntegratedCare #BehavioralHealth #HIV #BLM

#WordsMatter #MentalHealth #HumanRights

Tweets are all mine","acad"
125,"acad","no","acad",FALSE,"publiux","Dad. Husband. Law Professor. Lawyer. Pilot. Assistant Dean Bar Exam Preparation at the Florida International University (FIU) College of Law @fiulaw","acad"
127,"acad","yes","acad",FALSE,"alicia_reigel","Postdoc Researcher - Fiore Lab at App State (@SpongeSymbiont)
Marine Invert + Microbe Symbioses
#firstgen college grad
PhD - Hellberg Lab @LSU
She/Her","acad"
129,"acad","no","acad",FALSE,"jcequality","Mom/Wife #MarriageEquality/Soc. Scientist/Researcher/Youth Adv./Comprehensive Sexuality Ed. Trainer/Reproductive Health Adv./:red heart:Outdoors/Tennis/BOT @EmbarkCenter","acad"
131,"acad","no","acad",FALSE,"FabiSanchezS","Mom of 3 boys, catholic, born in Argentina where  I am a  Lawyer and University professor. Former PTA Pres .RTs are not endorsements.","acad"
132,"acad","yes","acad",FALSE,"jmklopp1","Research Scholar, @columbiaclimate, Columbia University; Politics, Land, Transport, Air Quality, Climate crisis, Tech, Cities, Anti-corruption -views my own","acad"
133,"acad","no","acad",FALSE,"ARhysTay","A behavioral scientist unearthing deceit: “It’s always been my function in life to render clearly what is already blindingly conspicuous.”- Quentin Crisp","acad"
134,"acad","no","acad",FALSE,"MichaelHendrick","Prayer Changes Things! Operatic tenor. Associate Professor of Voice at the University of Mobile’s Alabama School of the Arts. LaGrange, Georgia native.","acad"
135,"acad","yes","acad",FALSE,"MattWGray","Assistant Professor @UMCES, researching ecophysiology, restoration, and aquaculture","acad"
136,"acad","no","acad",FALSE,"USFResearch","Official Twitter account of USF Research & Innovation: the University of South Florida is home to world-class, world changing research.","acad"
138,"acad","no","acad",FALSE,"Marianichka","she/her Scientist, reader, trying to be steward of the earth, people person, sees through rose colored glasses, proud American who wants to make it better 4 all","acad"
139,"acad","no","acad",FALSE,"MarcoLDavila","Duke MD, PhD (Immunology), NY/Cornell Internal Medicine Residency, MSKCC Medical Oncology Fellowship, now full time physician-scientist","acad"
140,"acad","no","acad",FALSE,"maxalbanese","Associate Professor @ George Mason University
Associate Director @ Center for Secure Information Systems 
 :flag: Italy: :flag: United States:","acad"
141,"acad","yes","acad",FALSE,"josh_papacek","""""Environmental Scientist"""" :scientist:|@SoilWaterSci PhD @UF :crocodile:| Aquatic & wetland #Biogeochem :recycling symbol::water wave: | HABs & water quality :microbe::droplet:| Policy & Science :classical building: | :rainbow flag: he/him","acad"
142,"acad","no","acad",FALSE,"emcconnell96","Associate Professor of English and Humanities, Agnostic/activist, single mom, military brat, hippie-hearted, straight-talker, anti-nuclear, I block bots/morons","acad"
145,"acad","yes","acad",FALSE,"geekygenie","Ambivalent Scientist. Ph.D. in genetics, minor in biochemistry. Practicing virologist and molecular biologist. I stand with :flag: Ukraine:","acad"
146,"acad","no","acad",FALSE,"ClaytonRobins","Farming with Family (founded in 1891), Nuffield Scholar, researcher. Follower and Practitioner of Science, not fairy tales. Focused on resiliency in Ag systems.","acad"
147,"acad","no","acad",FALSE,"Greyshadow59","Scientist/consultant, avid supporter of equality for all people, lover of democracy, married to the love of my life, father of amazing children & grandchildren","acad"
149,"acad","no","acad",FALSE,"AdvanceUSF","The University of South Florida is a preeminent research university. Gifts to the USF Foundation impact teaching, research and student success.","acad"
150,"acad","yes","acad",FALSE,"ravinaproject","Our household is a self funded engineering science research project. Our work covers many areas including solar PV energy harvesting and Grid resiliency.","acad"
151,"acad","yes","acad",FALSE,"FLClimateInst","A network of Florida universities conducting cross-disciplinary climate research in service of society.","acad"
152,"acad","yes","acad",FALSE,"ChristineJoab","Environmental Scientist (CA). Big fan of mother Earth. Promoter of sustainability in hopes that all creatures big & small remain viable. All tweets my own.","acad"
153,"acad","yes","acad",FALSE,"c_duigan","environmental consultant, researcher; narrative nonfiction writer; water; culture; nature; heritage; Wales; Ireland; accepts commissions","acad"
154,"acad","yes","acad",FALSE,"ashevenell","Paleoceanographer, Associate Professor, Mom of human and Labradors, ADHD, doer of many things. Tweets are my personal views. She/her.","acad"
156,"acad","yes","acad",FALSE,"elprager","Marine scientist, chief scientist StormCenter & advisor Celebrity Cruises in the Galapagos. Author of popular science and sci-adventure books for all ages","acad"
157,"acad","yes","acad",FALSE,"SharpKoty","Marine microbial ecology, coral reef symbiosis, microbiomes, and Astrangia poculata. She/her/hers. @Mtholyoke & @Scripps_Ocean alum. Assoc Professor @myrwu","acad"
158,"acad","yes","acad",FALSE,"kwilson_coasts","Assistant Professor at @BostonCollege. Alumna of @txgeosciences, @UFGeology, & @PittTweet. Coastal geologist & professional beach bum. (she/her)","acad"
160,"acad","no","acad",FALSE,"martintadlock","Reader, writer, professor, chancellor, father, husband.","acad"
161,"acad","no","acad",FALSE,"virome_girl","Characterizing the world's virome - one virus at a time! Professor at USF, but tweets are my own. Trying Mastodon @virome_girl@mstdn.science","acad"
162,"acad","yes","acad",FALSE,"AGCGraham","Associate Professor, Geological Oceanography
University of South Florida","acad"
163,"acad","no","acad",FALSE,"meyer0656","Newsroom technology fellow and adjunct lecturer @UFJSchool
Data @FreshTakeFla 
Past: @TB_Times","acad"
164,"acad","yes","acad",FALSE,"geosuzanne","Geologist, prof@Wesleyan, climate, gardener, highlighting + changes to protect environment, STEM diversity activist. Born when Earth held 2.6 billion people.","acad"
165,"acad","no","acad",FALSE,"imcu1","#Researcher :shield:
@itu1773 
Member of @Galatasaray :yellow heart::red heart:","acad"
166,"media","no","acad",FALSE,"Lynda_UAP","Investigative Researcher-Writer-Consultant. Spotify Podcaster. INFJ Disabled. Faith/Prayer. Signal/PROTON.ME/Telegram https://t.co/BFb462RJPt","media"
167,"acad","no","acad",FALSE,"EricBernicker","Medical Oncologist in Houston, Texas. Interested in cancer research, climate change and the Grateful Dead. Opinions are my own and are not medical advice.","acad"
168,"acad","no","acad",FALSE,"tfmurray44","Professor/Provost Emeritus, Creighton University, Dept of Pharmacology & Neuroscience. Alum of University of Washington & NIMH Lab of Preclinical Pharmacology","acad"
172,"acad","no","acad",FALSE,"luisa_tasayco","PhD Chemistry
Emerita Professor Chemistry/Biochemistry CCNY
Biochemistry/Biophysics Graduate Center CUNY","acad"
175,"acad","no","acad",FALSE,"kathycalm","Researcher","acad"
178,"acad","no","acad",FALSE,"618444","Professor  of Literacy","acad"
179,"acad","no","acad",FALSE,"_DrFrusci","Adj Asst Prof @CUNY. Words at @MHEducation @SaberScroll @ProQuest @siadvance. @USarmy #veteran #twitterstorians #techgeek #cybersec #cloud #educator","acad"
180,"acad","no","acad",FALSE,"CedricMJohn","Reader (Professor), head of carbonate group,  interested in machine learning (in particular neural network) and clumped isotopes. Tweets are my own.","acad"
181,"acad","yes","acad",FALSE,"rthompson12105","Environmental engineer and scientist, bass guitarist, desert gardener, fanatic (golf). #JoeBiden #VoteBlue2022 #ClimateAction #BlueCrew","acad"
184,"acad","no","acad",FALSE,"DennisP220","Prof. Engr., Patriot, @EmoryUniversity, @KetteringU, @SAME_National, @NRA, Constitution, Range Designer. 8th ggf arrive in 1660, Honoring XII Corps. μολὼν λαβέ.","acad"
190,"acad","no","acad",FALSE,"clemoscatarina","Scientist CH profile catarinalc https://t.co/P5j5FZIfWw @Catissery","acad"
191,"acad","no","acad",FALSE,"DSiegel51","Professor / Southeast Missouri State University / :frog::snake::lizard::turtle::shark::crocodile::fishing pole:","acad"
192,"acad","no","acad",FALSE,"ValK05410225","Adjunct Psychology Professor, and runway model in South Florida","acad"
195,"acad","no","acad",FALSE,"hoboacademic","Associate prof at USF. Author of *Conflict Graffiti: From Revolution to Gentrification* & *Boxcar Politics*. Tweets my own not necessarily views of employer.","acad"
197,"acad","yes","acad",FALSE,"kwren88","Professor of Biology, UMaryland. Biodiversity, global change, wildlife disease, tropical biology, science policy & diplomacy. @KarenRLips@ScienceMastodon.com","acad"
198,"acad","yes","acad",FALSE,"KyleeDunham","Ph.D. Wildlife Sciences -- I model :crocodile::duck::bear:

Research Associate - Quantitative Population Ecologist @CornellBirds

she/her

Views are my own","acad"
200,"acad","no","acad",FALSE,"zibilith","Psych Ph.D., professor, nerd, mother of gingers, American in Canada. :flag: United States::red heart::flag: Canada: :Statue of Liberty::ballot box with ballot::raised fist: dark skin tone::raised fist: medium skin tone::raised fist: medium-light skin tone::sunflower::heart decoration::rainbow flag::microscope::globe showing Americas:","acad"
201,"acad","yes","acad",FALSE,"rgonzalezgil","#MarineBiologist & #DataAnalyst-Passionate about oceans & their secrets-Research on #ecology #TimeSeries #climatechange #plankton-#Rstats-Love hiking & piano :)","acad"
203,"acad","no","acad",FALSE,"flsciteacher","8th grade science teacher at Barrington MS in Lithia, FL, trainer for HSPS & ad junct professor for Florida Southern College","acad"
205,"acad","yes","acad",FALSE,"BMMRO","To promote conservation of marine mammals and their habitats through scientific research and educational outreach.","acad"
207,"acad","yes","acad",FALSE,"Winking_Buddha","Retired NASA-JSC PAO/Planner. Now: MSc. Certified Marine Naturalist. FAA Licensed Remote Pilot. Animal behavior researcher/writer/lecturer. Janis Joplin fan","acad"
208,"acad","no","acad",FALSE,"GrabowskiMIS201","Research on people, organizations & technology in large-scale, safety- and mission-critical systems. Jobs, internships, grad school opportunities, scholarships","acad"
209,"acad","no","acad",FALSE,"JenniferMeyer6","Assistant Professor of Public Health @uaanchorage @UAACOH
Opinions my own https://t.co/Y4nFyweEYY","acad"
212,"acad","no","acad",FALSE,"AntiAgingN","scientist, writer, martial artist, teacher, business owner","acad"
213,"acad","no","acad",FALSE,"AliFaizanali7","Passionate Researcher, Coffee lover, Teacher and much more..!!!","acad"
215,"acad","no","acad",FALSE,"jorge_lingo","Span & Ling Assoc Prof at UF. Bilingual code-switching, sentence processing. Personal account. Tweets on lang research & data sci. he/him/él :rainbow flag::flag: Chile::flag: U.S. Outlying Islands:","acad"
218,"acad","no","acad",FALSE,"Anygirl99","Epidemiologist, cancer research & public health by training, drug safety by vocation, multiple and varied interests all squeezed into (more or less) one feed.","acad"
221,"acad","no","acad",FALSE,"drbillelwood","1st-gen US PhD fostering human health and wellbeing through biopsychosocial research, practice, evaluation and faith--through personal tweets. he él lui siya","acad"
222,"acad","no","acad",FALSE,"debapack","Nursing Professor. Abstract Artist. I love dogs and cats equally. Ravenclaw!!!    she/her/hers :rainbow::dizzy:","acad"
224,"acad","yes","acad",FALSE,"GardinerLab","Associate Professor of Biology @NewCollegeofFl studying :shark: :fish: sensory ecology. :flag: Canada:/:flag: United States:. Academic mama. She/her. Opinions my own.","acad"
225,"acad","yes","acad",FALSE,"UNCims","Institute of Marine Sciences is Carolina's marine lab. Off-campus research, education, & outreach @UNC & @UNC_emes. Science for NC & beyond since 1894.","acad"
226,"acad","no","acad",FALSE,"fauhs_research","Dual enrolled FAUHS students doing faculty mentored undergraduate research","acad"
227,"acad","yes","acad",FALSE,"SpotASharkUSA","Engaging citizen scientists in sand tiger shark research & conservation | Joint project by NC Aquariums, SEZARC, WildMe, Duke, Coastal Studies Institute & more","acad"
228,"acad","yes","acad",FALSE,"DrAndreaDutton","Geologist. Obsessed w/ carbonates, isotopes, sea level & climate. Professor at Univ. Wisconsin-Madison. she/her FIND me on Mastadon @DrAndreaDutton@scicomm.xyz","acad"
229,"acad","yes","acad",FALSE,"HMBurleson",":woman student: medium-light skin tone:B.S. Marine Biology :woman teacher: medium-light skin tone: M.S. Nonprofit Leadership :briefcase: Coral Reef Research & Restoration :crab: @OLDBAYSeasoning enthusiast | thoughts are my own","acad"
232,"acad","yes","acad",FALSE,"hforout","Assistant Professor @VirginiaTechCEE. Interested in atmospheric science, air quality, and environmental flows. #transdisciplinary","acad"
234,"acad","yes","acad",FALSE,"pylodictis","_POST_ @pylodictis

rivers, native fish, quantitative ecology, teaching, research, and life-long learning. personal account, not affiliated with my employer","acad"
235,"acad","yes","acad",FALSE,"j_pye","Computer Scientist (Ocean Science) Habs fan. Opinions mine. @j_pye@mastodon.social","acad"
237,"acad","yes","acad",FALSE,"mcmsharksxx","Multi-hyphenate #LatinainSTEM :flag: Puerto Rico::flag: Mexico: (she/her) | wildlife educator & marine scientist :shark: #sharks #scicomm | writer: @forbesscience #WildSurvival @Scholastic","acad"
239,"acad","no","acad",FALSE,"livingarchitect","Professor of Regenerative Architecture, Department of Architecture, Campus Sint-Lucas, Ghent/Brussels, KU Leuven
livingarchitect@toot.site :mammoth:","acad"
240,"acad","yes","acad",FALSE,"AmyGiannotti","Environmental Scientist @AquastemConsult:seedling: Marine Ecologist • SciComm • Love spending time in, on, & under:droplet:• She/Her • Views are mine • :orange heart:UVA:blue heart:","acad"
242,"acad","yes","acad",FALSE,"dolphinsarasota","We are the world’s longest-running study of a wild dolphin population. Since 1970, our research has been helping humans save dolphins across the planet.","acad"
243,"acad","yes","acad",FALSE,"miguelwildlife","Conservation Biologist at @MyFWC | looking for mammalian mesopredator research opportunities | he/him/his | views = my own | #outdoorsforall","acad"
244,"acad","yes","acad",FALSE,"CINDYLAPITU",":shark::shark:Marine Ecologist. Shark research and conservation genetics. PhD candidate Predator Ecology and Conservation Lab FIU.:water wave:","acad"
245,"acad","yes","acad",FALSE,"peacecat92","Water protector (aka WQ scientist). Crocheter. Cheese enthusiast. Cat parent.","acad"
246,"acad","yes","acad",FALSE,"linds4fins","I'm a marine science educator, integrating shark research, data, and local marine ecosystems into curriculum & programs for Field School Foundation.","acad"
247,"acad","no","acad",FALSE,"sminaev2015","Professor of pediatric surgery #sminaev #SurgTweeting #pediatric #surgery #healthtech #digitalhealth #ILookLikeASurgeon #Health","acad"
248,"acad","no","acad",FALSE,"MarkVinPaul","Assistant Prof of Econ @RutgersU @blousteinschool. PhD @UMassEcon. Book THE ENDS OF FREEDOM @UChicagoPress coming May, 2023. Pre-order: https://t.co/0EI2UFYkG5","acad"
249,"acad","yes","acad",FALSE,"FrontMarineSci","@FrontiersIn #MarineScience is the 3rd most-cited journal in its field.

Read our research & submit https://t.co/E5bbsRviyj
Suggest an idea https://t.co/TgZAhWrUOT","acad"
250,"acad","yes","acad",FALSE,"drmallickseeme1","I teach Energy Economics and Agriculture Economics. My research work is on Environmental Economics. I am interested in working on Circular Economy.","acad"
251,"acad","yes","acad",FALSE,"Elasmo_Gal","Sawfish Researcher. Shark Scientist. Environmental Educator. @miss_elasmo President/CEO. profile pic by @annabelgong learningwithjasmin@gmail.com","acad"
254,"acad","yes","acad",FALSE,"UNCW_CMS","The Center for Marine Science at UNCW is dedicated to providing an environment that fosters a multidisciplinary approach to questions in basic marine research.","acad"
255,"acad","no","acad",FALSE,"stargazermcb","Associate Professor 
College of Public Health 
University of South Florida
Opinions are my own but you can't scare me, I live in Florida.","acad"
