"username","description","verified"
"TedBraverman","Freelance Photographer, Video Creator, IT Specialist #Travel #Outdoor #Enthusiast 🍃#photography #videography #consulting #ITSpecialist 🇮🇪 🇺🇦 🇺🇸",FALSE
"gotoPRpros","Strategic PR for business. Lover of space, community, baseball and chocolate. Opinions are my own.",FALSE
"Janewat72","If my life was interesting I'd be hilarious!",FALSE
"lindarazz","",FALSE
"Mctowers","Computer repair 
🖥️💻⌨️💽💾🖱️🖲️💿📀",FALSE
"BytorNSnowdog","""""In the Age of Information, ignorance is a choice."""" #Yooper No amount of evidence will ever convince an idiot. I am anti-fascist. #ElectionsHaveConsequences",FALSE
"kellyraley","Wife, mom, Christ follower, hunter, teacher, Goldendoodle mama, and lover of all things outdoors! Heaven is in Sanibel.",FALSE
"cacroxie","Nature lover. Animal Lover. Ocean Lover. Music Lover. Artist 4 peace  love & the planet 🌎 You may say I'm a dreamer but I'm not the only one ☮💚🌻✌🌎",FALSE
"snookman342244","fish master troll basher redneck thats proly goin spell most shit wrong. most likely gonna offend ya. probably shouldn't follow me. dont say i didn't tell ya",FALSE
"Trekmark8","FL native & graduate of the Ringling College of Art & Design; creator of the online animated series 'Stone Trek’.",FALSE
"Shanee_O5K","CPA_Mom_Libertarian_We need more honest discourse #BlackLivesMatter #cleanwater #climatechange #SaveTheBees #HealthcareForAll #LGBT  #Cannabusiness",FALSE
"KindnessLives","I live in gratitude. Author of Muscle Hugs, a spiritual approach to muscle pain.",FALSE
"moose196850","Cincinnati Sports fan, Father of 2 boys and 30 years with my wife. Fitness & Health are up on the list of priorities. Life’s been good. #67 Volson Superfan.",TRUE
"mimi12498","Family, #military daughter,sibling,wife & grandmother. #flip WH & Senate to blue 2022#FreePress #electionReform #VOTE BLUE To save America #🧩🆘#wearadamnmask",FALSE
"mcgottman99","and we’ll all float on okay... BLM • she/her",FALSE
"OOPinellas","OOP is one of many groups that make up the Opt Out Florida Network. This account, like all Opt Outs, is ran by an individual & not @OptOutFLNetwork.",FALSE
"Gamedawg18","",FALSE
"Melissa89431446","Mom of 3 Nana of 9. we are all human beings, except 45, he is inhumane",FALSE
"BeachyGirlNancy","Enjoying life at the beach and Harley's every single day!",FALSE
"lapinskilucas","Live and breathe sports especially @packers and @raptors as well as my beloved soccer team @LegiaWarszawa. Live where you vacation! #BradentonFL",FALSE
"BagalueSunab","We are a member of the coalition of small island and low-lying coastal countries that share similar development challenges and concerns",FALSE
"eraromeros","MI-NY-MI-NY-Philly - Someday NM???",FALSE
"Chicostephenso1","I am a very intelligent teenager trapped in an adult body.  I dig writing, tech, movies, books, history, cycling,  laughing, and food that's bad for me.",FALSE
"MyBeachChair","Proud Army mom & animal lover. Worried about what is happening in our country, our environment & what will be left for my grandchildren.",FALSE
"funkydubi","",FALSE
"Ancientbob","Searching for truth and integrity in a world of hypocrites. Save a life...adopt a pet. Navy Vet, Blue Water, (HM1), MCB, retired nurse. UND alum  @VVAmerica.",FALSE
"CarolMc33990729","",FALSE
"trendrewards1","Microsoft  Innovation Award Winner 🏆 Hellsinki 2008 / MLearner
(NEXT)New Xchange Trade FMCG Platform
 @Trendrewards1 @CitrusRamaphosa
 trendrewards@gmail.com",FALSE
"MWashDrum","Musician Entertainer Photographer Teacher. Masterwork Cymbals Artist #music #drums #arts #travel https://t.co/hewrjr8UZH",FALSE
"seniorsvscrime1","Seniors Vs Crime Project, Florida Attorney General#, volunteer staff https://t.co/U9yC689ZYd - request assistance - find an office - volunteer !",FALSE
"RealBradenton","We bring people together! Realize Bradenton is a nonprofit dedicated to promoting the Bradenton area's arts, culture, heritage, and food.",FALSE
"sarahmkempf","",FALSE
"moonchld75","",FALSE
"artist57101","🎨📚 💚 National Parks🍀 I retweet different points of view.",FALSE
"Stan9450","I'm a lawyer dedicated to helping the injured and their families.",FALSE
"HATWFL","On September 12, 2018 thousands of people lined Florida's coast lines demanding action defending water and wildlife.",FALSE
"Leva3Eva","Hunters & Fishers promote's the necessity of hunting and fishing.",FALSE
"Cool_Breeze1979","#CommonSenseRevolution - #HumanRights - #AnimalRights - #EnvironmentFirst - #Atheist - Geek - Gym Junkie - Poker Enthusiast - #Leafs & #Oilers #NHL",FALSE
"NeetChanMAIN","Cute AND funny
JRPG dude and Gacha spender.
FFXIV/SMT/FE/EO/FFT/GBF/XC

he/him 25",FALSE
"TownofLBK","Official Twitter of the Town of Longboat Key | Feed not monitored 24/7. Social Media Terms https://t.co/HuJDA74UKA…",TRUE
"pux19","We’ve got up front fanatics, tearing down the barricade.",FALSE
"JeffPutterman1","Proud Father, Grandfather, Licensed Life & Health Insurance Agent, Health Insurance For All Americans! jpinsurance330@yahoo.com",FALSE
"vgliatti","Living in the moment! #CancerSurvivor #MeToo  Preserve Democracy! 🌻",FALSE
"Cheryl_Reynold","Love this country & our new Prez. Taxpayer. Voter.",FALSE
"DogWalkingDiary","Dog walker.  Chemically Sensitive (Environmental Sensitivities. Environmentally Friendly.  Against Fracking.  Animal lover. Vegan. Cycling Super Fan.",FALSE
"Jxnewton","Friendly Reminder:

“Our vote this year is about whether we ever get to vote again.”

— Rachel Maddow",FALSE
"lilmotza","Love my wife kids&grandkids Car&motorcycle crazy Old westerns comedies Old Rock&Roll 2-A 🐸 #BacktheBlue Trumper-MAGA",FALSE
"jaybee341","father of five daughters 
step dad to two men
leader of four members of the dog pack",FALSE
"lilitica","#YemenCantWait #FreePalestine #HandsOffNicaragua #HandsOffHaiti #HandsOffEthiopia #AbolishNATO",FALSE
"ianrkenilworth","Save the Bees, Save the Seas and Save the Music. All views are my own.",FALSE
"kimalyceosteen","*NO LISTS NO DMs* please 🌊 Miami Born, Free the Weed. Claim to Fame: saw the Beatles live 1964",FALSE
"davidgomeznm","Cedar Post Modernist.  Just some dude in Santa Fe.",FALSE
"ReneeWatson68","Retired Bull hauler.  #CowGirlUp #GenX #ArmyBrat  #FUCKFACISTS  #NeverTrump ~#Science",FALSE
"LuisSantana","📷 Staff Photographer at Tampa Bay Times 😎 👨‍👩‍👦‍👦 Dad & Husband 💰 Business Owner🛸 Drone Pilot 🐕 Dog Lover.",TRUE
"WarmGingerTea","Nom de net … Same on Counter Social, https://t.co/0V5B4M1P98& Rantt Media. #ProtectDemocracy #ResistFascism #SupportUkraine",FALSE
"kingofthe352","With three eyes, I have two to look and one to see...#ShiphLu #NIGIE #C4 #DJLgraphFX",FALSE
"nada_bonne","",FALSE
"inezrussell","#EditorialPageEditor, The Santa Fe New Mexican, #thenewmexican,",FALSE
"AmandaGranit","Chief Comms Officer at @HCSOSheriff. Grilled cheese is my spirit animal. That's all.",FALSE
"YourSouthFL","Your monthly source for serious & intelligent conversations designed to build community and bring a better understanding of our South Florida neighbors.",FALSE
"KathJimG","Katherine & Jim. Attorneys, Married & Parents & Retired Prosecutors. #GoBlue. UM'80.",FALSE
"AltRickScott","Rick Scott seems to like to pretend like he's Tom Riddle. Just here to remind you he's more like Voldemort. (R-Azkaban)",FALSE
"DebonairHustler","Picking winners at the racetrack since I was born, and doing it with class and style.  Welcome to the horse racing world of the Debonaire Hustler!",FALSE
"KENDALLKUBAN","Mind of a Queen, heart of a warrior 

Don’t be a fool & presume to know me",FALSE
"mpcoreno","",FALSE
"RegionRmx","Hi, im Region R or Roberto Serrano, a Mexican artist at your feet :v Email me at robertoserrano222@gmail.com",FALSE
"lynnenews1","|#RhettsMom|#WeatherJunkie|#Music|#Beach 🏖|#Crafter|#Fashion🛍|#VOLS🧡#BrainSurgerySurvivor|#Cats|#80s| @NBCOneChicago🚒|#JusticeForBritney| #GodIsMySavior!🙏",FALSE
"FarRightGirl","Radically Right fighting for preservation of the Constitution,the foes of the American Way of Life and restoring the Republic with like minded leadership.",FALSE
"SherrisLaw","Areas of Practice: Wrongful Death, Trucking, Auto & Motorcycle Accidents, All Injuries Law , Civil Rights, Immigration, Bankruptcy & SSDI and VA law",FALSE
"brendan0772","Technical Director 
Lakewood Ranch Chargers SC",FALSE
"tpagrl803","Bibliophile, lifter, instructional designer, higher ed pro, Tampa native, your mom. #Bucs #Rays #Lightning #Bulls Fan",FALSE
"GrandeTarpon","Grande Tarpon Charters - Boca Grande to Anna Maria Island Charter Fishing",FALSE
"judith_moroff","”I’m not going to censor myself to comfort your ignorance.” ….Jon Stewart. #Savage",FALSE
"TSuperstart","Football fanatic. Killing them in the land of the Terrapins. Tampa Bay",FALSE
"mcbaby123","mother, sister, daughter, wife, friend, jogger",FALSE
"krazysamina1","Spread Love nothing but Love. 
Hollywood and Bollywood movie Buff ! 

Realestate Investor and Crowd funding expert. Love you all so much 💖
Insta KrazySamina",FALSE
"Slimtimavgjim","",FALSE
"xAyannabananax","USF *ΑΦΩ💙💛 * SC/ IG: xayannabananax 👩🏾‍🏫",FALSE
"FallonSilcox","",FALSE
"tjm1208","Worked for NYS in Health Care analysis for 38 years",FALSE
"Chandra0816","Health specialist, writer, autism mom, and proud community member of Tampa Bay, Florida.",FALSE
"fsutoby","Mgr, #PR/Communications, @TrulyNolen. Past-Pres. @PRSAPalmBeach & @PRSAFTL. @floridastate alum, @RaysBaseball & @Seahawks fan. Opinions here are my own.",FALSE
"PinkieMichelle","I live in Bradenton Florida where I was born & raised. I'm 36 years old. I have 3 boys ages 19, 17 & 15. My family is my life. I live in a beautiful pink world!",FALSE
"saul_vera_music","Multi-intrumentista, compositor, docente, productor musical. Docencia y gerencia en accion. Tradicion y novedad 1 solo sonido. http://t.co/jvEDOPCGbv",FALSE
"poodlewalker10","I love my faith, family, friends, dogs, sports, & food. The good stuff in life. Live for eternity. Nothing on this earth will last. https://t.co/olfaO1z2TO",FALSE
"Evcoc54","If you're not outraged, you're not paying attention!

""""You must find a way to get in the way and get in good trouble, necessary trouble.""""",FALSE
"sjlnlgl5451","Retired nurse.wife,mother,grandmother, Conservative,educated trumper.2 nephews and 2 grandsons serving our country.Trump is my President.#MAGA by rt'in NO LISTS",FALSE
"pugdaddy","Never met a pug I didn't fall in love with. Have 5 + an puggle + a black Pomeranian.",FALSE
"mlondo856","When all is said and done, what counts is what's true, and how we all treated one another.",FALSE
"AscanioMatt","Pro-Life, adamant, libt@rd-hating Conservatarian; MBA Finance; ILLEGITIMI NON CARBORVNDVM- LVPVS NON TVRBATVR PER QVOT OVES VT SINT #MAGA",FALSE
"ACCTampaBay","The Association of Corporate Counsel Tampa Bay Chapter provides MCLE, networking, & service opportunities to in-house lawyers in the Tampa Bay Area.",FALSE
"john_p_morris","singer-actor + recovering christoholic. coping via psychology / personality typologies. they/them. enfp. 4w3sp/so. scroll for collective bio.",FALSE
"champyboy28","",FALSE
"acmemobileled","ACME Mobile LED is a family owned and operated mobile digital screen company. Marketing; billboards; movie nights; events; guerrilla marketing.",FALSE
"Vaderpic","",FALSE
"PeteyL12","Son, brother, uncle, human being, traveler and chicken wing connoisseur. Be well!",FALSE
"YourAuntieMame","MAGA!🇺🇸 The only one that can help us now is #45‼️",FALSE
"OBXNEST","The Network for Endangered Sea Turtles (N.E.S.T.) is a non-profit organization dedicated to the preservation and protection of sea turtles.",FALSE
"QueegRides","The Mighty Queeg has polished his balls and is ready for battle.",FALSE
"EmilyPesquera","Just a Jersey Girl living in a Florida world🤍
University of Tampa",FALSE
"maddy3939","Only measure your life in the love you have shared.",FALSE
"brit_nicole926","Licensed Massage Therapist @sapphirelotusmassage",FALSE
"SaraBay","We'll make you feel right at home! We are a locally owned office providing comprehensive brokerage services in the area.",FALSE
"StormChasingVid","https://t.co/R6DkYANebZ Twitter account.  If you are with the media and are looking to license content from us, please use the contact form on our website",FALSE
"ADRC1","Corporate culture creation, alignment and detoxification.",FALSE
"Hmmmthere","America- My home sweet home! 🇺🇸",FALSE
"Eric_OTR","OTR  LEO  GENTLEMAN... born and raised in the Nati but Florida on my mind.",FALSE
"HSoat050713","@NWMOSTATE'13,💚@NWBearcat_FB, & #FOX13GMM Uberfan. Love @TheHaroldLloyd films!! Banker-In-Training🏦 @CentralBankMW. Future Archivist.",FALSE
"jlax_13","",FALSE
"sarver1998","",FALSE
"PHeck16","I believe in the power of voting! Volunteering to encourage voting in my community.",FALSE
"cynthiaherrick_","[ Visual Designer / Photographer / Illustrator / Aspiring Writer ] My knight in shining armor was wearing a baseball uniform.",FALSE
"Kaleesa6","",FALSE
"bobheistFL","",FALSE
"BOX60326261","What can you say, just another foot soldier, waiting for the word. https:https://t.co/peHlMJnnPT GOP=Guilty Old Pedophiles No MAGA ppl",FALSE
"mediccaptfm","Air Force Veteran - Retired EMS Captain/FF/Paramedic - SpecOps - SWAT - No lists! #TheResistance #Indivisible #VeteransAgainstTrump #DemCastFL @TurnFL_Blue",FALSE
"SarasotaREguy","RE/MAX Alliance Group | Successfully Marketing + Selling Luxury Homes, Condos + Residential Real Estate since 1986. Come, Enjoy all that Sarasota has to offer",FALSE
"paigeepoop17","",FALSE
"GRGFLLC","Fishing Lifestyle Brand. Home of Fish or Die!, Get Boned, Fish Like A Pirate... Apparel and Gear",FALSE
"banana_crazy101","Health. Nutrition. Strength and Conditioning Coach. Runner.",FALSE
"FishTrack","Everything you need to find fish.",FALSE
"Svandmd","N.J. dentist #voteblue #strongertogether",FALSE
"smallwave12","",FALSE
"imanayna","Proud TRUMP supporter!!! #TRUMP2020 ❤️🇺🇸#MAGA #KEG🇺🇸#TRUMP❤️ #2A🇺🇸#NRAmember🇺🇸❤️#LOVEMYPOTUSTRUMP❤️",FALSE
"bronsont","Cycling Accountant who is old enough to know better but still having fun! All Tweets are my own opinions 😏",FALSE
"Jacobus2112","integrative nutrition health coach",FALSE
"birdtrees","You've been chosen as an extra in the movie adaptation of the sequel to your life... #VisionaryArt #InspirationalQuotes #Anarchist #Dissent #Activism",FALSE
"TalkingArts2","Exploring traditional and contemporary visual and performing arts, literature, and film of Africa and its Diaspora",FALSE
"ScrippsNational","The National Content Team for the @ewscrippsco.",TRUE
"Whippersteve","A lie is a lie even if everyone believes it & the truth is the truth even if no one believes it. 😊married 2 Mimi. Grandkids in FL & AU. USAF Ret. NPA.",FALSE
"UFOTL","UF Innovate | Tech Licensing (fka UF Office of Technology Licensing) transfers UF discoveries from the laboratory to the market to make the world a better place",FALSE
"MarkCTheurer","la familia es el número uno, tech, warships, recruiter, surfer, built @bowchikawowtown, studied @navalacademy @ftsd_  🤙",FALSE
"jasonmercurio","Here, There, Everywhere..🇺🇸🎸👨🏼‍🎤🌱 Rescue Cat Dad",FALSE
"RoMaPhotobug","I can never have enough dogs/animals, family, friends, photography, music and cheeseburgers. Love hangin' out on the Dark Side of the Moon.",FALSE
"bboren","Just a normal guy searching for the sun above me, the sand below me and the waves in front of me.",FALSE
"LaurieGondles","Conservative that loves ❤ God, the Atlanta Braves,  all veterans,  Blue Lives, firefighters/service workers,  the beach ⛱ and my family!",FALSE
"tarynperky","wifey&mom.born & raised ohioian slowly becoming a Floridian,lover of ALL real housewives shows.Ohio sports nut.florida living.beach going #ilivewhereyouvacation",FALSE
"RealOldHouswife","I'm a joker, I'm a smoker, I'm a midnight toker. When I'm not smokin', tokin' & jokin' I sit on my lanai all dolled up in a mumu as I tweet. Blocked by Trump",FALSE
"emergVictorious","The Butterfly Protocol™ is a closely modulated, self-actualized Opioid StepDOWN Protocol, optimized by TeleMD w/outpatient therapeutic support. [Chair #360DxTx]",FALSE
"stl7thward","Fmr Old 7th Ward Cmtewoman Marie Ceselski. 🐳 @ greatstateofstlouis. Proponent of Secession to become Great State of St Louis. Join us at #GardenSunday",FALSE
"ZunKings","she/her/hers #JodieComer #FreeRussia #SOSCuba #StandWithUkraine",FALSE
"whackyjack","",FALSE
"RuthRobinsonLon","Do not forget green is a very unlucky colour for dju at the Beijing Opera #parody",FALSE
"SJUA08","Moderate. Country First. Democracy. No party affiliation. Engineer. UF alumni. Statehood supporter for Puerto Rico & the U.S. Virgin Islands. Surfing is Life.",FALSE
"TaxMadnessgov","PRESERVE OCEAN LIFE
Activate your enthusiasm
Protecting every living thing 
#OpWhales
Supporting Animals & Cetaceans
#OpKillingBay",FALSE
"toler1956","Political alliance to pass legislation in the Florida State Legislature for ecologism economics and the environment",FALSE
"prettybirdXO","Tech obsessed... Peter Obi Stan...",FALSE
"twins10496","democrat. mom. wife. twitter junkie. love 🦋 gardening. living life to the fullest.",FALSE
"YborDrew","Private Investigator. Join my podcast at https://t.co/W0ZLZb6YDC and also on IHeart, Spotify, ITunes, and more.",FALSE
"GaryTJean","retired,xterra,ford gt,kayak,photography",FALSE
"melkcountrygirl","live, laugh, love ♡
Huge Big & Rich Fan
Love some John Rich🥰

Melissa & Brian @
Bar Konitzer",FALSE
"esslinger62","A conservative progressive. Solutions, no ideology, donkeys or elephants. Re-tweets and likes aren't endorsements.",FALSE
"CCLSVN","""""The Consequences Have Started to Show"""" Citizens' Climate Lobby Silicon Valley North Chapter - nonpartisan - Carbon Fee & Dividend - https://t.co/wUT3Nrm0dJ",FALSE
"Champa4Us","Retired from the Champa Shop(my spiritual birthplace)
Tree hugging Earthling
Love NBA, College Fast Pitch Softball
 & every song written by Jerry & Robert
NFA~",FALSE
"DefendWoodlands","United to Preserve Open Green Spaces of Life and Public Recreation. Solidarity to Oppose Rezoning of The Woodlands in Tamarac and Protect a Legacy 🌳⛳️💧",FALSE
"laurencita22","I grab compostable items out of trash so they don’t end up in a landfill. Miscarriage warrior. Cancer survivor. Cafe con leche/Ecuadorian roots. she/her",FALSE
"mygirlspetty","Hobbies include reading, writing, and resisting. Don't follow leaders, watch your parking meters. Northern-European-American.",FALSE
"jefferymic","Working hard to live life to the fullest. 20 Years Retired Army. Semi Retired overall.",FALSE
"realmiami305","Proud Papa #IStandWithUkraine🇺🇦#PutinIsAWarCriminal",FALSE
"RobNhernan","miami born n raised. I speak for myself and myself only!🏳️‍🌈🏳️‍🌈🏳️‍🌈",FALSE
"houstonfc","Fitness Professional, chilehead, animal lover, car enthusiast, dedicated family man!",FALSE
"JNFerritto","God loving Conservative who is tremendously blessed with two terrific sons. RINOs will never get my vote!",FALSE
"bradentonTom27","Huge Rays fan. Love the beach and hate the Red Sox",FALSE
"miamicityman","For a free & sovereign republic of Miami / Por una república de Miami libre y soberana / Pou yon repiblik de Miami gratis e souveren",FALSE
"pedrovernet","IUCN-SSC Sea Turtle Specialist Group Member / Conservación de especies amenazadas / Biodiversidad.",FALSE
"cali_n8vgrl","Relocating to an unfamiliar land from everything we are so familiar Dreamin for Calinormal 
 IEP ADVOCATE #devildog",FALSE
"4thandamonth","finance. college football, theatre, & deep house addictions. she/her. #blacklivesmatter #anjunafamily 🌈",FALSE
"NancyTwinMama","Politics, Bravo RHOanywhere, FL stuff",FALSE
"srq_guy","Chose to make Sarasota my home-great choice. Slightly right Fiscal/Slightly left Social. Pining for a 3rd party-centrists.  Solutions over polarizing rhetoric!",FALSE
"scopedbylarry","A microbiologist who is officially embracing retirement. Now doing just enough science writing, speaking, and facilitation to keep myself amused.",FALSE
"ManateeCF","Tweeting about the good made possible by donors & people who care in Manatee County. #philanthropy #communityfoundation",FALSE
"2017_itstime","",FALSE
"talbotj344","",FALSE
"jlark8","Into travel, food & wine, sports, and economics/finance.",FALSE
"KennyKool100","Having fun in St. Augustine, FL! Anyone have some Absolut? Working during the day, walking the beach at night ;) If you are on Shilo Key, look me up",FALSE
"WetDogsDesigns","“Shine like the whole universe is yours.” - Rumi",FALSE
"LindaKayak7","Oregon Girl! 🌱 Ethical Vegan #Seahawks #Broncos #Mariners #MutualAid #Herbalist #OutdoorSurvivalPNW 🐲#DnD  #Animaliatopia©  She/Her?🌈",FALSE
"gd12knw","Wife, mother, & proud American that loves 1A & 2A, and will defend until the bitter end! ✝️ ARTICLE 5 is America’s last hope! #armedinfidel #LETSGOBRANDON",FALSE
"SonjaHHarris","#prolife #profamily #Catholic #TexasFirst  @danielledsouzag @DineshDSouza @FrFrankPavone @Tedcruz @StevenErtelt @TPUSA @chiproyTx",FALSE
"quirk_lisalisa","I'm a bit of a Foodie, Passion for Retail, Fashionista, ❤️",FALSE
"ChrismPrism","Retired from The Walt Disney Company eCommerce at the Walt Disney World Resort. -Life is Good!   Comments and opinions are my own.",FALSE
"MarliseS","",FALSE
"_Jo_di","Don't be a jerk, wear a mask & get vaccinated. Political junkie. ADHD is my super power.

https://t.co/VFOamjjJ9P
@_jo_di@mastadon.social",FALSE
"VPVP1957","Proud Democrat in a growing scourge of MAGA Floridians.
Don't let YOUR freedoms get stripped from OUR country!
#SupportBlue ANYTIME you can.",FALSE
"MBPurdyArtz","singer/actress/part time educator in the conservation field/animal advocate",FALSE
