"username","description","hand.label_simplified"
"nprscience","Science news, commentary and conversation from NPR. Plus, a rad new podcast called #NPRShortWave! Subscribe now: https://t.co/lLI0fXx9Zk","media"
"DavidJollyFL","Former Member of Congress. Bull Mooser. MSNBC.","media"
"WeatherNation","All weather, all the time. 
Weather. It's What We Do. #WeatherNation

For video/picture use, see our terms: https://t.co/nMezloqBmZ","media"
"fox35orlando","Official FOX 35 Orlando/WOFL account for breaking news, weather, politics, sports and more.","media"
"OttawaCitizen","The biggest daily in the nation's capital","media"
"CharlieCrist","Former Governor and proud @FloridaState alum. Running for Governor to build a Florida for all. Text CHARLIE to 54238 📱","other"
"WESH","Central Florida's Local. Live. Late Breaking news source.","media"
"YahooPH","Official Twitter account of Yahoo Philippines for news updates, live tweets, and Yahoo product and event announcements","media"
"NickKnudsenUS","Executive Director @DemCastUSA 🇺🇸 Writing: @HuffPost @PatNotPart. Democracy is neat. We have a lot of work to do. #DemCast","media"
"jkbjournalist","Investigative journalist. I write about powerful people and corrupt institutions. Author of """"Perversion of Justice: The Jeffrey Epstein Story.""""","media"
"EcoWatch","Environmental News for a Healthier Planet and Life","media"
"CheriJacobus","https://t.co/aCszRRdbKu
https://t.co/1yXcrc69nS
ex-GOP, Exec Prod """"America Reads The Mueller Report"""" https://t.co/xJccxG3yJb 
https://t.co/e3G2YT54Sj…","media"
"mySA","San Antonio’s source for breaking news, culture y más 🗞️ • Mastodon: https://t.co/r3J2c9j97r","media"
"WFTV","Central Florida's @ABC news affiliate. Coverage you can count on for the latest news, weather, traffic from Central Florida's News Leader.","media"
"MSN","The official Twitter page of https://t.co/HtoIvgfeMY in the US.","other"
"CityofTampa","Official account for the City of Tampa. ☀️","gov"
"wjxt4","News4JAX is the most trusted source for local news in Northeast Florida and Southeast Georgia. Watch WJXT on-air, online and on News4JAX+","media"
"MiamiNewTimes","Miami's independent source for news, criticism, culture, and more since 1987.","media"
"svdate","White House correspondent at HuffPost. Author of THE USEFUL IDIOT -- Now fully updated post-January 6. https://t.co/88HnBbA8a7","media"
"WPLGLocal10","South Florida News, Weather, Entertainment, Sports from WPLG Local 10 Follow us on Instagram: https://t.co/IIfr4MFhzm","media"
"TrueFactsStated","@ClaudeTaylor@mstdn.social @ClaudeTaylor @ Post Mad Dog Pac. Clinton WH https://t.co/eRbMAIbgZQ","other"
"ErinBrockovich","Consumer advocate & Environmental Activist. Founder of The Brockovich Report Newsletter https://t.co/mKaymVynXP #TruthUnfiltered","media"
"ritholtz","Welcome to the Dopamine factory!

Chair/CIO of RWM https://t.co/n78eQEY6QZ       
Masters-in-Business podcast/radio host
Director of Twitter Cognitive Dissonance","media"
"fox5sandiego","#SOSanDiego","media"
"TravelGoC","Travel advice from the Government of Canada for Canadians living and travelling abroad ǀ Français : @VoyageGdC","gov"
"WFLA","WFLA News Channel 8 is a news leader in Tampa Bay.","media"
"noaaocean","@NOAA's National Ocean Service is the nation's premier federal science agency for the ocean and our coasts.","gov"
"alhanda","Account for the On The Road With Al & Ivy blog and BU Media. Also tweets for The Delta Snake Review and Handa-McGraw International music.","other"
"grantstern","Author @mtc2020series of books. Executive Editor @OccupyDemocrats. Still @morningsidemtg @OnlyinMiamiShow @TheSternFacts @masksnoworg. Miami native. #HeatLifer","media"
"theprovince","Online companion to Vancouver's daily tabloid, The Province. The web team manages our Twitter account.","media"
"williamlegate","CEO & co-founder @PillowFightCo • thiel fellow • featured in CNN, Fox News, NYTimes, WaPo, & more… https://t.co/0rgKERJMIk • personal account!","other"
"pbpost","The Palm Beach Post has the most reporters and resources in the Palm Beaches, delivering the breaking news you need to stay informed. Real News Starts Here.","media"
"10TampaBay","10 Tampa Bay (CBS, TEGNA) covers news in Tampa, St. Petersburg, Clearwater & Sarasota.  News tips? 📱 727-577-1010, 📧 desk@wtsp.com or reply using @10TampaBay","media"
"6News","#WATE 6 On Your Side provides the latest news, weather, sports and traffic updates from East #Tennessee. https://t.co/YE4es5q2mF…","media"
"WHAS11","@WHAS11 News delivers news and information that resonates with Kentuckians and Hoosiers on multiple platforms. https://t.co/MbwzeEaknJ | News tips: assign@https://t.co/MbwzeEaknJ","media"
"WPTV","Breaking News in South Florida, West Palm Beach, Palm Beach County, Treasure Coast ▫️ Follow the @WPTV team: https://t.co/RHPdS4mZVV","media"
"abcactionnews","Tampa Bay News: Check out our traffic feed here: https://t.co/M2uAC172SI","media"
"fox32news","FOX 32 News has got you covered for breaking news, weather, traffic, politics, and investigations. Join the conversation: #Fox32News","media"
"LEX18News","Count on LEX 18 News for the best news, weather, and sports coverage in central Kentucky. LEX 18 is the official station for Big Blue Nation!","media"
"GeorgeMentz","Comm'r George Mentz JD MBA - CEO - Lawyer Author Professor #2 Wealth Influencer- Seigneur Fief Blondel - Lawyer - Proud Sicilian/Hispanic/Egyptian/Asian/etc.","acad"
"RepDonaldsPress","Proudly representing the people of Southwest Florida in #FL19 | Serving on @FinancialCmte & @GOPoversight | Comms Dir. @HarrisonWFields | Official Account","gov"
"curaffairs","Magazine of political commentary & analysis |  help@currentaffairs.org","media"
"ColumbusZoo","Official. Home to more than 10,000 animals representing over 600 species, the Columbus Zoo and Aquarium leads and inspires by connecting people and wildlife.","tourbiz"
"EvelDick","I am not nice, so don't expect me to be.
Not even for 5 seconds...                                                 

Subscribe to Dick at Nite at https://t.co/lndriBtvIr","other"
"bn9weather","Home of #Klystron9 radar and Meteorologists Josh Linker, Juli Marquez, @Mike_Clay, Diane Kacmarik, Brian @mcclureWX, and Alan Winfield.","media"
"SenRubioPress","Official account of U.S. Senator Marco Rubio’s press shop. For more information please visit his website","other"
"news6wkmg","Central Florida @CBSnews affiliate. Tweeting updates from News 6 and https://t.co/Qe9PSfI8BQ.","media"
"FCN2go","Always On Your Side, First Coast News WTLV/WJXX Jacksonville, FL. Join the thousands following First Coast News.","media"
"SafetyPinDaily","""""Striving for social justice is the most valuable thing to do in life."""" -- Albert Einstein

A daily source for progressive news and opinions","media"
"OrlandoWeekly","Orlando Weekly, published every Wednesday, is Central Florida’s alternative source for news, views, arts and entertainment.","media"
"altNOAA","Not official account of NOAA but close enough we can forecast them. Veteran Managed. Followed by White House COS. Blue Team. #fella @altnoaa@mastodon.green","other"
"CBS6","Local news and beyond. We’d love to hear your story. Please note content tagged @CBS6 may be used by WTVR and Scripps Co. in both on-air and online reporting.","media"
"BillWeirCNN","@cnn storyteller covering the fate of life on 🌏 
The Wonder List with Bill Weir now streaming on @discoveryplus","media"
"NewsNation","America’s source for fact-based, unbiased news for all America.
📺 Find us on your TV: https://t.co/wFMvhHFMBK","media"
"WLTX","News19 WLTX is On Your Side with Breaking News, Weather and Sports from Columbia, SC. Retweets are not an endorsement. | https://t.co/LZlhk3HLnv","media"
"JohnMoralesTV","Expert Meteorologist at ClimaData—retained in litigation impacted by weather | Forecast @currently | #climate @BulletinAtomic | BSc @Cornell | MSc @JohnsHopkins","media"
"CBSMiami","News and insider info from CBS4 News in S. Florida","media"
"NancyRichmond","Speaker 🗣️ | University Professor 📚  | Social Media Consultant 🤳  | Wellbeing & Career Expert 🙏 | Inspiring Leaders to Connect & Innovate 👩‍💻","acad"
"ResisterSis20","“Well behaved women seldom make history” (Ulrich) I quit worrying about what other people though of me years ago. I am a reader, writer & thinker.","other"
"Harpers","“Stranger and better than you might expect.” @nytimes 
Subscribe: https://t.co/XnU1Vxfvc0   
Press: media@harpers.org   
Customer care: helpdesk@harpers.org","media"
"EdwardGLuce","Associate Editor, Financial Times, US-based writer/columnist. Author The Retreat of Western Liberalism, In Spite of the Gods, Time to Start Thinking. My views.","media"
"USouthFlorida","America’s fastest-rising university. https://t.co/5aD6QAX0Qt | https://t.co/75GX9gSzeX | https://t.co/bhfEr6fkp2","acad"
"LeaBlackMiami","Lea Black Beauty® #CBDBeauty Skincare, TV & Radio Personality, Author, Mom, Wife, Philanthropist, Political Junkie","media"
"greg_doucette","Ex-computers guy, then decade as a First Amendment trial attorney in NC+TX, now #InHouse for BigTech. Husband & dog+cats dad. Proud alum of @NCCU and @NCState.","other"
"CBS12","Covering Palm Beach, Martin, St. Lucie, Indian River & Okeechobee • Got a newstip? Email us: newstips@cbs12.com • 561-881-0796","media"
"BillyCorben","Directed #GodForbid: The Sex Scandal That Brought Down a Dynasty (on Hulu) and #CocaineCowboys: The Kings of Miami (on Netflix)","other"
"ATLNewsFirst","The news team that puts YOU first. Atlanta’s only locally-owned station.
📹 Tag your photos, videos, or news tips #ATLnewsfirst","media"
"PaulDereume","𝘽𝙡𝙖𝙘𝙠𝙇𝙞𝙫𝙚𝙨𝙈𝙖𝙩𝙩𝙚𝙧
 𝘿𝙚𝙢𝙨4𝙍𝙞𝙜𝙝𝙩𝙨 
  𝘽𝙡𝙪𝙚𝘾𝙧𝙚𝙬 
   𝙑𝙖𝙭𝙭𝙚𝙙 
    𝘾𝙞𝙣𝙚𝙢𝙖
     𝙈𝙪𝙨𝙞𝙘
      𝘼𝙧𝙩🎨","other"
"knoxnews","News from the Knoxville News Sentinel (https://t.co/xSv9rgPVYl), a part of the USA TODAY Network.","media"
"Bella623","Award-Winning #Horror #Romance #Mystery #Vamp #Author Coffeeholic☕️BunMom🐇❤️Rollercoasters🎢NOLA📿Paranormal💀 #Books Trudeau 🇨🇦♋️  #RESIST #BLM 🌊❄🚫porn/DM","other"
"ScienceAlert","🔭⚗🌏🐛🚀🌌🌿✨
Official Twitter for https://t.co/h1xw7WhFag","media"
"DavidYankovich","Dad. Former congressional candidate.               Award winning strategist. Senior Advisor #DemCast #RightSideOfHistory","other"
"tbtnewspaper","Tampa Bay's free weekly newspaper. A product of @TB_Times, Florida's largest and best newspaper. Read the latest issue at https://t.co/9uZ49Z2ozw","media"
"ottawasuncom","News, Sports, Entertainment, Comment from Canada's Capital. Words, photos, video, blogs, chats, forums & more","media"
"WFLALeigh","I wake up at 1 am to bring you weather reports on News Channel 8. Just 1 cup of coffee/day. I love college football! Finished 5 marathons! Animal-lover.","media"
"TravelBlggr","Storyteller & Recipe Creator at The Travel Bite® Travel & Food | 58+ Countries | SATW | #FSJet Alum | Insta: TheTravelBite","other"
"winknews","WINK News is Southwest Florida's News Leader, with breaking news and the stories that matter most to you. Have a news tip? Let us know: tips@winknews.com","media"
"BombshellDAILY","#RESISTANCE HEADLINES: Journalist🔸Integrity🔸Service🔸Links🔸Tolerance🔸Community🔸Activism🔸 Gratitude🔸#FBR","media"
"StormHour","Promoting Meteorology & Weather Photography since 2015

Get your work seen and shared with a member's spotlight ✨ at ~ https://t.co/rjEw4xr5Yv","media"
"GovRonDeSantis","46th Governor of the great state of Florida.","gov"
"NASAEarth","NASA’s favorite (habitable) planet. 🌎💚 Studying Earth from ground to orbit.","gov"
"RobertKennedyJr","Robert F. Kennedy, Jr. is founder, chairman + chief legal counsel for @ChildrensHD + founder of @Waterkeeper Alliance + served as longtime chairman and attorney","other"
"Southern_Living","Instant recipes, decorating ideas, gardening tips, and travel destinations for Southern life.","media"
"silvioluiz","Narrador esportivo. Qual quer duvida compre o livro OLHO NO LANCE.","media-int"
"jilevin","Retired, progressive, human rights, politics, equality, LGBTQ+, anti-racist, anti-fascist (AntiFa), #BLM #Resist co-founder @FreedomWritersc","other"
"littlekeish","21+Spanish/Irish•inked•Award winning actress •Dancer•Cellist•Slag•No meet ups or fb• Not an influencer• book me at Littlekeishbookings@gmail.com•hit the link vv","other"
"AndrewGillum","Father of three. Husband to R. Jai. Proud Floridian.","other"
"OurOcean","Celebrating 50 years of creating evidence-based solutions for a healthy ocean and the wildlife and communities that depend on it. Founded in 1972. 🐠","other"
"PlanetGreen","Planet Green offers practical, everyday tips on how to live a greener lifestyle. We offer actionable advice across a variety of topics: green made real.","other"
"UROCKlive1","Democracy is the way. Truth & justice matter.

Russians go home. Stop attacking your neighbors & lying to the world.

@UROCKlive1@Toad.Social

#NAFO Fellas Fan","other"
"foe_us","Friends of the Earth (Action), Inc. defends the environment and champions a healthy and just world.","other"
"ClimatePower","A new era of bold climate action is here. Holding polluters accountable. Empowering @POTUS and his administration to build back better. Science can't wait.","other"
"jennycohn1","I write about elections & the dangers of the Christian Right for @buckscobeacon; Mastodon = jennycohn@toad.social; Support my work: https://t.co/QWvBn9cIom","media"
"tonyposnanski","All personal updates only on Substack. Link below. Huge sports card enthusiast sold here https://t.co/lBVXvtU13S","other"
"SeaWorld","Inspiring millions of guests to care more about the animals in our world through education and entertainment that celebrates the human & animal connection.","other"
"Defenders","Defenders of Wildlife leads the pack when it comes to protecting wild animals and plants in their natural communities. #StopExtinction","other"
"novapbs","The PBS documentary series demystifying the science and tech that shape our lives, our planet, and our universe. Streaming now on the @PBS Video app.","media"
"tzDiscovery","Get live Tweets of current issues and share with friends","other"
"travisakers","Proud Dad || @USNavy Mustang || National Security || @VillanovaU MPA || @UofSC || Military & Veterans Affairs || #ODAAT || 1 Cor. 13:13 || #Duuuval ||🧂&💡","other"
"ALT_uscis","Misfit | Not on gov time or tax payers $. As of November 19th 2022, I am Still blocked by Donald J Trump, since 2018. salty asshole","other"
"psychdr100","Clinical Psychologist  #progressive #resistance 
Women's Rights  Climate Crisis  Equality","other"
"ed_lamon","My current core chapter of study & related reference verses is Ezekiel 47⭐.

Sola Scriptura (KJV)","other"
"SPORTSMANchnl","Sportsman Channel is dedicated to preserving America’s hallowed outdoor traditions, its lands, and its waters. It's in our blood.","other"
"AnthonySabatini","Chairman, @LakeGOP (FL) | Attorney, Sabatini Law Firm P.A. | America First Republican | Army Veteran | @UF: BA ‘12, JD ‘17 | @ClaremontInst, Lincoln Fellow ‘21","gov"
"mommamia1217","🙋🏼‍♀️#Independent🗳️#Foodie🍽️ #Mangia🇮🇹 #PROCHOICE #LGBTQally🌈 #TypoQueen👸🏼#BannedBookEnthusiast📚 #Healthcare #AnimalAdvocate🦁","other"
"YourAnonRiots","In the name of all #digital warriors, we warriors promise to participate in the #Anonymous. #HackThePlanet #infoSec #CyberSecurity & #AnonNews #AnonОps","other"
"PamKeithFL","CEO of Center for Employment Justice LLC, 2020 Dem Cong. Nominee, ex-Navy JAG, litigator & expert on workplace law. BC Law Grad. AKA💚💗 (she/her)","other"
"CenterForBioDiv","Over 1 mil. species could soon be lost to the #ExtinctionCrisis. We use law & science to secure a future for all creatures hovering on the brink of extinction.","acad"
"JayRWilsonUSA","Living the happily ever after part of life in a seaside town with my dog Malibu.","other"
"Kokomothegreat","Artist.
I'm a smartass fluent in profanity. #PoliticalJunkie #TheResistance • #blϻ • #ϻϵtϴϴ • #ϵͷδthϵstῖgϻα on MHI
RARELY check DMS!
Alt: @OutOfFuqs","other"
"pattrn","Climate Science 🔬
Sustainable Solutions ♻️ 
Earth Champions 🌏 

Link for more👇
https://t.co/yorOG1TJ6g","media"
"ESA_EO","@esa #EarthObservation: Taking the pulse of our planet from space.","gov"
"newschannelnine","Taking extra steps daily to keep you more aware, more prepared & better informed about the Chattanooga area & beyond, since 1959. Depend on us.","media"
"DemocracyStorm","Cofounder & Dir. of Strategy @DemCastUSA | Defender of Democracy | Advisor @SpeechifAI | Geek🖖| #BidenHarris #TeamPelosi #BLM 💉💉💉","other"
"LibsInAmerica","Every Republican accusation is a confession.","other"
"Gdad1","I am #ANTIFA 
#Resister
#VoteBlue
#Woke
#BLM
#VoteBlue2024

I've great respect for those who have to swim against the current

I foster & RT rescue dogs & cats","other"
"hihi0806","Hi!! ☕️Good to see you!! 🍵Please be sure to enjoy the art.(🌏To Twitter friends around the world🌎) 🐾🙀No DM! 😾 🌏✌️I wish the world eternal peace🌈","other"
"electroboyusa","Electroboy author and mental health advocate. Single dad of two daughters. Fought for Bourdeaux, Warnock and Ossoff in Georgia. #MoreBlue2022","other"
"Leslieoo7","Woke-ish. Mama always said my smart mouth would get me in trouble one day. #BlackLivesMatter #LGBTQAlly 🏳️‍🌈 #SlavaUkraini 🇺🇦","other"
"RobRobbEdwards","#AnimalRights #HumanRights  #MyHomelessProgram 
#XR        🌊Blue🌊                   #AnimalJusticeParty 
#ClimateAction #Environment #Greenpeace  #SeaShepherd","other"
"kendrick38","#GodisGood Instagram: @Kendrick38 https://t.co/lsrCl316p4 Snapchat: Ksmith38 #houston","other"
"VSPC","Let’s make every day a beach day. Let’s reconnect. Let’s dig in al fresco. Let’s marvel at masterpieces. Let’s shine in St. Pete/Clearwater, Florida.  ☀️🌴🏖","tourbiz"
"USTravel","Increasing travel to and within the U.S. by establishing travel as essential, advancing seamless and secure travel and shaping effective solutions.","other"
"skb_sara","I'm a mom & love anything that helps with anti-aging, working out, & staying healthy.","other"
"progressivepush","National organization helping progressives get elected to public office #TheResistance","other"
"tomaskenn","Organizer, writer & immigrant. Democratic National Committee member. Anti-fascist. Alum @FIU & @univmiami. IG: @tomaskenn","other"
"gideonrachman","The chief foreign affairs commentator for the Financial Times shares his views","media"
"futurasciences","Média de décryptage scientifique ! 🌍 ⚛️ ⛑️ 🤖 🏠","media-int"
"0xfoxi","Owner https://t.co/vu6gxsRxuA.  Podcasting regularly.  Censored heavily.  Promoting the message of Fatima.  MBA degree. No nonsense. Unapologetically Catholic","other"
"exoticgamora","Rise by lifting others. Human & civil rights 🇺🇲 Listen and try kindness. Truth is power. Democracy gives you a voice, use it.","other"
"HollowManSeries","Bestselling & Award Winning Author of The Hollow Man Series -- Follows You -- Exec Director of Endangered Earthlings","other"
"marynlm","Retired teacher, writer, author MG novel, short stories, poetry, traveler, married, dog lover, no DM’s, Biden🌊🌊🌊 #StandWithUkraine  Слава Україні! 🌻🌻🌻🇺🇦","other"
"marstu67","Level I Trauma ABEM #FBR #Resist #Dem Justice. Equality for all. Reform gun law #ClimateChange Drs4America #ImWithHer NoTrump #BlueWave No medical price gouging","other"
"dhershiser","Mom of 2 daughters. We will NOT return to the dark ages! NO LISTS!Asking for $=🚫 Equality, pro-choice, climate crisis, gun control, #metoo #BLM","other"
"swissbusiness","The Swiss Business Club is connecting business people","other"
"MrScottLads","💫 Chief Starship Engineer on / #Demvoice1 / #ProudBlue / #ResistanceUnited / #Dems4USA / #GQPClownShow *Commentary","other"
"SocialistVoice","Democratic Socialism🌹| Social Justice Activism ♿ | Trade Unionism ✊🏼 | Environmentalism 🌍🐘 | LGBTQI+ 🏳️‍🌈🏳️‍⚧️ | #FreePalestine 🇵🇸 | #BlackLivesMatter","other"
"ShelbyKStewart","Writer, Author, Part-time poet, Woke AF ~ #TeamJustice #HumanRights #BLM  #LGBTQAlly 🏳️‍🌈 #AnimalRights","other"
"BudGothmog44","78 mar LCSW 50 yrs in Recovery USAF Vet Atheist Dem fm NJ Ohio Mass Hawaii NY Fla #Resistance #BlueCrew #VoteBlue #ACLU #SPLC #BLM 🌈#LGBTQ 🌊🌊🌊","other"
"stupidDOPE","Where style, culture, and creativity converge in the heart of NYC 🗽 #stupidDOPE #NYC #Harlem","media"
"koolkaryn","#ResisterSister 💟 #49ers4Life
❤️#BLM

Welcome to my page! Straight jackets are on the left, meds to the right & keep your hands off my crayons!","other"
"JohnnaCrider1","Shreveport native #WhoDat #GeauxTigers","other"
"VoteAPL","FL-13 Congresswoman-elect USAF VET 🇺🇸  #AMERICAFIRST 🇺🇸 | USAF veteran | Proud Military Wife https://t.co/ms8m73HQVa","gov"
"GMOFreeUSA","We are a national group, educating consumers about the potential hazards of Genetically Engineered foods and toxic chemicals.","other"
"straczynski","READ FAQ BEFORE POSTING https://t.co/AMh5M6qnuV 

Writer: Changeling, Babylon 5, Sense8, Together We Will Go (new novel) DON'T POST STORY IDEAS","other"
"resistbot","Direct Message me or text RESIST to 50409 to contact your officials. Free! Nonprofit. 9.6 million served. 31 million letters sent. 🦣 @resistbot@democracy.town","other"
"kodiak149","Lucky guy in great country I follow back and unfollow those that don’t, Resistance is not futile GoodTrouble #WeAre                       Post @ kodiak149","other"
