hand.label,hand.label_simplified,expert.ind,username,description
media,media,no,10TampaBay,"10 Tampa Bay (CBS, TEGNA) covers news in Tampa, St. Petersburg, Clearwater & Sarasota.  News tips? 📱 727-577-1010, 📧 desk@wtsp.com or reply using @10TampaBay"
media,media,no,6News,"#WATE 6 On Your Side provides the latest news, weather, sports and traffic updates from East #Tennessee. https://t.co/YE4es5q2mF…"
media,media,no,WHAS11,@WHAS11 News delivers news and information that resonates with Kentuckians and Hoosiers on multiple platforms. https://t.co/MbwzeEaknJ | News tips: assign@https://t.co/MbwzeEaknJ
media,media,no,WPTV,"Breaking News in South Florida, West Palm Beach, Palm Beach County, Treasure Coast ▫️ Follow the @WPTV team: https://t.co/RHPdS4mZVV"
media,media,no,abcactionnews,Tampa Bay News: Check out our traffic feed here: https://t.co/M2uAC172SI
media,media,no,fox32news,"FOX 32 News has got you covered for breaking news, weather, traffic, politics, and investigations. Join the conversation: #Fox32News"
media,media,no,LEX18News,"Count on LEX 18 News for the best news, weather, and sports coverage in central Kentucky. LEX 18 is the official station for Big Blue Nation!"
acad,acad,no,GeorgeMentz,Comm'r George Mentz JD MBA - CEO - Lawyer Author Professor #2 Wealth Influencer- Seigneur Fief Blondel - Lawyer - Proud Sicilian/Hispanic/Egyptian/Asian/etc.
gov,gov,no,RepDonaldsPress,Proudly representing the people of Southwest Florida in #FL19 | Serving on @FinancialCmte & @GOPoversight | Comms Dir. @HarrisonWFields | Official Account
media,media,no,curaffairs,Magazine of political commentary & analysis |  help@currentaffairs.org
tourbiz,tourbiz,no,ColumbusZoo,"Official. Home to more than 10,000 animals representing over 600 species, the Columbus Zoo and Aquarium leads and inspires by connecting people and wildlife."
other,other,no,EvelDick,"I am not nice, so don't expect me to be.
Not even for 5 seconds...                                                 

Subscribe to Dick at Nite at https://t.co/lndriBtvIr"
media,media,yes,bn9weather,"Home of #Klystron9 radar and Meteorologists Josh Linker, Juli Marquez, @Mike_Clay, Diane Kacmarik, Brian @mcclureWX, and Alan Winfield."
other,other,no,SenRubioPress,Official account of U.S. Senator Marco Rubio’s press shop. For more information please visit his website
media,media,no,news6wkmg,Central Florida @CBSnews affiliate. Tweeting updates from News 6 and https://t.co/Qe9PSfI8BQ.
media,media,no,FCN2go,"Always On Your Side, First Coast News WTLV/WJXX Jacksonville, FL. Join the thousands following First Coast News."
other-agg,media,no,SafetyPinDaily,"""""Striving for social justice is the most valuable thing to do in life."""" -- Albert Einstein

A daily source for progressive news and opinions"
media,media,no,OrlandoWeekly,"Orlando Weekly, published every Wednesday, is Central Florida’s alternative source for news, views, arts and entertainment."
other,other,yes,altNOAA,Not official account of NOAA but close enough we can forecast them. Veteran Managed. Followed by White House COS. Blue Team. #fella @altnoaa@mastodon.green
media,media,no,CBS6,Local news and beyond. We’d love to hear your story. Please note content tagged @CBS6 may be used by WTVR and Scripps Co. in both on-air and online reporting.
media,media,no,BillWeirCNN,"@cnn storyteller covering the fate of life on 🌏 
The Wonder List with Bill Weir now streaming on @discoveryplus"
media,media,no,NewsNation,"America’s source for fact-based, unbiased news for all America.
📺 Find us on your TV: https://t.co/wFMvhHFMBK"
media,media,no,WLTX,"News19 WLTX is On Your Side with Breaking News, Weather and Sports from Columbia, SC. Retweets are not an endorsement. | https://t.co/LZlhk3HLnv"
media,media,yes,JohnMoralesTV,Expert Meteorologist at ClimaData—retained in litigation impacted by weather | Forecast @currently | #climate @BulletinAtomic | BSc @Cornell | MSc @JohnsHopkins
media,media,no,CBSMiami,News and insider info from CBS4 News in S. Florida
acad,acad,no,NancyRichmond,Speaker 🗣️ | University Professor 📚  | Social Media Consultant 🤳  | Wellbeing & Career Expert 🙏 | Inspiring Leaders to Connect & Innovate 👩‍💻
other,other,no,ResisterSis20,"“Well behaved women seldom make history” (Ulrich) I quit worrying about what other people though of me years ago. I am a reader, writer & thinker."
media,media,no,Harpers,"“Stranger and better than you might expect.” @nytimes 
Subscribe: https://t.co/XnU1Vxfvc0   
Press: media@harpers.org   
Customer care: helpdesk@harpers.org"
media,media,no,EdwardGLuce,"Associate Editor, Financial Times, US-based writer/columnist. Author The Retreat of Western Liberalism, In Spite of the Gods, Time to Start Thinking. My views."
acad,acad,no,USouthFlorida,America’s fastest-rising university. https://t.co/5aD6QAX0Qt | https://t.co/75GX9gSzeX | https://t.co/bhfEr6fkp2
media,media,no,LeaBlackMiami,"Lea Black Beauty® #CBDBeauty Skincare, TV & Radio Personality, Author, Mom, Wife, Philanthropist, Political Junkie"
other,other,no,greg_doucette,"Ex-computers guy, then decade as a First Amendment trial attorney in NC+TX, now #InHouse for BigTech. Husband & dog+cats dad. Proud alum of @NCCU and @NCState."
media,media,no,CBS12,"Covering Palm Beach, Martin, St. Lucie, Indian River & Okeechobee • Got a newstip? Email us: newstips@cbs12.com • 561-881-0796"
other,other,no,BillyCorben,Directed #GodForbid: The Sex Scandal That Brought Down a Dynasty (on Hulu) and #CocaineCowboys: The Kings of Miami (on Netflix)
media,media,no,ATLNewsFirst,"The news team that puts YOU first. Atlanta’s only locally-owned station.
📹 Tag your photos, videos, or news tips #ATLnewsfirst"
other,other,no,PaulDereume,"𝘽𝙡𝙖𝙘𝙠𝙇𝙞𝙫𝙚𝙨𝙈𝙖𝙩𝙩𝙚𝙧
 𝘿𝙚𝙢𝙨4𝙍𝙞𝙜𝙝𝙩𝙨 
  𝘽𝙡𝙪𝙚𝘾𝙧𝙚𝙬 
   𝙑𝙖𝙭𝙭𝙚𝙙 
    𝘾𝙞𝙣𝙚𝙢𝙖
     𝙈𝙪𝙨𝙞𝙘
      𝘼𝙧𝙩🎨"
media,media,no,knoxnews,"News from the Knoxville News Sentinel (https://t.co/xSv9rgPVYl), a part of the USA TODAY Network."
other,other,no,Bella623,Award-Winning #Horror #Romance #Mystery #Vamp #Author Coffeeholic☕️BunMom🐇❤️Rollercoasters🎢NOLA📿Paranormal💀 #Books Trudeau 🇨🇦♋️  #RESIST #BLM 🌊❄🚫porn/DM
media-acad,media,no,ScienceAlert,"🔭⚗🌏🐛🚀🌌🌿✨
Official Twitter for https://t.co/h1xw7WhFag"
other,other,no,DavidYankovich,Dad. Former congressional candidate.               Award winning strategist. Senior Advisor #DemCast #RightSideOfHistory
media,media,no,tbtnewspaper,"Tampa Bay's free weekly newspaper. A product of @TB_Times, Florida's largest and best newspaper. Read the latest issue at https://t.co/9uZ49Z2ozw"
media,media,no,ottawasuncom,"News, Sports, Entertainment, Comment from Canada's Capital. Words, photos, video, blogs, chats, forums & more"
media,media,yes,WFLALeigh,I wake up at 1 am to bring you weather reports on News Channel 8. Just 1 cup of coffee/day. I love college football! Finished 5 marathons! Animal-lover.
other,other,no,TravelBlggr,Storyteller & Recipe Creator at The Travel Bite® Travel & Food | 58+ Countries | SATW | #FSJet Alum | Insta: TheTravelBite
media,media,no,winknews,"WINK News is Southwest Florida's News Leader, with breaking news and the stories that matter most to you. Have a news tip? Let us know: tips@winknews.com"
media,media,no,BombshellDAILY,#RESISTANCE HEADLINES: Journalist🔸Integrity🔸Service🔸Links🔸Tolerance🔸Community🔸Activism🔸 Gratitude🔸#FBR
other-agg,media,yes,StormHour,"Promoting Meteorology & Weather Photography since 2015

Get your work seen and shared with a member's spotlight ✨ at ~ https://t.co/rjEw4xr5Yv"
gov,gov,no,GovRonDeSantis,46th Governor of the great state of Florida.
gov-acad,gov,yes,NASAEarth,NASA’s favorite (habitable) planet. 🌎💚 Studying Earth from ground to orbit.
other,other,no,RobertKennedyJr,"Robert F. Kennedy, Jr. is founder, chairman + chief legal counsel for @ChildrensHD + founder of @Waterkeeper Alliance + served as longtime chairman and attorney"
media,media,no,Southern_Living,"Instant recipes, decorating ideas, gardening tips, and travel destinations for Southern life."
media-int,media-int,no-int,silvioluiz,Narrador esportivo. Qual quer duvida compre o livro OLHO NO LANCE.
other,other,no,jilevin,"Retired, progressive, human rights, politics, equality, LGBTQ+, anti-racist, anti-fascist (AntiFa), #BLM #Resist co-founder @FreedomWritersc"
other,other,no,littlekeish,21+Spanish/Irish•inked•Award winning actress •Dancer•Cellist•Slag•No meet ups or fb• Not an influencer• book me at Littlekeishbookings@gmail.com•hit the link vv
other,other,no,AndrewGillum,Father of three. Husband to R. Jai. Proud Floridian.
other,other,yes,OurOcean,Celebrating 50 years of creating evidence-based solutions for a healthy ocean and the wildlife and communities that depend on it. Founded in 1972. 🐠
other,other,yes,PlanetGreen,"Planet Green offers practical, everyday tips on how to live a greener lifestyle. We offer actionable advice across a variety of topics: green made real."
other,other,no,UROCKlive1,"Democracy is the way. Truth & justice matter.

Russians go home. Stop attacking your neighbors & lying to the world.

@UROCKlive1@Toad.Social

#NAFO Fellas Fan"
other,other,yes,foe_us,"Friends of the Earth (Action), Inc. defends the environment and champions a healthy and just world."
other,other,yes,ClimatePower,A new era of bold climate action is here. Holding polluters accountable. Empowering @POTUS and his administration to build back better. Science can't wait.
media,media,no,jennycohn1,I write about elections & the dangers of the Christian Right for @buckscobeacon; Mastodon = jennycohn@toad.social; Support my work: https://t.co/QWvBn9cIom
other,other,no,tonyposnanski,All personal updates only on Substack. Link below. Huge sports card enthusiast sold here https://t.co/lBVXvtU13S
other,other,yes,SeaWorld,Inspiring millions of guests to care more about the animals in our world through education and entertainment that celebrates the human & animal connection.
other,other,yes,Defenders,Defenders of Wildlife leads the pack when it comes to protecting wild animals and plants in their natural communities. #StopExtinction
media,media,no,novapbs,"The PBS documentary series demystifying the science and tech that shape our lives, our planet, and our universe. Streaming now on the @PBS Video app."
other,other,no,tzDiscovery,Get live Tweets of current issues and share with friends
other,other,no,travisakers,Proud Dad || @USNavy Mustang || National Security || @VillanovaU MPA || @UofSC || Military & Veterans Affairs || #ODAAT || 1 Cor. 13:13 || #Duuuval ||🧂&💡
other,other,no,ALT_uscis,"Misfit | Not on gov time or tax payers $. As of November 19th 2022, I am Still blocked by Donald J Trump, since 2018. salty asshole"
other,other,no,psychdr100,"Clinical Psychologist  #progressive #resistance 
Women's Rights  Climate Crisis  Equality"
other,other,no,ed_lamon,"My current core chapter of study & related reference verses is Ezekiel 47⭐.

Sola Scriptura (KJV)"
other,other,no,SPORTSMANchnl,"Sportsman Channel is dedicated to preserving America’s hallowed outdoor traditions, its lands, and its waters. It's in our blood."
gov,gov,no,AnthonySabatini,"Chairman, @LakeGOP (FL) | Attorney, Sabatini Law Firm P.A. | America First Republican | Army Veteran | @UF: BA ‘12, JD ‘17 | @ClaremontInst, Lincoln Fellow ‘21"
other,other,no,mommamia1217,🙋🏼‍♀️#Independent🗳️#Foodie🍽️ #Mangia🇮🇹 #PROCHOICE #LGBTQally🌈 #TypoQueen👸🏼#BannedBookEnthusiast📚 #Healthcare #AnimalAdvocate🦁
other,other,no,YourAnonRiots,"In the name of all #digital warriors, we warriors promise to participate in the #Anonymous. #HackThePlanet #infoSec #CyberSecurity & #AnonNews #AnonОps"
other,other,no,PamKeithFL,"CEO of Center for Employment Justice LLC, 2020 Dem Cong. Nominee, ex-Navy JAG, litigator & expert on workplace law. BC Law Grad. AKA💚💗 (she/her)"
acad,acad,yes,CenterForBioDiv,Over 1 mil. species could soon be lost to the #ExtinctionCrisis. We use law & science to secure a future for all creatures hovering on the brink of extinction.
other,other,no,JayRWilsonUSA,Living the happily ever after part of life in a seaside town with my dog Malibu.
other,other,no,Kokomothegreat,"Artist.
I'm a smartass fluent in profanity. #PoliticalJunkie #TheResistance • #blϻ • #ϻϵtϴϴ • #ϵͷδthϵstῖgϻα on MHI
RARELY check DMS!
Alt: @OutOfFuqs"
media,media,yes,pattrn,"Climate Science 🔬
Sustainable Solutions ♻️ 
Earth Champions 🌏 

Link for more👇
https://t.co/yorOG1TJ6g"
gov-acad,gov,no,ESA_EO,@esa #EarthObservation: Taking the pulse of our planet from space.
media,media,no,newschannelnine,"Taking extra steps daily to keep you more aware, more prepared & better informed about the Chattanooga area & beyond, since 1959. Depend on us."
other,other,no,DemocracyStorm,Cofounder & Dir. of Strategy @DemCastUSA | Defender of Democracy | Advisor @SpeechifAI | Geek🖖| #BidenHarris #TeamPelosi #BLM 💉💉💉
other,other,no,LibsInAmerica,Every Republican accusation is a confession.
other,other,no,Gdad1,"I am #ANTIFA 
#Resister
#VoteBlue
#Woke
#BLM
#VoteBlue2024

I've great respect for those who have to swim against the current

I foster & RT rescue dogs & cats"
other,other,no,hihi0806,Hi!! ☕️Good to see you!! 🍵Please be sure to enjoy the art.(🌏To Twitter friends around the world🌎) 🐾🙀No DM! 😾 🌏✌️I wish the world eternal peace🌈
other,other,no,electroboyusa,"Electroboy author and mental health advocate. Single dad of two daughters. Fought for Bourdeaux, Warnock and Ossoff in Georgia. #MoreBlue2022"
other,other,no,Leslieoo7,Woke-ish. Mama always said my smart mouth would get me in trouble one day. #BlackLivesMatter #LGBTQAlly 🏳️‍🌈 #SlavaUkraini 🇺🇦
other,other,no,RobRobbEdwards,"#AnimalRights #HumanRights  #MyHomelessProgram 
#XR        🌊Blue🌊                   #AnimalJusticeParty 
#ClimateAction #Environment #Greenpeace  #SeaShepherd"
other,other,no,kendrick38,#GodisGood Instagram: @Kendrick38 https://t.co/lsrCl316p4 Snapchat: Ksmith38 #houston
tourbiz,tourbiz,no,VSPC,"Let’s make every day a beach day. Let’s reconnect. Let’s dig in al fresco. Let’s marvel at masterpieces. Let’s shine in St. Pete/Clearwater, Florida.  ☀️🌴🏖"
other,other,no,USTravel,"Increasing travel to and within the U.S. by establishing travel as essential, advancing seamless and secure travel and shaping effective solutions."
other,other,no,skb_sara,"I'm a mom & love anything that helps with anti-aging, working out, & staying healthy."
other,other,no,progressivepush,National organization helping progressives get elected to public office #TheResistance
other,other,no,tomaskenn,"Organizer, writer & immigrant. Democratic National Committee member. Anti-fascist. Alum @FIU & @univmiami. IG: @tomaskenn"
media,media,no,gideonrachman,The chief foreign affairs commentator for the Financial Times shares his views
media-int,media-int,no-int,futurasciences,Média de décryptage scientifique ! 🌍 ⚛️ ⛑️ 🤖 🏠
other,other,no,0xfoxi,Owner https://t.co/vu6gxsRxuA.  Podcasting regularly.  Censored heavily.  Promoting the message of Fatima.  MBA degree. No nonsense. Unapologetically Catholic
other,other,no,exoticgamora,"Rise by lifting others. Human & civil rights 🇺🇲 Listen and try kindness. Truth is power. Democracy gives you a voice, use it."
other,other,no,HollowManSeries,Bestselling & Award Winning Author of The Hollow Man Series -- Follows You -- Exec Director of Endangered Earthlings
other,other,no,marynlm,"Retired teacher, writer, author MG novel, short stories, poetry, traveler, married, dog lover, no DM’s, Biden🌊🌊🌊 #StandWithUkraine  Слава Україні! 🌻🌻🌻🇺🇦"
other,other,no,marstu67,Level I Trauma ABEM #FBR #Resist #Dem Justice. Equality for all. Reform gun law #ClimateChange Drs4America #ImWithHer NoTrump #BlueWave No medical price gouging
other,other,no,dhershiser,"Mom of 2 daughters. We will NOT return to the dark ages! NO LISTS!Asking for $=🚫 Equality, pro-choice, climate crisis, gun control, #metoo #BLM"
other,other,no,swissbusiness,The Swiss Business Club is connecting business people
other,other,no,MrScottLads,💫 Chief Starship Engineer on / #Demvoice1 / #ProudBlue / #ResistanceUnited / #Dems4USA / #GQPClownShow *Commentary
other,other,no,SocialistVoice,Democratic Socialism🌹| Social Justice Activism ♿ | Trade Unionism ✊🏼 | Environmentalism 🌍🐘 | LGBTQI+ 🏳️‍🌈🏳️‍⚧️ | #FreePalestine 🇵🇸 | #BlackLivesMatter
