"username","hand.label_simplified","description","max.class","single.label"
"SunSentinel","media","The official Sun Sentinel Twitter account. Covering Broward, Palm Beach and Miami-Dade. Pulitzer Prize Gold Medal For Public Service 2013, 2019","other","other"
"VancouverSun","media","Western Canada's largest news team.  Send tips to VanTips@postmedia.com. Follow us at https://t.co/wfK8J4aDF3 and https://t.co/4UZZKFxQPO.","media","media"
"MPRnews","media","Telling stories of Minnesotans and keeping you informed 📝 | On the airwaves and online 📻 | https://t.co/4PHDYVYpz5 | 📸 https://t.co/p9wmKsYk4e","other","other"
"votevets","other","Since 2006, over 1.5M Veterans, Military Families, & supporters have been electing Veterans to office and fighting for progressive values.","other","other"
"8NewsNow","media","LIVE. LOCAL. NOW. https://t.co/iLeWc8jsdV @CBS affiliate in Las Vegas. Nevada's first television station. #8NN","media","media"
"TheLeadCNN","media","The Lead with @jaketapper airs at 4pm ET on CNN.","other","other"
"MyNews13","media","#BreakingNews in #Orlando and all of Central Florida. Also at @MyNews13Weather and @MyNews13Traffic — Send breaking news tips: N13-Desk@charter.com","media","media"
"DWUhlfelderLaw","other","Husband, Dad & FL Attorney. @Stanford & @UFLaw grad. Founder @removeron, 2022 Florida AG cand. & chief DeSantis tormentor. https://t.co/cZfdYTgyb6","other","other"
"nbcsandiego","media","Breaking news, exclusive stories, weather and investigations in San Diego.","media","media"
"nprscience","media","Science news, commentary and conversation from NPR. Plus, a rad new podcast called #NPRShortWave! Subscribe now: https://t.co/lLI0fXx9Zk","media","media"
"DavidJollyFL","media","Former Member of Congress. Bull Mooser. MSNBC.","other","other"
"WeatherNation","media","All weather, all the time. 
Weather. It's What We Do. #WeatherNation

For video/picture use, see our terms: https://t.co/nMezloqBmZ","other","other"
"fox35orlando","media","Official FOX 35 Orlando/WOFL account for breaking news, weather, politics, sports and more.","media","media"
"OttawaCitizen","media","The biggest daily in the nation's capital","other","other"
"CharlieCrist","other","Former Governor and proud @FloridaState alum. Running for Governor to build a Florida for all. Text CHARLIE to 54238 📱","other","other"
"WESH","media","Central Florida's Local. Live. Late Breaking news source.","media","media"
"YahooPH","media","Official Twitter account of Yahoo Philippines for news updates, live tweets, and Yahoo product and event announcements","media","media"
"NickKnudsenUS","media","Executive Director @DemCastUSA 🇺🇸 Writing: @HuffPost @PatNotPart. Democracy is neat. We have a lot of work to do. #DemCast","other","other"
"jkbjournalist","media","Investigative journalist. I write about powerful people and corrupt institutions. Author of """"Perversion of Justice: The Jeffrey Epstein Story.""""","media","media"
"EcoWatch","media","Environmental News for a Healthier Planet and Life","media","media"
"CheriJacobus","media","https://t.co/aCszRRdbKu
https://t.co/1yXcrc69nS
ex-GOP, Exec Prod """"America Reads The Mueller Report"""" https://t.co/xJccxG3yJb 
https://t.co/e3G2YT54Sj…","media","media"
"mySA","media","San Antonio’s source for breaking news, culture y más 🗞️ • Mastodon: https://t.co/r3J2c9j97r","media","media"
"WFTV","media","Central Florida's @ABC news affiliate. Coverage you can count on for the latest news, weather, traffic from Central Florida's News Leader.","media","media"
"MSN","other","The official Twitter page of https://t.co/HtoIvgfeMY in the US.","other","other"
"CityofTampa","gov","Official account for the City of Tampa. ☀️","other","other"
"wjxt4","media","News4JAX is the most trusted source for local news in Northeast Florida and Southeast Georgia. Watch WJXT on-air, online and on News4JAX+","media","media"
"MiamiNewTimes","media","Miami's independent source for news, criticism, culture, and more since 1987.","media","media"
"svdate","media","White House correspondent at HuffPost. Author of THE USEFUL IDIOT -- Now fully updated post-January 6. https://t.co/88HnBbA8a7","media","media"
"WPLGLocal10","media","South Florida News, Weather, Entertainment, Sports from WPLG Local 10 Follow us on Instagram: https://t.co/IIfr4MFhzm","media","media"
"TrueFactsStated","other","@ClaudeTaylor@mstdn.social @ClaudeTaylor @ Post Mad Dog Pac. Clinton WH https://t.co/eRbMAIbgZQ","other","other"
"ErinBrockovich","media","Consumer advocate & Environmental Activist. Founder of The Brockovich Report Newsletter https://t.co/mKaymVynXP #TruthUnfiltered","media","media"
"ritholtz","media","Welcome to the Dopamine factory!

Chair/CIO of RWM https://t.co/n78eQEY6QZ       
Masters-in-Business podcast/radio host
Director of Twitter Cognitive Dissonance","media","media"
"fox5sandiego","media","#SOSanDiego","other","other"
"TravelGoC","gov","Travel advice from the Government of Canada for Canadians living and travelling abroad ǀ Français : @VoyageGdC","gov","gov"
"WFLA","media","WFLA News Channel 8 is a news leader in Tampa Bay.","media","media"
"noaaocean","gov","@NOAA's National Ocean Service is the nation's premier federal science agency for the ocean and our coasts.","other","other"
"alhanda","other","Account for the On The Road With Al & Ivy blog and BU Media. Also tweets for The Delta Snake Review and Handa-McGraw International music.","other","other"
"grantstern","media","Author @mtc2020series of books. Executive Editor @OccupyDemocrats. Still @morningsidemtg @OnlyinMiamiShow @TheSternFacts @masksnoworg. Miami native. #HeatLifer","media","media"
"theprovince","media","Online companion to Vancouver's daily tabloid, The Province. The web team manages our Twitter account.","other","other"
"williamlegate","other","CEO & co-founder @PillowFightCo • thiel fellow • featured in CNN, Fox News, NYTimes, WaPo, & more… https://t.co/0rgKERJMIk • personal account!","media","media"
"pbpost","media","The Palm Beach Post has the most reporters and resources in the Palm Beaches, delivering the breaking news you need to stay informed. Real News Starts Here.","media","media"
"10TampaBay","media","10 Tampa Bay (CBS, TEGNA) covers news in Tampa, St. Petersburg, Clearwater & Sarasota.  News tips? 📱 727-577-1010, 📧 desk@wtsp.com or reply using @10TampaBay","media","media"
"6News","media","#WATE 6 On Your Side provides the latest news, weather, sports and traffic updates from East #Tennessee. https://t.co/YE4es5q2mF…","media","media"
"WHAS11","media","@WHAS11 News delivers news and information that resonates with Kentuckians and Hoosiers on multiple platforms. https://t.co/MbwzeEaknJ | News tips: assign@https://t.co/MbwzeEaknJ","media","media"
"WPTV","media","Breaking News in South Florida, West Palm Beach, Palm Beach County, Treasure Coast ▫️ Follow the @WPTV team: https://t.co/RHPdS4mZVV","media","media"
"abcactionnews","media","Tampa Bay News: Check out our traffic feed here: https://t.co/M2uAC172SI","media","media"
"fox32news","media","FOX 32 News has got you covered for breaking news, weather, traffic, politics, and investigations. Join the conversation: #Fox32News","media","media"
"LEX18News","media","Count on LEX 18 News for the best news, weather, and sports coverage in central Kentucky. LEX 18 is the official station for Big Blue Nation!","media","media"
"GeorgeMentz","acad","Comm'r George Mentz JD MBA - CEO - Lawyer Author Professor #2 Wealth Influencer- Seigneur Fief Blondel - Lawyer - Proud Sicilian/Hispanic/Egyptian/Asian/etc.","acad","acad"
"RepDonaldsPress","gov","Proudly representing the people of Southwest Florida in #FL19 | Serving on @FinancialCmte & @GOPoversight | Comms Dir. @HarrisonWFields | Official Account","other","other"
"curaffairs","media","Magazine of political commentary & analysis |  help@currentaffairs.org","media","media"
"ColumbusZoo","tourbiz","Official. Home to more than 10,000 animals representing over 600 species, the Columbus Zoo and Aquarium leads and inspires by connecting people and wildlife.","other","other"
"EvelDick","other","I am not nice, so don't expect me to be.
Not even for 5 seconds...                                                 

Subscribe to Dick at Nite at https://t.co/lndriBtvIr","other","other"
"bn9weather","media","Home of #Klystron9 radar and Meteorologists Josh Linker, Juli Marquez, @Mike_Clay, Diane Kacmarik, Brian @mcclureWX, and Alan Winfield.","other","other"
"SenRubioPress","other","Official account of U.S. Senator Marco Rubio’s press shop. For more information please visit his website","media, gov","gov"
"news6wkmg","media","Central Florida @CBSnews affiliate. Tweeting updates from News 6 and https://t.co/Qe9PSfI8BQ.","media","media"
"FCN2go","media","Always On Your Side, First Coast News WTLV/WJXX Jacksonville, FL. Join the thousands following First Coast News.","media","media"
"SafetyPinDaily","media","""""Striving for social justice is the most valuable thing to do in life."""" -- Albert Einstein

A daily source for progressive news and opinions","media","media"
"OrlandoWeekly","media","Orlando Weekly, published every Wednesday, is Central Florida’s alternative source for news, views, arts and entertainment.","media","media"
"altNOAA","other","Not official account of NOAA but close enough we can forecast them. Veteran Managed. Followed by White House COS. Blue Team. #fella @altnoaa@mastodon.green","other","other"
"CBS6","media","Local news and beyond. We’d love to hear your story. Please note content tagged @CBS6 may be used by WTVR and Scripps Co. in both on-air and online reporting.","media","media"
"BillWeirCNN","media","@cnn storyteller covering the fate of life on 🌏 
The Wonder List with Bill Weir now streaming on @discoveryplus","other","other"
"NewsNation","media","America’s source for fact-based, unbiased news for all America.
📺 Find us on your TV: https://t.co/wFMvhHFMBK","media","media"
"WLTX","media","News19 WLTX is On Your Side with Breaking News, Weather and Sports from Columbia, SC. Retweets are not an endorsement. | https://t.co/LZlhk3HLnv","media","media"
"JohnMoralesTV","media","Expert Meteorologist at ClimaData—retained in litigation impacted by weather | Forecast @currently | #climate @BulletinAtomic | BSc @Cornell | MSc @JohnsHopkins","media","media"
"CBSMiami","media","News and insider info from CBS4 News in S. Florida","media","media"
"NancyRichmond","acad","Speaker 🗣️ | University Professor 📚  | Social Media Consultant 🤳  | Wellbeing & Career Expert 🙏 | Inspiring Leaders to Connect & Innovate 👩‍💻","acad","acad"
"ResisterSis20","other","“Well behaved women seldom make history” (Ulrich) I quit worrying about what other people though of me years ago. I am a reader, writer & thinker.","other","other"
"Harpers","media","“Stranger and better than you might expect.” @nytimes 
Subscribe: https://t.co/XnU1Vxfvc0   
Press: media@harpers.org   
Customer care: helpdesk@harpers.org","media","media"
"EdwardGLuce","media","Associate Editor, Financial Times, US-based writer/columnist. Author The Retreat of Western Liberalism, In Spite of the Gods, Time to Start Thinking. My views.","media","media"
"USouthFlorida","acad","America’s fastest-rising university. https://t.co/5aD6QAX0Qt | https://t.co/75GX9gSzeX | https://t.co/bhfEr6fkp2","other","other"
"LeaBlackMiami","media","Lea Black Beauty® #CBDBeauty Skincare, TV & Radio Personality, Author, Mom, Wife, Philanthropist, Political Junkie","media","media"
"greg_doucette","other","Ex-computers guy, then decade as a First Amendment trial attorney in NC+TX, now #InHouse for BigTech. Husband & dog+cats dad. Proud alum of @NCCU and @NCState.","other","other"
"CBS12","media","Covering Palm Beach, Martin, St. Lucie, Indian River & Okeechobee • Got a newstip? Email us: newstips@cbs12.com • 561-881-0796","other","other"
"BillyCorben","other","Directed #GodForbid: The Sex Scandal That Brought Down a Dynasty (on Hulu) and #CocaineCowboys: The Kings of Miami (on Netflix)","other","other"
"ATLNewsFirst","media","The news team that puts YOU first. Atlanta’s only locally-owned station.
📹 Tag your photos, videos, or news tips #ATLnewsfirst","media","media"
"PaulDereume","other","𝘽𝙡𝙖𝙘𝙠𝙇𝙞𝙫𝙚𝙨𝙈𝙖𝙩𝙩𝙚𝙧
 𝘿𝙚𝙢𝙨4𝙍𝙞𝙜𝙝𝙩𝙨 
  𝘽𝙡𝙪𝙚𝘾𝙧𝙚𝙬 
   𝙑𝙖𝙭𝙭𝙚𝙙 
    𝘾𝙞𝙣𝙚𝙢𝙖
     𝙈𝙪𝙨𝙞𝙘
      𝘼𝙧𝙩🎨","other","other"
"knoxnews","media","News from the Knoxville News Sentinel (https://t.co/xSv9rgPVYl), a part of the USA TODAY Network.","media","media"
"Bella623","other","Award-Winning #Horror #Romance #Mystery #Vamp #Author Coffeeholic☕️BunMom🐇❤️Rollercoasters🎢NOLA📿Paranormal💀 #Books Trudeau 🇨🇦♋️  #RESIST #BLM 🌊❄🚫porn/DM","other","other"
"ScienceAlert","media","🔭⚗🌏🐛🚀🌌🌿✨
Official Twitter for https://t.co/h1xw7WhFag","other","other"
"DavidYankovich","other","Dad. Former congressional candidate.               Award winning strategist. Senior Advisor #DemCast #RightSideOfHistory","other","other"
"tbtnewspaper","media","Tampa Bay's free weekly newspaper. A product of @TB_Times, Florida's largest and best newspaper. Read the latest issue at https://t.co/9uZ49Z2ozw","media","media"
"ottawasuncom","media","News, Sports, Entertainment, Comment from Canada's Capital. Words, photos, video, blogs, chats, forums & more","media","media"
"WFLALeigh","media","I wake up at 1 am to bring you weather reports on News Channel 8. Just 1 cup of coffee/day. I love college football! Finished 5 marathons! Animal-lover.","media","media"
"TravelBlggr","other","Storyteller & Recipe Creator at The Travel Bite® Travel & Food | 58+ Countries | SATW | #FSJet Alum | Insta: TheTravelBite","other","other"
"winknews","media","WINK News is Southwest Florida's News Leader, with breaking news and the stories that matter most to you. Have a news tip? Let us know: tips@winknews.com","media","media"
"BombshellDAILY","media","#RESISTANCE HEADLINES: Journalist🔸Integrity🔸Service🔸Links🔸Tolerance🔸Community🔸Activism🔸 Gratitude🔸#FBR","media","media"
"StormHour","media","Promoting Meteorology & Weather Photography since 2015

Get your work seen and shared with a member's spotlight ✨ at ~ https://t.co/rjEw4xr5Yv","other","other"
"GovRonDeSantis","gov","46th Governor of the great state of Florida.","other","other"
"NASAEarth","gov","NASA’s favorite (habitable) planet. 🌎💚 Studying Earth from ground to orbit.","other","other"
"RobertKennedyJr","other","Robert F. Kennedy, Jr. is founder, chairman + chief legal counsel for @ChildrensHD + founder of @Waterkeeper Alliance + served as longtime chairman and attorney","other","other"
"Southern_Living","media","Instant recipes, decorating ideas, gardening tips, and travel destinations for Southern life.","other","other"
"silvioluiz","media-int","Narrador esportivo. Qual quer duvida compre o livro OLHO NO LANCE.","other","other"
"jilevin","other","Retired, progressive, human rights, politics, equality, LGBTQ+, anti-racist, anti-fascist (AntiFa), #BLM #Resist co-founder @FreedomWritersc","other","other"
"littlekeish","other","21+Spanish/Irish•inked•Award winning actress •Dancer•Cellist•Slag•No meet ups or fb• Not an influencer• book me at Littlekeishbookings@gmail.com•hit the link vv","other","other"
"AndrewGillum","other","Father of three. Husband to R. Jai. Proud Floridian.","other","other"
"OurOcean","other","Celebrating 50 years of creating evidence-based solutions for a healthy ocean and the wildlife and communities that depend on it. Founded in 1972. 🐠","other","other"
"PlanetGreen","other","Planet Green offers practical, everyday tips on how to live a greener lifestyle. We offer actionable advice across a variety of topics: green made real.","other","other"
"UROCKlive1","other","Democracy is the way. Truth & justice matter.

Russians go home. Stop attacking your neighbors & lying to the world.

@UROCKlive1@Toad.Social

#NAFO Fellas Fan","other","other"
"foe_us","other","Friends of the Earth (Action), Inc. defends the environment and champions a healthy and just world.","other","other"
"ClimatePower","other","A new era of bold climate action is here. Holding polluters accountable. Empowering @POTUS and his administration to build back better. Science can't wait.","other","other"
"jennycohn1","media","I write about elections & the dangers of the Christian Right for @buckscobeacon; Mastodon = jennycohn@toad.social; Support my work: https://t.co/QWvBn9cIom","other","other"
"tonyposnanski","other","All personal updates only on Substack. Link below. Huge sports card enthusiast sold here https://t.co/lBVXvtU13S","other","other"
"SeaWorld","other","Inspiring millions of guests to care more about the animals in our world through education and entertainment that celebrates the human & animal connection.","other","other"
"Defenders","other","Defenders of Wildlife leads the pack when it comes to protecting wild animals and plants in their natural communities. #StopExtinction","other","other"
"novapbs","media","The PBS documentary series demystifying the science and tech that shape our lives, our planet, and our universe. Streaming now on the @PBS Video app.","other","other"
"tzDiscovery","other","Get live Tweets of current issues and share with friends","other","other"
"travisakers","other","Proud Dad || @USNavy Mustang || National Security || @VillanovaU MPA || @UofSC || Military & Veterans Affairs || #ODAAT || 1 Cor. 13:13 || #Duuuval ||🧂&💡","other","other"
"ALT_uscis","other","Misfit | Not on gov time or tax payers $. As of November 19th 2022, I am Still blocked by Donald J Trump, since 2018. salty asshole","other","other"
"psychdr100","other","Clinical Psychologist  #progressive #resistance 
Women's Rights  Climate Crisis  Equality","other","other"
"ed_lamon","other","My current core chapter of study & related reference verses is Ezekiel 47⭐.

Sola Scriptura (KJV)","other","other"
"SPORTSMANchnl","other","Sportsman Channel is dedicated to preserving America’s hallowed outdoor traditions, its lands, and its waters. It's in our blood.","other","other"
"AnthonySabatini","gov","Chairman, @LakeGOP (FL) | Attorney, Sabatini Law Firm P.A. | America First Republican | Army Veteran | @UF: BA ‘12, JD ‘17 | @ClaremontInst, Lincoln Fellow ‘21","other","other"
"mommamia1217","other","🙋🏼‍♀️#Independent🗳️#Foodie🍽️ #Mangia🇮🇹 #PROCHOICE #LGBTQally🌈 #TypoQueen👸🏼#BannedBookEnthusiast📚 #Healthcare #AnimalAdvocate🦁","other","other"
"YourAnonRiots","other","In the name of all #digital warriors, we warriors promise to participate in the #Anonymous. #HackThePlanet #infoSec #CyberSecurity & #AnonNews #AnonОps","other","other"
"PamKeithFL","other","CEO of Center for Employment Justice LLC, 2020 Dem Cong. Nominee, ex-Navy JAG, litigator & expert on workplace law. BC Law Grad. AKA💚💗 (she/her)","other","other"
"CenterForBioDiv","acad","Over 1 mil. species could soon be lost to the #ExtinctionCrisis. We use law & science to secure a future for all creatures hovering on the brink of extinction.","other","other"
"JayRWilsonUSA","other","Living the happily ever after part of life in a seaside town with my dog Malibu.","other","other"
"Kokomothegreat","other","Artist.
I'm a smartass fluent in profanity. #PoliticalJunkie #TheResistance • #blϻ • #ϻϵtϴϴ • #ϵͷδthϵstῖgϻα on MHI
RARELY check DMS!
Alt: @OutOfFuqs","other","other"
"pattrn","media","Climate Science 🔬
Sustainable Solutions ♻️ 
Earth Champions 🌏 

Link for more👇
https://t.co/yorOG1TJ6g","other","other"
"ESA_EO","gov","@esa #EarthObservation: Taking the pulse of our planet from space.","other","other"
"newschannelnine","media","Taking extra steps daily to keep you more aware, more prepared & better informed about the Chattanooga area & beyond, since 1959. Depend on us.","other","other"
"DemocracyStorm","other","Cofounder & Dir. of Strategy @DemCastUSA | Defender of Democracy | Advisor @SpeechifAI | Geek🖖| #BidenHarris #TeamPelosi #BLM 💉💉💉","other","other"
"LibsInAmerica","other","Every Republican accusation is a confession.","other","other"
"Gdad1","other","I am #ANTIFA 
#Resister
#VoteBlue
#Woke
#BLM
#VoteBlue2024

I've great respect for those who have to swim against the current

I foster & RT rescue dogs & cats","other","other"
"hihi0806","other","Hi!! ☕️Good to see you!! 🍵Please be sure to enjoy the art.(🌏To Twitter friends around the world🌎) 🐾🙀No DM! 😾 🌏✌️I wish the world eternal peace🌈","other","other"
"electroboyusa","other","Electroboy author and mental health advocate. Single dad of two daughters. Fought for Bourdeaux, Warnock and Ossoff in Georgia. #MoreBlue2022","other","other"
"Leslieoo7","other","Woke-ish. Mama always said my smart mouth would get me in trouble one day. #BlackLivesMatter #LGBTQAlly 🏳️‍🌈 #SlavaUkraini 🇺🇦","other","other"
"RobRobbEdwards","other","#AnimalRights #HumanRights  #MyHomelessProgram 
#XR        🌊Blue🌊                   #AnimalJusticeParty 
#ClimateAction #Environment #Greenpeace  #SeaShepherd","other","other"
"kendrick38","other","#GodisGood Instagram: @Kendrick38 https://t.co/lsrCl316p4 Snapchat: Ksmith38 #houston","other","other"
"VSPC","tourbiz","Let’s make every day a beach day. Let’s reconnect. Let’s dig in al fresco. Let’s marvel at masterpieces. Let’s shine in St. Pete/Clearwater, Florida.  ☀️🌴🏖","other","other"
"USTravel","other","Increasing travel to and within the U.S. by establishing travel as essential, advancing seamless and secure travel and shaping effective solutions.","other","other"
"skb_sara","other","I'm a mom & love anything that helps with anti-aging, working out, & staying healthy.","other","other"
"progressivepush","other","National organization helping progressives get elected to public office #TheResistance","other","other"
"tomaskenn","other","Organizer, writer & immigrant. Democratic National Committee member. Anti-fascist. Alum @FIU & @univmiami. IG: @tomaskenn","other","other"
"gideonrachman","media","The chief foreign affairs commentator for the Financial Times shares his views","other","other"
"futurasciences","media-int","Média de décryptage scientifique ! 🌍 ⚛️ ⛑️ 🤖 🏠","other","other"
"0xfoxi","other","Owner https://t.co/vu6gxsRxuA.  Podcasting regularly.  Censored heavily.  Promoting the message of Fatima.  MBA degree. No nonsense. Unapologetically Catholic","other","other"
"exoticgamora","other","Rise by lifting others. Human & civil rights 🇺🇲 Listen and try kindness. Truth is power. Democracy gives you a voice, use it.","other","other"
"HollowManSeries","other","Bestselling & Award Winning Author of The Hollow Man Series -- Follows You -- Exec Director of Endangered Earthlings","other","other"
"marynlm","other","Retired teacher, writer, author MG novel, short stories, poetry, traveler, married, dog lover, no DM’s, Biden🌊🌊🌊 #StandWithUkraine  Слава Україні! 🌻🌻🌻🇺🇦","other","other"
"marstu67","other","Level I Trauma ABEM #FBR #Resist #Dem Justice. Equality for all. Reform gun law #ClimateChange Drs4America #ImWithHer NoTrump #BlueWave No medical price gouging","other","other"
"dhershiser","other","Mom of 2 daughters. We will NOT return to the dark ages! NO LISTS!Asking for $=🚫 Equality, pro-choice, climate crisis, gun control, #metoo #BLM","other","other"
"swissbusiness","other","The Swiss Business Club is connecting business people","other","other"
"MrScottLads","other","💫 Chief Starship Engineer on / #Demvoice1 / #ProudBlue / #ResistanceUnited / #Dems4USA / #GQPClownShow *Commentary","other","other"
