"","text","id","reply_settings","author_id","created_at.x","possibly_sensitive","conversation_id","lang","in_reply_to_user_id","created_at.y","protected","profile_image_url","verified","name","description","username","location","pinned_tweet_id","url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count"
"13","Even though I couldn’t spend a lot of time at the beach because of red tide affecting much of the gulf coast, this vacation was everything I needed and more ☀️🌴","1010206856004952064","everyone","316231861",2018-06-22 17:04:17,FALSE,"1010206856004952064","en",NA,"2011-06-13T04:08:08.000Z",FALSE,"https://pbs.twimg.com/profile_images/1434273424680136706/sg1i-2xH_normal.jpg",FALSE,"maybe: mirandy","y’all are 🚮","mir_duh22","Flavortown, USA","1557553512774615041",NA,0,0,2,0,0,"ab597741c20efb2e",297,798,10720,1
"14","The hell with this red tide","1010303444895363072","everyone","613067984",2018-06-22 23:28:06,FALSE,"1010303444895363072","en",NA,"2012-06-20T02:47:55.000Z",FALSE,"https://pbs.twimg.com/profile_images/1571581631818776577/XXfLqOha_normal.jpg",FALSE,"Wendy PefferCorn","Live every week like it's Shark Week.","KaseyDaley1",NA,"1176912374604939269",NA,0,0,0,0,0,"46f560fbf4d9593e",968,996,32279,2
"15","#redtide is real https://t.co/orGolLoNQp","1010322744234430465","everyone","1292127326",2018-06-23 00:44:47,FALSE,"1010322744234430465","en",NA,"2013-03-23T18:12:11.000Z",FALSE,"https://pbs.twimg.com/profile_images/495364296965361664/rfkKIvmH_normal.jpeg",FALSE,"Idalmis","","idyyolo","Miami, Fl",NA,NA,0,0,1,0,0,"07d9d2e197882001",38,69,1252,4
"16","The drinks are great, the views of the red tide fish kill, not so much. - Drinking a Channel Marker by @Islamoradabeer @ dockside waterfront grill  — https://t.co/myWSy9bshK","1010620272397967360","everyone","161837625",2018-06-23 20:27:04,FALSE,"1010620272397967360","en",NA,"2010-07-01T22:43:56.000Z",FALSE,"https://pbs.twimg.com/profile_images/378800000578213597/19b0cc3cedff3d132a1ee069edce0963_normal.jpeg",FALSE,"Cleet Von Winbush","Just a guy trying to find his way in the universe.","Cleetsauce","This side of the multiverse",NA,NA,0,0,0,0,0,"46f560fbf4d9593e",377,888,29938,14
"17","@thekelseyowens In Venice! Same weather here and the #RedTide is super bad.","1011038848409915392","everyone","1960756279",2018-06-25 00:10:20,FALSE,"1010961702714773504","en","401220863","2013-10-14T13:50:42.000Z",FALSE,"https://pbs.twimg.com/profile_images/1295789464468553728/vDv9M0u4_normal.jpg",FALSE,"Wendy Jo Engle","Wife, Mom, Daughter and Nascar Fanatic","rigsbeewendy79","Ohio, USA",NA,NA,0,0,0,0,0,"46f560fbf4d9593e",115,1233,3358,0
"18","Venice FL service Beach. no dead fish no red tide nice day at beach enjoy.","1011589051835658240","everyone","19368897",2018-06-26 12:36:39,FALSE,"1011589051835658240","en",NA,"2009-01-22T23:24:13.000Z",FALSE,"https://pbs.twimg.com/profile_images/1011312970771546115/y6tfabFF_normal.jpg",FALSE,"Hiker Art","hike, bike and paddle.","hikerArt","Venice Florida",NA,NA,0,0,0,0,0,"46f560fbf4d9593e",5,49,56,0
"19","Hey #Englewood #swfl #Florida We have have problem. https://t.co/UXf9mSKs4m #sendthewatersouth #redtide #bluegreenalgae #bullsugar #protectwhatyoulove","1011751590053728256","everyone","241334616",2018-06-26 23:22:31,FALSE,"1011751590053728256","en",NA,"2011-01-22T01:02:14.000Z",FALSE,"https://pbs.twimg.com/profile_images/1402737968863981571/o4KWIHAG_normal.jpg",FALSE,"The Essential Beachcomber","I'm a native-born Floridian who has lived on the beaches of SWFL my entire life. I love to walk the beach and see what treasures I can find.","EBeachcomber","SWFL",NA,"https://t.co/6rTrpuq1kE",1,0,0,0,0,"ab597741c20efb2e",199,391,2415,4
"20","We’ve all been talking about red tide lately. Here’s the mid-week report from @Suncoastweather https://t.co/PIeb5ZQMMX","1012084882594500608","everyone","3300995572",2018-06-27 21:26:54,FALSE,"1012084882594500608","en",NA,"2015-05-27T21:47:27.000Z",FALSE,"https://pbs.twimg.com/profile_images/1515008770983796744/8R9UeQ1x_normal.jpg",TRUE,"Jacqueline Matter","Anchor + Reporter at @fox5dc, @UNCHussman Alum, Miss NC Intl 2016, veteran advocate, dog mom, coffee lover, -RTs ≠endorsement","JMatter_TV",NA,"1605366724177428480","https://t.co/CHaIPCqQXS",0,0,1,0,0,"5acc3a887617d093",3669,1487,6993,42
"21","Red tide bloom killing fish, sea turtles in Fort Myers area https://t.co/F2W1tjbutN via @thenewspress","1012085617210155008","everyone","367317054",2018-06-27 21:29:49,FALSE,"1012085617210155008","en",NA,"2011-09-03T19:26:29.000Z",FALSE,"https://pbs.twimg.com/profile_images/1598388606279847939/YRp5h3wV_normal.jpg",FALSE,"Daniel Wells 🌴","Pizza Lover🍕","DANIEL_WELLS80","Florida, USA","1153438688782835712",NA,0,0,0,0,0,"ab597741c20efb2e",1710,138,4504,20
"22","Another fun day at the beach. Red  Tide is a real thing. Dead fish everywhere. So sad 😞 https://t.co/sLrN3x39Ed","1013077447829532672","everyone","95272661",2018-06-30 15:11:00,FALSE,"1013077447829532672","en",NA,"2009-12-07T20:32:16.000Z",FALSE,"https://pbs.twimg.com/profile_images/1542723801905070081/MspmsHPa_normal.jpg",FALSE,"Jeni Long ➡ #IDEACon ✈🎉","Helping Ts make lrng accessible & equitable for ALL! #Jenallee Edtech consultant #MIEExpert #OneNote 💜 #FETC #TCEA #IDEACon #ISTE #MicrosoftEDU #MicrosoftTeams","jlo731","Fort Worth, TX","1452804769299435526","https://t.co/Ng92RcLRvM",0,0,9,1,0,"46f560fbf4d9593e",5668,5432,15274,76
"23","Blue-green Algae and Red Tide Algae Plague Southwest Florida Waters https://t.co/qkoaoAYK9u","1014256309598932999","everyone","367317054",2018-07-03 21:15:22,FALSE,"1014256309598932999","en",NA,"2011-09-03T19:26:29.000Z",FALSE,"https://pbs.twimg.com/profile_images/1598388606279847939/YRp5h3wV_normal.jpg",FALSE,"Daniel Wells 🌴","Pizza Lover🍕","DANIEL_WELLS80","Florida, USA","1153438688782835712",NA,0,0,1,0,0,"ab597741c20efb2e",1710,138,4504,20
"24","Waves of marine life dying off in Florida 'red tide' https://t.co/d037CkGsEV via @nypost","1015283481339990017","everyone","367317054",2018-07-06 17:16:59,FALSE,"1015283481339990017","en",NA,"2011-09-03T19:26:29.000Z",FALSE,"https://pbs.twimg.com/profile_images/1598388606279847939/YRp5h3wV_normal.jpg",FALSE,"Daniel Wells 🌴","Pizza Lover🍕","DANIEL_WELLS80","Florida, USA","1153438688782835712",NA,0,0,1,0,0,"ab597741c20efb2e",1710,138,4504,20
"25","The worst Red Tide that I’ve experienced. #RedTide #cough #deadfish https://t.co/1XZHDisMIU","1015598991738843137","everyone","537213664",2018-07-07 14:10:43,FALSE,"1015598991738843137","en",NA,"2012-03-26T13:29:46.000Z",FALSE,"https://pbs.twimg.com/profile_images/668963713559486465/AWa5FK99_normal.jpg",FALSE,"Ashley Robertson","Coach’s Wife, Mom, BBBSNEI, Boilermaker, “Be the change you want to see in the world.”","AKugs2",NA,NA,NA,0,1,1,0,0,"07d9e9a816485001",157,413,3708,3
"26","Red tide dilemma 😷
https://t.co/fjUKL58UID https://t.co/gaB0GS2aLF","1015618609622736896","everyone","300217522",2018-07-07 15:28:40,FALSE,"1015618609622736896","sv",NA,"2011-05-17T12:02:09.000Z",FALSE,"https://pbs.twimg.com/profile_images/752547013070389248/qa_tGPtp_normal.jpg",FALSE,"Bob-the-Pilot","I pontificate my subjective convictions with indelicacy.

I block those that advocate violence, hate, racism, xenophobia, misogyny and that convey ad hominem.","Bobthepilot","North Port, FL","1585645570798268417",NA,0,0,0,0,0,"ab597741c20efb2e",213,32,16621,5
"27","Saw that City of Clearwater Beach no longer allows plastic straws. Proud to say I hit Venice beaches almost daily and seldom EVER find a straw. 
    Red Tide about gone today. 
NICE!","1017193579201159169","everyone","31866098",2018-07-11 23:47:02,FALSE,"1017193579201159169","en",NA,"2009-04-16T15:00:32.000Z",FALSE,"https://pbs.twimg.com/profile_images/267131965/VeniceSun_normal.jpg",FALSE,"SunnyBreezes","","VeniceFlorida",NA,NA,NA,0,0,0,0,0,"46f560fbf4d9593e",608,53,3240,17
"28","If the green algae from Lake Okechobee hasn’t reached the gulf yet, then it can’t be the cause of our Red Tide that’s been here for a month. Then what is the cause? They say Red Tide starts way offshore.","1018262963071930368","everyone","31866098",2018-07-14 22:36:23,FALSE,"1018262963071930368","en",NA,"2009-04-16T15:00:32.000Z",FALSE,"https://pbs.twimg.com/profile_images/267131965/VeniceSun_normal.jpg",FALSE,"SunnyBreezes","","VeniceFlorida",NA,NA,NA,0,0,1,0,0,"46f560fbf4d9593e",608,53,3240,17
"29","@jazzcuzzii Lmao I go to college in Sarasota and I'm dealing with the same things there. That red tide is NASTY. Sarasota and Vince are pretty much shaped to be the best place for older white conservative people.","1018980935029620737","everyone","910999975223611393",2018-07-16 22:09:21,FALSE,"1018564848949526528","en","747821046","2017-09-21T22:51:34.000Z",FALSE,"https://pbs.twimg.com/profile_images/1391922994877018112/jDbscs78_normal.jpg",FALSE,"Comrade Yola☭","Artist/Abolitionist/ revolutionary art ☭ It is RIGHT to rebel ☭ intuitive🔮 ❤@rdko21❤ Marxist  #autistic","human_leech","Atlanta, GA (she/her) ","1569858952254586880","https://t.co/zL3MVHasLD",0,1,0,0,0,"46f560fbf4d9593e",4937,577,11201,52
"30","Red Tide gone from our beaches and jetties.","1019524117794607105","everyone","31866098",2018-07-18 10:07:46,FALSE,"1019524117794607105","en",NA,"2009-04-16T15:00:32.000Z",FALSE,"https://pbs.twimg.com/profile_images/267131965/VeniceSun_normal.jpg",FALSE,"SunnyBreezes","","VeniceFlorida",NA,NA,NA,1,0,3,0,0,"46f560fbf4d9593e",608,53,3240,17
"31","With the West wind Red Tide has returned with a vengeance! Very strong bronchial effect Thursday. 
     Let’s watch for East wind to blow it out to sea, and HEAD FOR THE BEACH!","1020005886285271040","everyone","31866098",2018-07-19 18:02:08,FALSE,"1020005886285271040","en",NA,"2009-04-16T15:00:32.000Z",FALSE,"https://pbs.twimg.com/profile_images/267131965/VeniceSun_normal.jpg",FALSE,"SunnyBreezes","","VeniceFlorida",NA,NA,NA,0,0,0,0,0,"46f560fbf4d9593e",608,53,3240,17
"32","what is red tide @ Siesta Key Beach https://t.co/J6hUmuOlOG","1020021503851749383","everyone","46372182",2018-07-19 19:04:12,FALSE,"1020021503851749383","en",NA,"2009-06-11T12:04:29.000Z",FALSE,"https://pbs.twimg.com/profile_images/945199269136416769/NVKkwJro_normal.jpg",FALSE,"Joey","Loves video games. Loves pizza.","JoeyisPizza","Somewhere, USA",NA,NA,0,0,0,0,0,"63fc5d2e91b3f086",40,723,13911,0
"33","@TrumpGirlStrong @adamputnam @RonDeSantisFL He did skate around the big sugar question. However his response regarding red tide very interesting. It’s in the presser video that I uploaded.","1020444090155053058","everyone","747552338",2018-07-20 23:03:24,FALSE,"1019938478379950080","en","747552338","2012-08-09T16:54:44.000Z",FALSE,"https://pbs.twimg.com/profile_images/1199787023508365318/sFxlsK-T_normal.jpg",FALSE,"Francesco Abbruzzino - The Scoop","Covering local Suncoast news and some national news. Alumna @UofMaryland, Vet @DepNavy. Bringing back Truth In Media!","TheSuncoastNews","Sarasota, Florida",NA,"https://t.co/ZhRKxESlva",0,0,0,0,0,"46f560fbf4d9593e",1107,319,152229,54
"34","Christopher Pitts

I wanted to share this graphic which shows we have pollution from two sources. We have persistent red tide here in Charlotte and Sarasota counties following unusually high readings of phosphorus in the Peace river.  The Lake O release coming down Caloosahatchee https://t.co/oEl2ECuo0L","1021154732155555845","everyone","747552338",2018-07-22 22:07:14,FALSE,"1021154732155555845","en",NA,"2012-08-09T16:54:44.000Z",FALSE,"https://pbs.twimg.com/profile_images/1199787023508365318/sFxlsK-T_normal.jpg",FALSE,"Francesco Abbruzzino - The Scoop","Covering local Suncoast news and some national news. Alumna @UofMaryland, Vet @DepNavy. Bringing back Truth In Media!","TheSuncoastNews","Sarasota, Florida",NA,"https://t.co/ZhRKxESlva",1,0,2,0,0,"46f560fbf4d9593e",1107,319,152229,54
"35","The only negative to the FL life is red tide :/ @ North Port, Florida https://t.co/9b6O2rcLAt","1021155879238787072","everyone","2770403231",2018-07-22 22:11:48,FALSE,"1021155879238787072","en",NA,"2014-09-14T20:09:16.000Z",FALSE,"https://pbs.twimg.com/profile_images/1543350351155249152/xqaiik4M_normal.jpg",FALSE,"Hunty","","hunt_beth_",NA,"1076974243236270080",NA,0,0,1,0,0,"81b55f54466d8ae4",371,130,9065,0
"36","Hey #EnglewoodFL Check out “Red Tide Watch Manasota Key” on facebook to join your community &amp; make your voice heard. https://t.co/Qi2KObLK3a #swfl #cleannotgreen #lovefl https://t.co/DhNcDDSSQV","1021367175485980672","everyone","241334616",2018-07-23 12:11:25,FALSE,"1021367175485980672","en",NA,"2011-01-22T01:02:14.000Z",FALSE,"https://pbs.twimg.com/profile_images/1402737968863981571/o4KWIHAG_normal.jpg",FALSE,"The Essential Beachcomber","I'm a native-born Floridian who has lived on the beaches of SWFL my entire life. I love to walk the beach and see what treasures I can find.","EBeachcomber","SWFL",NA,"https://t.co/6rTrpuq1kE",3,0,2,0,0,"ab597741c20efb2e",199,391,2415,4
"37","Venice beach was not a good experience there was a red tide and there were thousands of dead fish on the beach @ Venice Beach, Florida https://t.co/vW4YUjuhDX","1021831325685346305","everyone","274636347",2018-07-24 18:55:47,FALSE,"1021831325685346305","en",NA,"2011-03-30T17:46:11.000Z",FALSE,"https://pbs.twimg.com/profile_images/626870008606494720/_aBEdRdR_normal.jpg",FALSE,"Jonathan Ayers","actor in B movies/chef/owner of jonmixtapes","jonayers123","Orlando, FL",NA,NA,0,0,0,0,0,"46f560fbf4d9593e",77,163,891,2
"38","@TrumpGirlStrong did you listen to this video report that I put out over the weekend regarding red tide?
https://t.co/Kn1RxbM6cV","1021909871271333891","everyone","2555046037",2018-07-25 00:07:54,FALSE,"1021909871271333891","en","831307291517386753","2014-06-08T15:39:20.000Z",FALSE,"https://pbs.twimg.com/profile_images/938197825585930240/ywIqdf2D_normal.jpg",FALSE,"Francesco Abbruzzino - The Scoop News","Covering news impacting Sarasota county, National news, and international news","UncensoredScoop","Venice, FL",NA,"https://t.co/aekmYSsXKP",0,1,0,0,0,"46f560fbf4d9593e",438,114,36044,13
"39","@TheNewsPress #Wildlife groups and the loss of #taxes from #fishing and #tourism might be the only pressure that will initiate action from our #elected officials due #redtide.","1022316586152157184","everyone","300217522",2018-07-26 03:04:02,FALSE,"1022233303590424576","en","14089276","2011-05-17T12:02:09.000Z",FALSE,"https://pbs.twimg.com/profile_images/752547013070389248/qa_tGPtp_normal.jpg",FALSE,"Bob-the-Pilot","I pontificate my subjective convictions with indelicacy.

I block those that advocate violence, hate, racism, xenophobia, misogyny and that convey ad hominem.","Bobthepilot","North Port, FL","1585645570798268417",NA,0,0,2,0,0,"81b55f54466d8ae4",213,32,16621,5
"40","On the west coast of FL and this Red Tide is no joke. #cantbreathe 🌊🆘","1023224344506454016","everyone","95231863",2018-07-28 15:11:08,FALSE,"1023224344506454016","en",NA,"2009-12-07T16:28:48.000Z",FALSE,"https://pbs.twimg.com/profile_images/1603008548350443521/ZEsyfBeS_normal.jpg",FALSE,"Danielle Matthews","Philadelphia Sports Fan 4/4 🦅 A lot of Golf & Phila sports tweets. @DMcreativehouse @airwayzofficial @it_ding","dmatthews924","Jupiter, FL",NA,"https://t.co/Kyitl1Ix1O",1,1,1,0,0,"427b5367da3c2878",3524,613,23920,49
"41","@DanielleMaslany Yes! Alabama fans/people are the worst","1023297164737499137","everyone","185419724",2018-07-28 20:00:30,FALSE,"1023224344506454016","en","95231863","2010-08-31T23:18:25.000Z",FALSE,"https://pbs.twimg.com/profile_images/1569281450221998084/LxPsbYdM_normal.jpg",FALSE,"Mc5cent","who are 3 people who have never been in my kitchen? Cliff","baldjoe","Lafayette Hill","1475996200948092930",NA,0,1,1,0,0,NA,600,305,59944,17
"42","@baldjoe Lolllllll","1023303107143512064","everyone","95231863",2018-07-28 20:24:07,FALSE,"1023224344506454016","und","185419724","2009-12-07T16:28:48.000Z",FALSE,"https://pbs.twimg.com/profile_images/1603008548350443521/ZEsyfBeS_normal.jpg",FALSE,"Danielle Matthews","Philadelphia Sports Fan 4/4 🦅 A lot of Golf & Phila sports tweets. @DMcreativehouse @airwayzofficial @it_ding","dmatthews924","Jupiter, FL",NA,"https://t.co/Kyitl1Ix1O",0,0,2,0,0,NA,3524,613,23920,49
"43","@ChristiWomack The last red tide cell counts at Casperson were in the 8,000s. 😐","1023356151528935429","everyone","21992035",2018-07-28 23:54:54,FALSE,"1023250679496884227","en","1286527476","2009-02-26T08:55:50.000Z",FALSE,"https://pbs.twimg.com/profile_images/1611079726767955980/Jq6x5xmU_normal.jpg",TRUE,"Carlos R. Munoz 📰","Digital & audience engagement editor @Globe_RI (@BostonGlobe). 
🐶 Ewok Duke. 
🐮 WI native. 
🐘 @rhodeisland@newsie.social","ReadCarlos","⚓ Cumberland, RI ",NA,"https://t.co/XWTXNo6tNp",0,0,0,0,0,"7f6bf29133462d29",3375,1856,40379,97
"44","Hey #EnglewoodFL The red tide super bloom is devasting local business. We need a solution to nutrient pollution now! https://t.co/P8piD79Tsf #restoretheflow #protectwhatyoulove #summerbummer #SWFL #lovefl #visitflorida #cleanwater","1023772779118833666","everyone","241334616",2018-07-30 03:30:25,FALSE,"1023772779118833666","en",NA,"2011-01-22T01:02:14.000Z",FALSE,"https://pbs.twimg.com/profile_images/1402737968863981571/o4KWIHAG_normal.jpg",FALSE,"The Essential Beachcomber","I'm a native-born Floridian who has lived on the beaches of SWFL my entire life. I love to walk the beach and see what treasures I can find.","EBeachcomber","SWFL",NA,"https://t.co/6rTrpuq1kE",0,0,0,0,0,"ab597741c20efb2e",199,391,2415,4
"45","Hey #EnglewoodFL Going on 6 weeks of #redtidesuperbloom in our gulf waters &amp; bays. Join Red Tide Watch Manasota Key group on fb to make your voice heard. #restoretheflow #protectwhatyoulove #swfl #lovefl #visitflorida #bestsideoutside #realpureflorida .#ftmyerssanibel https://t.co/XC6CUgWpIa","1023907423986360320","everyone","241334616",2018-07-30 12:25:27,FALSE,"1023907423986360320","en",NA,"2011-01-22T01:02:14.000Z",FALSE,"https://pbs.twimg.com/profile_images/1402737968863981571/o4KWIHAG_normal.jpg",FALSE,"The Essential Beachcomber","I'm a native-born Floridian who has lived on the beaches of SWFL my entire life. I love to walk the beach and see what treasures I can find.","EBeachcomber","SWFL",NA,"https://t.co/6rTrpuq1kE",0,0,0,0,0,"ab597741c20efb2e",199,391,2415,4
"46","Turn the Tide!! 
STOP ""FEEDING"" the RED TIDE!! - Sign the petition! https://t.co/IXt8vPrVkB via @Change","1023949064126246912","everyone","285680498",2018-07-30 15:10:55,FALSE,"1023949064126246912","en",NA,"2011-04-21T15:55:37.000Z",FALSE,"https://pbs.twimg.com/profile_images/2639225391/a6d40665ffef3863b666384113e0828b_normal.jpeg",FALSE,"Pam Porter-Tufo","","hulagirlpam",NA,NA,NA,0,0,0,0,0,"ab597741c20efb2e",17,37,4928,1
