"","text","conversation_id","created_at.x","author_id","lang","reply_settings","possibly_sensitive","id","in_reply_to_user_id","verified","created_at.y","location","name","profile_image_url","description","protected","username","url","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"11","RT @MarkPuente: Where will sewage spill next in the Tampa Bay area? Just follow @CharlieFrago. https://t.co/SiG84HoAhy","1003673159311257601",2018-06-04 16:21:43,"2933793124","en","everyone",FALSE,"1003673159311257601",NA,FALSE,"2014-12-20T15:28:21.000Z","Just out of Sorts","End the Filibuster!☮️ 💔🌈🛶🚭🌊🇺🇦","https://pbs.twimg.com/profile_images/1593015897379246083/TT5JtdLV_normal.jpg","Lost wife & best friend, Emily, 11/19/2017.
Blue. Gunsense. BLM. BDS.
Repulsed by hatred, bigotry & the Republican war against democracy itself!
Vote Blue!",FALSE,"kenkircher1",NA,"1043546526029676544",3,0,0,0,0,NA,2898,1377,1211369,27,"Where will sewage spill next in the Tampa Bay area? Just follow @CharlieFrago. https://t.co/SiG84HoAhy"
"12","RT @MarkPuente: Where will sewage spill next in the Tampa Bay area? Just follow @CharlieFrago. https://t.co/SiG84HoAhy","1004173975369539584",2018-06-06 01:31:47,"66372964","en","everyone",FALSE,"1004173975369539584",NA,FALSE,"2009-08-17T15:00:02.000Z","Tampa Bay, Florida","Frēda Drake","https://pbs.twimg.com/profile_images/1453333651702288384/ObwaasOa_normal.jpg","Author of Publicity on Steroids | Director of Publicity and Marketing for Alive Book Publishing | President of The Reps",FALSE,"DrFredaDrake","https://t.co/WnlhCW3pN1",NA,3,0,0,0,0,NA,486,760,1214,0,"Where will sewage spill next in the Tampa Bay area? Just follow @CharlieFrago. https://t.co/SiG84HoAhy"
"13","@craigtimes @MoteMarineLab My laymen’s casual observation is that the strongest outbreaks along SWFL tend to correlate with the health of Tampa Bay. We had several relatively calm years as the Bay really recovered, until the major sewage dump in St. Pete.. ","1015232561067581440",2018-07-06 14:50:23,"125802576","en","everyone",FALSE,"1015246586174156801","62575859",TRUE,"2010-03-23T22:47:10.000Z","Florida, USA","Matt Caldwell","https://pbs.twimg.com/profile_images/860280695566073856/Uc1SYJ1q_normal.jpg","Christian. Husband. Father. Floridian. Passionate defender of limited government and individual liberties. #2lanetravels",FALSE,"mattcaldwell_fl","https://t.co/DjAvULXdOb",NA,0,1,0,0,0,NA,6119,10,9106,126,"@craigtimes @MoteMarineLab My laymen’s casual observation is that the strongest outbreaks along SWFL tend to correlate with the health of Tampa Bay. We had several relatively calm years as the Bay really recovered, until the major sewage dump in St. Pete."
"14","@mattcaldwell_fl @MoteMarineLab @MyFWC Not arguing. Just pointing out that the bay itself is not suffering from any such blooms. The Red Tide bloom going on now in SW #Florida started in November, well after the summer sewage dumping in Tampa Bay occurred. Suggests to me that other explanations may make more sense.. ","1015232561067581440",2018-07-06 15:04:26,"62575859","en","everyone",FALSE,"1015250124023443457","125802576",FALSE,"2009-08-03T17:55:56.000Z","St. Petersburg FL","Craig Pittman","https://pbs.twimg.com/profile_images/1438867672494657541/cMKAyT15_normal.jpg","THE STATE YOU'RE IN & MANATEE INSANITY both out in paperback now! Other books: NYT bestseller OH, FLORIDA! & CAT TALE. Columnist, Florida Phoenix. Florida man.",FALSE,"craigtimes","https://t.co/Y1kqEYKFCg","1437092398249689093",1,0,1,0,0,NA,20627,2285,180255,859,"@mattcaldwell_fl @MoteMarineLab @MyFWC Not arguing. Just pointing out that the bay itself is not suffering from any such blooms. The Red Tide bloom going on now in SW #Florida started in November, well after the summer sewage dumping in Tampa Bay occurred. Suggests to me that other explanations may make more sense."
"15","RT @craigtimes: @mattcaldwell_fl @MoteMarineLab @MyFWC Not arguing. Just pointing out that the bay itself is not suffering from any such bl…","1015580263081005056",2018-07-07 12:56:17,"2857581195","en","everyone",FALSE,"1015580263081005056",NA,FALSE,"2014-11-02T20:48:57.000Z","Jensen Beach, Florida","nathaniel osborn","https://pbs.twimg.com/profile_images/1600645564416380928/taQmOmde_normal.jpg","historian, high school sailing coach, author 'indian river lagoon: an environmental history' (@floridapress) catboat owner, 🚲 tourer. less us more them",FALSE,"NEOsborn",NA,NA,1,0,0,0,0,NA,962,1629,1866,19,"@mattcaldwell_fl @MoteMarineLab @MyFWC Not arguing. Just pointing out that the bay itself is not suffering from any such blooms. The Red Tide bloom going on now in SW #Florida started in November, well after the summer sewage dumping in Tampa Bay occurred. Suggests to me that other explanations may make more sense."
"16","Contaminated Water Alert: There was a release of sewage from an overflowing pump station to the Hillsborough River last night in the 5000 block of E. Riverhills Drive, Tampa.  Please limit contact with the River in this area for the next few days. . https   twitter com EPCHC status 1019959163533824002 photo 1","1019959163533824002",2018-07-19 14:56:29,"40763441","en","everyone",FALSE,"1019959163533824002",NA,FALSE,"2009-05-17T23:42:42.000Z","Hillsborough County, FL","EPC of Hillsborough","https://pbs.twimg.com/profile_images/876819193596973063/puB0_xBe_normal.jpg","The EPC encourages environmental stewardship in our mission to protect the natural resources and quality of life for the citizens of Hillsborough County,",FALSE,"EPCHC","http://t.co/KFwyvcvTWU",NA,3,0,0,0,0,NA,374,256,2020,5,"Contaminated Water Alert: There was a release of sewage from an overflowing pump station to the Hillsborough River last night in the 5000 block of E. Riverhills Drive, Tampa.  Please limit contact with the River in this area for the next few days. https://t.co/aafZYNPnPR"
"17","The Environmental Protection Commission of Hillsborough County has issued a Contaminated Water Alert. There was a release of sewage from an overflowing pump station to the Hillsborough River on the evening of July 18, 2018 at the 5000 block of E. Riverhills Drive, Tampa, FL.. ","1020065173233643525",2018-07-19 21:57:43,"10349062","en","everyone",FALSE,"1020065173233643525",NA,FALSE,"2007-11-18T05:55:28.000Z","USA","F3RDito","https://pbs.twimg.com/profile_images/529461818700214273/XgAVzsC__normal.png","Art is in my heart and technology flows through my veins.  As an Amazon Associate (other) I earn from qualifying purchases.  Assume all links may be affiliate.",FALSE,"f3rdito",NA,"1441296324230451201",0,0,0,0,0,NA,1590,2997,16036,58,"The Environmental Protection Commission of Hillsborough County has issued a Contaminated Water Alert. There was a release of sewage from an overflowing pump station to the Hillsborough River on the evening of July 18, 2018 at the 5000 block of E. Riverhills Drive, Tampa, FL."
"18","RT @EPCHC: Contaminated Water Alert: There was a release of sewage from an overflowing pump station to the Hillsborough River last night in…","1020454301188206592",2018-07-20 23:43:59,"520230988","en","everyone",FALSE,"1020454301188206592",NA,FALSE,"2012-03-10T08:56:42.000Z",NA,"Charissa Gionet","https://pbs.twimg.com/profile_images/1885723166/hangtenbro_normal.jpg","",FALSE,"CG_BabaBirdy",NA,NA,3,0,0,0,0,NA,31,184,700,0,"Contaminated Water Alert: There was a release of sewage from an overflowing pump station to the Hillsborough River last night in the 5000 block of E. Riverhills Drive, Tampa.  Please limit contact with the River in this area for the next few days. https://t.co/aafZYNPnPR"
"19","As an avid angler I see big changes in Tampa because of runoff and dumping sewage into the bay. These are all infrastructure issues that need to be addressed and protected. Gov Rick Scott aka: skeletor don't and haven't given a $hit for years. This is not political! . https   twitter com EdKrassen status 1023192534087020545","1023264040167120901",2018-07-28 17:48:53,"733277266185224193","en","everyone",FALSE,"1023264040167120901",NA,FALSE,"2016-05-19T12:44:58.000Z","Tampa, FL","Joel Kapp","https://pbs.twimg.com/profile_images/1189150654796894213/Ho9FA6wT_normal.jpg","Proud father and lover of life. Addicted angler and family man. Advocate for my boy that has #autism. It doesn't define him.",FALSE,"joelkapp",NA,NA,0,0,3,0,0,NA,141,426,3643,1,"As an avid angler I see big changes in Tampa because of runoff and dumping sewage into the bay. These are all infrastructure issues that need to be addressed and protected. Gov Rick Scott aka: skeletor don't and haven't given a $hit for years. This is not political! https://t.co/uEpuESdDsZ"
"20","Tampa Bay's sewage mess: 29 million gallons spilled into the bay and rising 

@StPeteFL @ScottforFlorida @SiestaKey 

#REDTIDE FEEDERS AND HERES HOW ! LOOK

@MiamiHEAT @OrlandoMagic @TampaBayStorm @RaysBaseball @JSUNews @mysuncoast @bradentonherald @tbocom. https   www tampabay com news environment water tampa bays sewage mess 29 million gallons spilled into the bay and rising 2292477","1025138550570934278",2018-08-02 21:57:31,"82238235","en","everyone",FALSE,"1025138550570934278",NA,FALSE,"2009-10-14T00:55:18.000Z","CLASSIFIED   #Sept11 #WTC 9/11","LIBERTY OR DEATH","https://pbs.twimg.com/profile_images/1050714082905661440/dF6DnFwt_normal.jpg","💥💥💥💥💥💥🔫 😎👍✨ ✨XI✨ ✨",FALSE,"RattlesnakeX","https://t.co/74fh08chzZ","1026114656975376384",0,0,0,0,0,NA,822,889,21247,25,"Tampa Bay's sewage mess: 29 million gallons spilled into the bay and rising https://t.co/95e4AUGIZ5

@StPeteFL @ScottforFlorida @SiestaKey 

#REDTIDE FEEDERS AND HERES HOW ! LOOK

@MiamiHEAT @OrlandoMagic @TampaBayStorm @RaysBaseball @JSUNews @mysuncoast @bradentonherald @tbocom"
"21","GOP disgusting mess in Florida manatees rotting on the beaches, fish killing wildlife smells awful. National treasure our seas turned into a sewer. Tampa has same issues Huston too Dumping into the Gulf!! This is our only 🌎 WTF‼️‼️‼️ . https   twitter com NelsonForSenate status 1026873468942512128","1026933918430371840",2018-08-07 20:51:40,"442428404","en","everyone",FALSE,"1026933918430371840",NA,FALSE,"2011-12-21T03:30:52.000Z","Tarpon Springs, FL","Debby Horan","https://pbs.twimg.com/profile_images/1418309132399095808/WFCot7EA_normal.jpg","Native #RESIST #ENOUGH No-NRA. ANTI-45‼️🤬 Animal lover! too old to give a shit.. 420 #BlueWave #UniteTheUSA🌊🌊",FALSE,"Horan_Debbyv",NA,NA,0,0,0,0,0,NA,1468,2463,12134,0,"GOP disgusting mess in Florida manatees rotting on the beaches, fish killing wildlife smells awful. National treasure our seas turned into a sewer. Tampa has same issues Huston too Dumping into the Gulf!! This is our only 🌎 WTF‼️‼️‼️ https://t.co/EvIs0p6ewt"
"22","Can you spare a minute to help Lesley Klein? . https   www change org p mayor rick kriseman stop st pete s illegal dumping of raw and partially treated sewage into tampa bay s water fbog 1203726","1028151461279092737",2018-08-11 05:29:45,"17984734","en","everyone",FALSE,"1028151461279092737",NA,FALSE,"2008-12-09T05:11:18.000Z","Murphy, NC","LesleyKlein","https://pbs.twimg.com/profile_images/605887406982623232/EUu9JqZw_normal.jpg","Co-Founder/Director of Operations: Legrity Media. Host: Good-Vibes TV airing on Legrity TV, a streaming TV digital Network that positively impacts lives.",FALSE,"LesleyKlein","https://t.co/H0UNFJHqL3",NA,0,0,0,0,0,NA,188,339,5078,0,"Can you spare a minute to help Lesley Klein? https://t.co/U6Bhohz7nw"
"23","Share petition · Mayor Rick Kriseman: Stop St. Pete's illegal dumping of raw and partially treated sewage into Tampa Bay's water ·  . https   www change org. https   www change org p mayor rick kriseman stop st pete s illegal dumping of raw and partially treated sewage into tampa bay s water psf share","1028151548650704896",2018-08-11 05:30:05,"17984734","en","everyone",FALSE,"1028151548650704896",NA,FALSE,"2008-12-09T05:11:18.000Z","Murphy, NC","LesleyKlein","https://pbs.twimg.com/profile_images/605887406982623232/EUu9JqZw_normal.jpg","Co-Founder/Director of Operations: Legrity Media. Host: Good-Vibes TV airing on Legrity TV, a streaming TV digital Network that positively impacts lives.",FALSE,"LesleyKlein","https://t.co/H0UNFJHqL3",NA,0,0,0,0,0,NA,188,339,5078,0,"Share petition · Mayor Rick Kriseman: Stop St. Pete's illegal dumping of raw and partially treated sewage into Tampa Bay's water · https://t.co/R4Zw5JAQhE https://t.co/haKt6EDZkj"
"24","The St. Pete city council voted to settle the case against the city for dumping 200+ millions of gallons of waste in Tampa bay by donating $200,000 to the Tampa Bay Estuary Program... . https   stpetecatalyst com st pete city council approves settlement in sewage spill lawsuit","1028623714915700736",2018-08-12 12:46:19,"2717406540","en","everyone",FALSE,"1028623714915700736",NA,FALSE,"2014-08-08T16:19:24.000Z","St Petersburg, FL","Illumi-NationProject","https://pbs.twimg.com/profile_images/702994612403707905/g22j4-iD_normal.jpg","We are studying eco-villages across the country in order to create the best design for a network of replicable, therapeutic, functioning sustainable villages.",FALSE,"IllumiNationPrj","http://t.co/7gPt43QYQW",NA,0,0,0,0,0,NA,14,24,363,0,"The St. Pete city council voted to settle the case against the city for dumping 200+ millions of gallons of waste in Tampa bay by donating $200,000 to the Tampa Bay Estuary Program... https://t.co/mj7J2waaL9"
"25","Tampa News You asked: Why do we still dump sewage onto our beaches? - Miami Herald  . https   news google com home. https   twitter com Tampa_NC status 1029029093814091776 photo 1","1029029093814091776",2018-08-13 15:37:09,"213895894","en","everyone",FALSE,"1029029093814091776",NA,FALSE,"2010-11-10T01:45:00.000Z","Tampa, FL","Tampa NewsChannel","https://pbs.twimg.com/profile_images/664565240718225408/R8vvlI4y_normal.jpg","Updated Tampa news,sports,
weather,entertainment,politics
and business information.",FALSE,"Tampa_NC","http://t.co/D4cEUWUxVe",NA,0,0,1,0,0,NA,383,42,47588,17,"Tampa News You asked: Why do we still dump sewage onto our beaches? - Miami Herald https://t.co/TDR7YaOA4d https://t.co/82cMFfquiD"
"26","Microbubbles reveal efficacy of radiation against cancer, Sewage Overflow Again Fouls Tampa Bay After Storm ... - . http   medpharmnews com archives 1919","1029520322435928065",2018-08-15 00:09:07,"4855478036","en","everyone",FALSE,"1029520322435928065",NA,FALSE,"2016-02-03T19:24:30.000Z",NA,"Shizue Armstrong","https://pbs.twimg.com/profile_images/694965423213641728/SRihR1vM_normal.jpg","There are 3 types of people in the world- vegetarian, non-veterinarian & Tuesday Saturday",FALSE,"shizuearmstron6",NA,NA,0,0,0,0,0,NA,0,0,1731,0,"Microbubbles reveal efficacy of radiation against cancer, Sewage Overflow Again Fouls Tampa Bay After Storm ... - https://t.co/IvmBRwZNX9"
"27","@volleypc @RedTRaccoon Just ask the city of St. Petersburg Florida who has dumped sewage into Tampa Bay several times.....😳😳😳😳. ","1039662873570672642",2018-09-12 00:34:49,"42093105","en","everyone",FALSE,"1039673651354841088","17529457",FALSE,"2009-05-23T20:37:19.000Z","Florida, USA","VLP 🖖","https://pbs.twimg.com/profile_images/1590855983441526787/Z0JK7Zkq_normal.jpg","Proud Democrat in a growing scourge of MAGA Floridians.
Don't let YOUR freedoms get stripped from OUR country!
#SupportBlue ANYTIME you can.",FALSE,"VPVP1957",NA,"1565324130479751169",0,1,1,0,0,NA,750,1766,70949,16,"@volleypc @RedTRaccoon Just ask the city of St. Petersburg Florida who has dumped sewage into Tampa Bay several times.....😳😳😳😳"
"28","TAMPA WASTE MANAGEMENT workers with EnviroWaste on ground in Fayetteville, NC helping city pump out its storm water system. Cape Fear River continues to rise, expected to crest Wednesday at close to 62’. More reports today for our Carolina stations as well as @BN9 @MyNews13 . https   twitter com Jason_Lanning status 1042016825746354176 photo 1","1042016825746354176",2018-09-18 11:45:45,"443353683","en","everyone",FALSE,"1042016825746354176",NA,FALSE,"2011-12-22T03:06:59.000Z","Tampa, FL","Jason Lanning","https://pbs.twimg.com/profile_images/1707209585/jason_lanning_normal.jpg","Award-winning Spectrum Bay News 9 Reporter on TV in Tampa, FL - Husband, Dad and neighborhood eye-candy behind the scenes.",FALSE,"Jason_Lanning","https://t.co/WR0tlyqfaF",NA,7,1,16,1,0,NA,683,168,696,45,"TAMPA WASTE MANAGEMENT workers with EnviroWaste on ground in Fayetteville, NC helping city pump out its storm water system. Cape Fear River continues to rise, expected to crest Wednesday at close to 62’. More reports today for our Carolina stations as well as @BN9 @MyNews13 https://t.co/Vs5tK33AyI"
"29","RT @Jason_Lanning: TAMPA WASTE MANAGEMENT workers with EnviroWaste on ground in Fayetteville, NC helping city pump out its storm water syst…","1042017329184473089",2018-09-18 11:47:45,"17308428","en","everyone",FALSE,"1042017329184473089",NA,TRUE,"2008-11-11T12:03:53.000Z","Tampa Bay area","Spectrum Bay News 9","https://pbs.twimg.com/profile_images/912176447036502017/BBeoQTuF_normal.jpg","Breaking news first in Tampa Bay. Continuous updates and in-depth coverage only @BN9, @BN9weather and @BN9Traffic can provide  |  News. Weather. Now.",FALSE,"BN9","http://t.co/j3OZJEwDmE",NA,7,0,0,0,0,NA,384393,446,145259,1754,"TAMPA WASTE MANAGEMENT workers with EnviroWaste on ground in Fayetteville, NC helping city pump out its storm water system. Cape Fear River continues to rise, expected to crest Wednesday at close to 62’. More reports today for our Carolina stations as well as @BN9 @MyNews13 https://t.co/Vs5tK33AyI"
"30","RT @Jason_Lanning: TAMPA WASTE MANAGEMENT workers with EnviroWaste on ground in Fayetteville, NC helping city pump out its storm water syst…","1042017714737434624",2018-09-18 11:49:17,"33901209","en","everyone",FALSE,"1042017714737434624",NA,TRUE,"2009-04-21T13:24:54.000Z","Tampa Bay, Florida","Spectrum Bay News 9 Weather","https://pbs.twimg.com/profile_images/1072619543640633346/4rjWdrUA_normal.jpg","Home of #Klystron9 radar and Meteorologists Josh Linker, Juli Marquez, @Mike_Clay, Diane Kacmarik, Brian @mcclureWX, and Alan Winfield.",FALSE,"bn9weather","https://t.co/rrZ9eznJej",NA,7,0,0,0,0,NA,152141,454,62012,869,"TAMPA WASTE MANAGEMENT workers with EnviroWaste on ground in Fayetteville, NC helping city pump out its storm water system. Cape Fear River continues to rise, expected to crest Wednesday at close to 62’. More reports today for our Carolina stations as well as @BN9 @MyNews13 https://t.co/Vs5tK33AyI"
"31","RT @Jason_Lanning: TAMPA WASTE MANAGEMENT workers with EnviroWaste on ground in Fayetteville, NC helping city pump out its storm water syst…","1042018286882500608",2018-09-18 11:51:34,"810809677","en","everyone",FALSE,"1042018286882500608",NA,FALSE,"2012-09-08T12:14:37.000Z","Tampa","holly gregory","https://pbs.twimg.com/profile_images/1502332129031729157/w7G7Yzrg_normal.jpg","Reading the news & raising some boys.",FALSE,"hollygregory33",NA,NA,7,0,0,0,0,NA,1944,1292,28980,61,"TAMPA WASTE MANAGEMENT workers with EnviroWaste on ground in Fayetteville, NC helping city pump out its storm water system. Cape Fear River continues to rise, expected to crest Wednesday at close to 62’. More reports today for our Carolina stations as well as @BN9 @MyNews13 https://t.co/Vs5tK33AyI"
"32","RT @Jason_Lanning: TAMPA WASTE MANAGEMENT workers with EnviroWaste on ground in Fayetteville, NC helping city pump out its storm water syst…","1042041985815773187",2018-09-18 13:25:44,"39862341","en","everyone",FALSE,"1042041985815773187",NA,FALSE,"2009-05-13T23:01:13.000Z","Tampa Bay, FL","Brian McClure","https://pbs.twimg.com/profile_images/1871243215/Brian_Doppler2_normal.jpg","Evening meteorologist @BN9weather. Tropical analyst. Hype-free forecasts. Weather, photography, and travel. @NCState Alum",FALSE,"mcclureWX","https://t.co/ftDlpPD6QL",NA,7,0,0,0,0,NA,3592,2146,15415,125,"TAMPA WASTE MANAGEMENT workers with EnviroWaste on ground in Fayetteville, NC helping city pump out its storm water system. Cape Fear River continues to rise, expected to crest Wednesday at close to 62’. More reports today for our Carolina stations as well as @BN9 @MyNews13 https://t.co/Vs5tK33AyI"
