"","text","conversation_id","author_id","possibly_sensitive","in_reply_to_user_id","lang","reply_settings","id","created_at.x","username","verified","url","created_at.y","description","name","protected","location","profile_image_url","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","pinned_tweet_id"
"13","Red tide hits Anna Maria Island @WFLAJohn #redtide https://t.co/iXDex3sfeW @WFLA","1026648116404146177","85644587",FALSE,NA,"en","everyone","1026648116404146177",2018-08-07 01:55:59,"ryanminnaugh",TRUE,"https://t.co/WMNw7U3zfR","2009-10-27T19:42:48.000Z","Executive Producer/Digital Professional, Husband, Dad, Yankee Fan.","Ryan Minnaugh",FALSE,"United States","https://pbs.twimg.com/profile_images/1368521178692911104/xfZa8_qR_normal.jpg","9db9aa483565ef9c",1,0,1,0,0,1296,1133,7717,17,NA
"14","so many manatees are dying from red tide😢","1026666586185367554","1270986962",FALSE,NA,"en","everyone","1026666586185367554",2018-08-07 03:09:23,"caaamyoung",FALSE,NA,"2013-03-15T23:47:28.000Z","","cameron",FALSE,NA,"https://pbs.twimg.com/profile_images/1552730030266097669/J9RaHY0d_normal.jpg","dc62519fda13b4ec",1,0,9,0,0,797,562,13728,0,NA
"15","What we care about, we measure. Yes, one can become obsessive about data collection. But this effort to 'right-size' environmental monitoring may be crippling our ability to combat red tide. https://t.co/iNtvI7Sc9s","1026833979784273920","2161009586",FALSE,NA,"en","everyone","1026833979784273920",2018-08-07 14:14:33,"DrScottPaine",FALSE,"http://t.co/GHlS4Msm2g","2013-10-28T14:32:03.000Z","","Dr. Scott Paine",FALSE,NA,"https://pbs.twimg.com/profile_images/378800000660388116/c6ec86ba695c1acc69d7cefdfcf6ab59_normal.jpeg","dc62519fda13b4ec",0,0,0,0,0,301,205,1747,3,NA
"16","Red tide is near the edge of the Pinellas coast; how much is it affecting fishing and is it even safe to eat anything caught? #RedTide #algae","1026885996535791619","2619943298",FALSE,NA,"en","everyone","1026885996535791619",2018-08-07 17:41:14,"OnTheRumFishing",FALSE,NA,"2014-07-12T00:41:51.000Z","Just an off shore fishing team trying to figure out how to fish off shore.","On The Rum Fishing team, tampa fl",FALSE,"tampa, fl ","https://pbs.twimg.com/profile_images/1003304857640501248/MeftK6YT_normal.jpg","07d9cdca58080003",0,0,1,0,0,37,214,93,1,NA
"17","Here in Florida, it feels like a slow-motion disaster. #RedTide #algae #florida https://t.co/fqeDmYDVcv","1026932840330678273","3434694057",FALSE,NA,"en","everyone","1026932840330678273",2018-08-07 20:47:23,"PhilipsFlix",FALSE,"https://t.co/RrKESLnksj","2015-08-21T21:58:39.000Z","Film critic https://t.co/5jgZiqCB2q @flfilmcritics","Philip’s Flicks",FALSE,"PhilipsFlicks","https://pbs.twimg.com/profile_images/738714714310610944/rxCfrXIZ_normal.jpg","dc62519fda13b4ec",0,0,0,0,0,261,866,1826,7,NA
"18","@jvnhonq_ Where in Florida. We have bad red tide everywhere","1027026582026772480","82252035",FALSE,"34393862","en","everyone","1027147276379201536",2018-08-08 10:59:28,"peanut_1122",FALSE,NA,"2009-10-14T02:10:32.000Z","I love God, family and friends. My greatest gift is to be a mom. Life verse Jeremiah 29:11","Trisha",FALSE,"Plant City, FL","https://pbs.twimg.com/profile_images/1607187599021441024/CflxbjXI_normal.jpg","5a5924d17d76eb63",0,1,0,0,0,311,661,4905,5,NA
"19","Red tide creeping north. This is on the north end of Anna Maria Island. Mote Marine has found several dead dolphins today. 📸: @8_plamison #RedTide https://t.co/doO8XS62Xr","1027273790210932737","1090139174",FALSE,NA,"en","everyone","1027273790210932737",2018-08-08 19:22:12,"WFLAAvery",TRUE,NA,"2013-01-14T20:55:38.000Z","Morning News Co-Anchor @wfla","Avery Cotton",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/1450945115070029831/6ZW6bs2m_normal.jpg","dc62519fda13b4ec",15,4,17,4,0,4663,1477,17284,96,NA
"20","THEN AND NOW 😥These two pictures from @8_plamison show the same stretch of beach in Sarasota just two months apart https://t.co/r2GHQDdHfa #RedTide https://t.co/iINZ0767FX","1027279585967259651","1090139174",FALSE,NA,"en","everyone","1027279585967259651",2018-08-08 19:45:13,"WFLAAvery",TRUE,NA,"2013-01-14T20:55:38.000Z","Morning News Co-Anchor @wfla","Avery Cotton",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/1450945115070029831/6ZW6bs2m_normal.jpg","dc62519fda13b4ec",0,0,3,0,0,4663,1477,17284,96,NA
"21","#BREAKING: Latest #RedTide report from @MyFWC shows low concentration found in 2 Pinellas samples. #TampaBay 
STORY&gt;&gt; https://t.co/fjaWk7cSMv","1027299715539501057","18753503",FALSE,NA,"en","everyone","1027299715539501057",2018-08-08 21:05:13,"coreydavis6abc",FALSE,"https://t.co/6OczQSSujA","2009-01-08T04:25:03.000Z","📺 Reporter @6abc","Corey Davis",FALSE,"Philadelphia, PA","https://pbs.twimg.com/profile_images/1510626917371813894/UCchI5Q3_normal.jpg","a22b1167a3d2c56f",0,0,0,0,0,4291,4472,11147,104,"1510626972220727305"
"22","#BREAKING: Latest #RedTide report from @MyFWC shows low concentration found in 2 Pinellas samples https://t.co/g7NRgo0Eyr","1027305096009474059","1090139174",FALSE,NA,"en","everyone","1027305096009474059",2018-08-08 21:26:35,"WFLAAvery",TRUE,NA,"2013-01-14T20:55:38.000Z","Morning News Co-Anchor @wfla","Avery Cotton",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/1450945115070029831/6ZW6bs2m_normal.jpg","dc62519fda13b4ec",0,0,1,0,0,4663,1477,17284,96,NA
"23","So sad to see. #RedTide #Florida https://t.co/egRvYCVov1","1027331559882452992","15088192",FALSE,NA,"en","everyone","1027331559882452992",2018-08-08 23:11:45,"adamzwiner",TRUE,"https://t.co/bAEOEN1J8f","2008-06-11T19:28:42.000Z","Strategic Communications Director @AdvEnergyUnited. awiner@advancedenergyunited.org. Former reporter. @merrillcollege grad.","Adam Z. Winer +",FALSE,"Silver Spring + DC","https://pbs.twimg.com/profile_images/1604936668611579904/GreuBtoj_normal.jpg","dc62519fda13b4ec",0,0,0,0,0,2256,1229,15154,118,NA
"24","6 dolphins found dead near Venice; investigation into deaths underway https://t.co/IcZWnNRLuQ via @10NewsWTSP","1027379325077778438","2933699994",FALSE,NA,"en","everyone","1027379325077778438",2018-08-09 02:21:33,"ShannonHCPS",FALSE,NA,"2014-12-17T16:19:36.000Z","","Shannon Valladolid",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/1123656496104054785/s-VO_BSl_normal.jpg","dc62519fda13b4ec",1,0,0,0,0,955,1169,4650,44,NA
"25","@AveroBuzz Good Info. Do you feel weather played a part? It seems that there were warmer than normal temps. Also impacting the coastal regions increasing red tide and accelerating algae blooms making beach goers hesitant to visit.","1027240945954316288","947900834268045313",FALSE,"229645423","en","everyone","1027548514077892608",2018-08-09 13:33:51,"JP_onthefly",FALSE,"https://t.co/JINzGHKxY8","2018-01-01T18:42:24.000Z","#Restaurant operators share/get industry best practices on the fly. On the Fly is managed by JP a #restaurantconsultant for #USFoods.","On the Fly",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/947904142537830400/fFtVHHjr_normal.jpg","d71f2a3485b7e0ba",0,0,0,0,0,38,104,162,0,NA
"26","Red Tide Is Devastating Florida's Sea Life. Are Humans to Blame? https://t.co/IJkQTyWw9x via @NatGeo","1027600230538272768","20457375",FALSE,NA,"en","everyone","1027600230538272768",2018-08-09 16:59:21,"ashleybauman",FALSE,"https://t.co/0gzan5JlGQ","2009-02-09T19:06:41.000Z","📣 SVP 🟠. Proud alumni of @JaneCastor, @BobBuckhorn, @TheDemocrats, @terrymcauliffe, @VADemocrats, @BarackObama, and @FlaDems. @UF 🐊","Ashley Bauman",FALSE,"ÜT: 27.988519,-82.453898","https://pbs.twimg.com/profile_images/1488687496833683461/m4Z5NOvL_normal.jpg","dc62519fda13b4ec",0,1,0,1,0,6088,6705,22282,136,NA
"27","@WFLAAvery @8_plamison I hate the #RedWave2018 and the #RedWave","1027273790210932737","990421509708566529",FALSE,"1090139174","en","everyone","1027651013228937216",2018-08-09 20:21:09,"BOX60326261",FALSE,NA,"2018-04-29T02:44:23.000Z","What can you say, just another foot soldier, waiting for the word. https:https://t.co/peHlMJnnPT GOP=Guilty Old Pedophiles No MAGA ppl","BOX",FALSE,"America, most days.","https://pbs.twimg.com/profile_images/1044453190278643712/kVw4Bs9z_normal.jpg",NA,0,0,2,0,0,756,1479,20730,1,NA
"28","Ya llego la marea roja a la costa de Tampa. Nuestro compañero @FilippoFerretti , se encuentra en la playa de @CityofSarasota con los detalles. #RedTide https://t.co/KYUC3wu02D","1027654338515226624","806233835310641152",FALSE,NA,"es","everyone","1027654338515226624",2018-08-09 20:34:21,"RitaSibajaTv",FALSE,"https://t.co/JSuhDT2ISd","2016-12-06T20:28:20.000Z","| Reporter @univisionnevada | Previously at @UniTampaBay, Noticias @winknews & @coloradoya | @NAHJ |","Rita Sibaja",FALSE,"Las Vegas, NV","https://pbs.twimg.com/profile_images/1614070657280782336/vNiSIul8_normal.jpg","dc62519fda13b4ec",2,0,2,0,0,312,738,1847,4,NA
"29","Check out this map - from a respiratory standpoint #redtide is affecting much of the west coast @NOAA @KellyRingFox13 @MarkWilsonTV @fox13news https://t.co/TUDgCPKtEN","1027683787210145794","50131147",FALSE,NA,"en","everyone","1027683787210145794",2018-08-09 22:31:22,"DoctorJoette",FALSE,NA,"2009-06-23T22:56:46.000Z","Mom, pet lover, physician and former reporter with a longstanding belief that an ounce of prevention is worth 1000 pounds of cure.","Doctor Joette",FALSE,"Tampa, Florida","https://pbs.twimg.com/profile_images/1277386253428838400/E-gNE_IV_normal.jpg","dc62519fda13b4ec",3,0,3,0,0,4058,3686,3898,93,NA
"30","Finally, Rick Scott was called out by local NBC news at his press conference on the red tide problem! His answer, “I’m proud of my record on environment”, when asked about cuts to environmental programs. So he’s glad his republican administration cut funding?","1028041315492216835","876971881567571968",FALSE,NA,"en","everyone","1028041315492216835",2018-08-10 22:12:04,"gfounder1",FALSE,NA,"2017-06-20T01:16:04.000Z","retired financial advisor from Indiana now living in Florida. Proud resister to GOP. Crazy about my grandsons. Past  Breakfast Optimist Club member & Rotarian.","terry",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1130984309718945792/NDig0A_A_normal.jpg","011aeb76023deccb",0,1,0,0,0,502,1172,57838,0,NA
"31","Scott continues to blame Obama but thankfully the news reminded listeners it’s Congress that needed to appropriate the money to fix the dike. And the REPUBLICAN LED CONGRESS WOULD NOT APPROVE the money needed. Typical republican, lie, lie &amp; lie some more.","1028041315492216835","876971881567571968",FALSE,"876971881567571968","en","everyone","1028041321410383872",2018-08-10 22:12:05,"gfounder1",FALSE,NA,"2017-06-20T01:16:04.000Z","retired financial advisor from Indiana now living in Florida. Proud resister to GOP. Crazy about my grandsons. Past  Breakfast Optimist Club member & Rotarian.","terry",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1130984309718945792/NDig0A_A_normal.jpg","011aeb76023deccb",0,0,0,0,0,502,1172,57838,0,NA
"32","@jnganie1 @marcorubio We have had Red Tide before.","1026820760072081409","15725445",FALSE,"914591244030013440","en","everyone","1028616726596988930",2018-08-12 12:18:33,"rbmshow",FALSE,"https://t.co/Wy2m6rjJhN","2008-08-04T18:06:42.000Z","Host of the Morning Report and Rep for Urban Game Changers Florida. Pushing back mainstream media false narratives. While staying respectful and reasonable.","FIGHT BACK MEDIA NETWORK",FALSE,"Tampa","https://pbs.twimg.com/profile_images/1569341271210135554/riVL4VSx_normal.jpg","dc62519fda13b4ec",0,0,0,0,0,2084,1931,47990,92,"1245535413231669250"
"33","#Dolphin tracked since 2006 found dead amid #RedTide outbreak; total now up to 11 | https://t.co/WSHrLxX63j https://t.co/Sz63kW2g9p","1029040782043439105","1283766950",FALSE,NA,"en","everyone","1029040782043439105",2018-08-13 16:23:35,"KatieMcCallTV",FALSE,"https://t.co/nrSSZ0b5pL","2013-03-20T16:59:24.000Z","Journalist - Host - Voice Over 🎙 🎥 Vanderbilt Commodore ⭐️","Katie McCall",FALSE,"Chicago, IL","https://pbs.twimg.com/profile_images/1242162977299730432/bo3mVjji_normal.jpg","dc62519fda13b4ec",0,0,2,0,0,3775,1883,4728,90,NA
"34","11th dolphin found deceased, believed to be first local victim of red tide. @WFLAhbit.ly/2MFwNY9","1029096746679513089","1090139174",FALSE,NA,"en","everyone","1029096746679513089",2018-08-13 20:05:58,"WFLAAvery",TRUE,NA,"2013-01-14T20:55:38.000Z","Morning News Co-Anchor @wfla","Avery Cotton",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/1450945115070029831/6ZW6bs2m_normal.jpg","dc62519fda13b4ec",0,0,1,0,0,4663,1477,17284,96,NA
"35","Blame long line of politicians for Florida’s recurring algae crisis | Fred Grimm https://t.co/vw8bE98OMB @grimm_fred #redtide #lovefl","1029195026885214210","179231375",FALSE,NA,"en","everyone","1029195026885214210",2018-08-14 02:36:30,"NewMurphyLaw",FALSE,"https://t.co/EA5YonbqzU","2010-08-16T20:49:40.000Z","Tech PR professional. Michigan born. #LoveFL #GoBolts","Krystle Murphy",FALSE,"Tampa, Florida","https://pbs.twimg.com/profile_images/1363975575342358529/a0DA9Geu_normal.jpg","dc62519fda13b4ec",1,0,1,0,0,1180,1176,6499,61,NA
"36","Harmful #AlgalBloom trajectory forecast by OCG @USF shows some #KBrevis, the #algae responsible for #Florida #RedTide, along #beach between #StPete &amp; #Clearwater. #WFTV https://t.co/PP7BmSDKQg","1029401725906681856","27750332",FALSE,NA,"en","everyone","1029401725906681856",2018-08-14 16:17:51,"GWaldenWFTV",TRUE,"https://t.co/nQrWky2ePo","2009-03-30T22:41:31.000Z","Grew up on a Wisconsin dairy farm with 10 brothers & sisters. BS Geological Engineering & Geology Wisconsin. MS Atmospheric Science UCLA. Meteorologist @WFTV.","George Waldenberger",FALSE,"Orlando, FL","https://pbs.twimg.com/profile_images/851264637450334210/e8qhdOCZ_normal.jpg","5a5924d17d76eb63",0,0,0,0,0,8491,958,30484,234,NA
"37","Environmentalists double down, blast @FLGovScott for #RedTide crisis https://t.co/cpCpQ6QmiB","1029505964750323712","1090139174",FALSE,NA,"en","everyone","1029505964750323712",2018-08-14 23:12:03,"WFLAAvery",TRUE,NA,"2013-01-14T20:55:38.000Z","Morning News Co-Anchor @wfla","Avery Cotton",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/1450945115070029831/6ZW6bs2m_normal.jpg","dc62519fda13b4ec",0,0,0,0,0,4663,1477,17284,96,NA
"38","@elgangster es el Red Tide,","1030043639609737218","923305058426589184",FALSE,"27943169","es","everyone","1030043639609737218",2018-08-16 10:48:35,"benitez3_jose",FALSE,NA,"2017-10-25T21:47:34.000Z","From Ponce, Always elegant like Uvita, Elon Musk Fan, Porsche 964, pets lover, Favorite book El Quijote","Jose, the Ghost of Kyiv",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/1557806298233819140/YndHkT6T_normal.jpg","dc62519fda13b4ec",0,0,0,0,0,61,108,7264,0,NA
"39","Experts concerned about dolphin population with approaching red tide @WFLAJeff https://t.co/duSdhC0cIH @WFLA","1030260085019299841","85644587",FALSE,NA,"en","everyone","1030260085019299841",2018-08-17 01:08:40,"ryanminnaugh",TRUE,"https://t.co/WMNw7U3zfR","2009-10-27T19:42:48.000Z","Executive Producer/Digital Professional, Husband, Dad, Yankee Fan.","Ryan Minnaugh",FALSE,"United States","https://pbs.twimg.com/profile_images/1368521178692911104/xfZa8_qR_normal.jpg","9db9aa483565ef9c",2,0,1,0,0,1296,1133,7717,17,NA
"40","I’m no @JustinMosely, but I am at @_NWService learning about some of the advancements in technology that led to today’s hurricane forecasting, @MoteMarineLab hopes they can focus on research to forecast red tide the way meteorologists forecast hurricanes! https://t.co/jFVjaQxSgn","1032312275930152961","1962930078",FALSE,NA,"en","everyone","1032312275930152961",2018-08-22 17:03:20,"jessdlang",FALSE,NA,"2013-10-15T16:22:57.000Z","","Jessica Lang",FALSE,NA,"https://pbs.twimg.com/profile_images/1355753456582201348/Uy6qjp8Z_normal.jpg","07d9f78873c82001",3,1,15,2,0,1688,189,1147,6,"1243976444373610499"
"41","@SNNTV","1032312275930152961","1962930078",FALSE,"1962930078","qam","everyone","1032312443966578688",2018-08-22 17:04:00,"jessdlang",FALSE,NA,"2013-10-15T16:22:57.000Z","","Jessica Lang",FALSE,NA,"https://pbs.twimg.com/profile_images/1355753456582201348/Uy6qjp8Z_normal.jpg","79535b534e17173e",0,0,0,0,0,1688,189,1147,6,"1243976444373610499"
"42","I been wanting sea food but this red tide ain’t bout to kill me 🚮","1032388840856596482","3183481883",FALSE,NA,"en","everyone","1032388840856596482",2018-08-22 22:07:35,"topnotch_rob",FALSE,NA,"2015-04-19T15:19:24.000Z","LongLiveLilJeff 3️⃣ StainGang4️⃣💚","TopNotch3️⃣",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/1368350062577922048/tNdROAVk_normal.jpg","dc62519fda13b4ec",0,0,0,0,0,1004,750,56322,6,"1453158075456802819"
"43","Red tide health impacts: Toxins can trigger coughing, sneezing | @WFLARod reports https://t.co/yyGFllR0nB","1032389850396127232","85644587",FALSE,NA,"en","everyone","1032389850396127232",2018-08-22 22:11:35,"ryanminnaugh",TRUE,"https://t.co/WMNw7U3zfR","2009-10-27T19:42:48.000Z","Executive Producer/Digital Professional, Husband, Dad, Yankee Fan.","Ryan Minnaugh",FALSE,"United States","https://pbs.twimg.com/profile_images/1368521178692911104/xfZa8_qR_normal.jpg","dc62519fda13b4ec",1,0,1,0,0,1296,1133,7717,17,NA
"44","Red Tide is so bad that a reporter in a helicopter could smell the odor of the beach 100 feet below him. This year's outbreak is the worst. Rick Scott you own this. Quite blaming Bill Nelson for you're failure to act.","1032406340944252928","918601320977895424",FALSE,NA,"en","everyone","1032406340944252928",2018-08-22 23:17:07,"PLashley6",FALSE,NA,"2017-10-12T22:16:36.000Z","Florida Freethinker, Doesn't Obey Well. 
Volunteer of America, Sometimes Obscene. All Lives Matter 🌎 ✌ 
#FBR #PRU","PhillipLashley6",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/977674350462685188/1KZmCmhD_normal.jpg","01af119d415cd7d2",0,0,0,0,0,3837,4251,15243,1,"1053292727302045696"
"45","AND @WFLAAvery giving an update on #redtide . Take it from me, it’s no joke! https://t.co/8VIn58NGzf","1032567703322669056","144287906",FALSE,NA,"en","everyone","1032567703322669056",2018-08-23 09:58:19,"JanaJonesTV",FALSE,NA,"2010-05-15T21:26:04.000Z","Find what makes you come alive and go do it. IG: wflajana","Jana Jones",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/1299378257767227398/wobc1p2a_normal.jpg","4b121d921ac7e762",0,0,2,0,0,1422,921,4886,23,NA
"46","This Red tide shit crazy 🌊🤢🤮","1032634031832281088","317857714",FALSE,NA,"en","everyone","1032634031832281088",2018-08-23 14:21:53,"TFRESHTHECEO",FALSE,"https://t.co/UrBYZnRe6a","2011-06-15T15:50:43.000Z","T.Fresh CEO/Founder of @spiffedupent1 , @2smackdpapers, @dunbarrentalgroup, @dunbardelicacies ‼️Booking contact Spiffedupent1@gmail.com #TeamSpiffy #2smackd","CEO & Entrepreneur 💰💸💲",FALSE,"United States","https://pbs.twimg.com/profile_images/861973765198139392/_tJ18nDQ_normal.jpg","074d5ce471c43508",0,0,0,0,0,727,823,17351,8,"1593676417786683394"
