"","text","conversation_id","author_id","lang","id","created_at.x","in_reply_to_user_id","reply_settings","possibly_sensitive","protected","verified","username","created_at.y","description","url","location","name","profile_image_url","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","pinned_tweet_id"
"11","Leaky septic tanks fuel algae blooms. Rick Scott OK’d repeal of law aimed to prevent that https://t.co/2nHzElcxZH","1019656241126281216","705467685417701376","en","1019656241126281216",2018-07-18 18:52:46,NA,"everyone",FALSE,FALSE,FALSE,"Cesare1210Tom","2016-03-03T18:59:38.000Z","Art Arts & Culture Black Community Fitness & Wellness Government & Politics Indie/Experimental Journalists & Pundits Literature Music News Opinion Space Travel",NA,"Tampa, FL","Tom Cleary","https://pbs.twimg.com/profile_images/760264178053554179/FonWv3u5_normal.jpg","dc62519fda13b4ec",0,0,0,0,0,551,1446,8409,22,NA
"12","@marcorubio Instead of quoting Bible verses &amp; talking about what is wrong in our country, can you actually take ACTION for your constituents? Climate change causing worse storms &amp; flooding, pollution causing toxic green algae in our water are just 2 examples of @GOP hurting FLORIDA.","1021713093632684032","838146957470285830","en","1021746770123141120",2018-07-24 13:19:47,"15745368","everyone",FALSE,FALSE,FALSE,"ellyne711","2017-03-04T21:59:41.000Z","Government & Politics, Sports, #FrontalTemporalDegeneration awareness, treat others as you want to be treated. #Healthcare is a right. #ClimateChange is real",NA,"Tampa, FL","Ejlm","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","dc62519fda13b4ec",0,0,0,0,0,149,1049,16538,6,"1149478792139685888"
"13","@FloridaGOP @NelsonForSenate Rick Scott turned down a bullet train to Orlando, allowed our water to be polluted causing toxic algae to spread, doesn’t acknowledge or prepare for climate change even though parts of FLORIDA &amp; US now routinely flood, &amp; inadequately funds public schools. Vote for @SenBillNelson","1022204858844303361","838146957470285830","en","1022207432804708354",2018-07-25 19:50:18,"15444711","everyone",FALSE,FALSE,FALSE,"ellyne711","2017-03-04T21:59:41.000Z","Government & Politics, Sports, #FrontalTemporalDegeneration awareness, treat others as you want to be treated. #Healthcare is a right. #ClimateChange is real",NA,"Tampa, FL","Ejlm","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","dc62519fda13b4ec",0,0,0,0,0,149,1049,16538,6,"1149478792139685888"
"14","@FLGovScott You have rolled back environmental protections causing toxic algae to thrive, deny climate change even though parts of FLORIDA are now flooding on a regular basis. That hurts our tourism which is important to our economy. Sacrificing the future for temporary gains now hurts us.","1023208958314598400","838146957470285830","en","1023217439427964928",2018-07-28 14:43:42,"131546062","everyone",FALSE,FALSE,FALSE,"ellyne711","2017-03-04T21:59:41.000Z","Government & Politics, Sports, #FrontalTemporalDegeneration awareness, treat others as you want to be treated. #Healthcare is a right. #ClimateChange is real",NA,"Tampa, FL","Ejlm","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","dc62519fda13b4ec",0,0,1,0,0,149,1049,16538,6,"1149478792139685888"
"15","Environmental activist @ErinBrockovich slams Florida officials over algae crisis: 'Do your damn jobs' https://t.co/IwyP4vkcGi","1024745301842771968","1090139174","en","1024745301842771968",2018-08-01 19:54:53,NA,"everyone",FALSE,FALSE,TRUE,"WFLAAvery","2013-01-14T20:55:38.000Z","Morning News Co-Anchor @wfla",NA,"Tampa, FL","Avery Cotton","https://pbs.twimg.com/profile_images/1450945115070029831/6ZW6bs2m_normal.jpg","dc62519fda13b4ec",3,0,4,0,0,4663,1477,17284,96,NA
"16","Toxic brew of algae hurting tourism in #Florida #SiestaKey #redtide @WFLAJeff https://t.co/VGDjcBuAn0 @WFLA","1025194818711040002","85644587","en","1025194818711040002",2018-08-03 01:41:06,NA,"everyone",FALSE,FALSE,TRUE,"ryanminnaugh","2009-10-27T19:42:48.000Z","Executive Producer/Digital Professional, Husband, Dad, Yankee Fan.","https://t.co/WMNw7U3zfR","United States","Ryan Minnaugh","https://pbs.twimg.com/profile_images/1368521178692911104/xfZa8_qR_normal.jpg","9db9aa483565ef9c",0,0,0,0,0,1296,1133,7717,17,NA
"17","Before heading to the beach, check this link out to see how you can check for red tide! https://t.co/HV2LMJDad1","1025319020193607680","26340080","en","1025319020193607680",2018-08-03 09:54:38,NA,"everyone",FALSE,FALSE,FALSE,"WFLANews","2009-03-24T22:19:56.000Z","Tampa Bay's latest news and information. Listen anywhere on @iheartradio.","https://t.co/nywCUV9hd2","Tampa, FL","NewsRadio WFLA","https://pbs.twimg.com/profile_images/1084772502524461056/udx_2Up3_normal.jpg","dc62519fda13b4ec",8,0,6,1,0,17752,3833,205721,543,NA
"18","Wondering what beaches #Redtide is affecting? Here's an easy link!","1025319553113436161","356642961","en","1025319553113436161",2018-08-03 09:56:45,NA,"everyone",FALSE,FALSE,FALSE,"TampaBaysJulie","2011-08-17T04:34:07.000Z","Wife|Dog Mom|Realtor|Meteorologist #ILoveTampaBay #AdoptDontShop","https://t.co/QlG1uLjj2J","Tampa, FL","Julie Phillips Lawrence","https://pbs.twimg.com/profile_images/1367869902904778755/2393dwsl_normal.jpg","dc62519fda13b4ec",0,0,0,0,0,4044,1101,19561,142,NA
"19","Where is red tide headed next? @WFLAJohn https://t.co/lgRJ6nyr5T @WFLA","1025560318456389633","85644587","en","1025560318456389633",2018-08-04 01:53:28,NA,"everyone",FALSE,FALSE,TRUE,"ryanminnaugh","2009-10-27T19:42:48.000Z","Executive Producer/Digital Professional, Husband, Dad, Yankee Fan.","https://t.co/WMNw7U3zfR","United States","Ryan Minnaugh","https://pbs.twimg.com/profile_images/1368521178692911104/xfZa8_qR_normal.jpg","9db9aa483565ef9c",1,0,0,0,0,1296,1133,7717,17,NA
"20","https://t.co/qIwCZRECHo. Red tide. Florida.","1025772288954777600","55414986","es","1025772288954777600",2018-08-04 15:55:46,NA,"everyone",FALSE,FALSE,FALSE,"LibbyBlog","2009-07-10T00:34:22.000Z","Transportation/urban planning consultant in Florida. Author of forthcoming ""Paleo Places"" - an evolutionary approach to urban planning.",NA,NA,"Elizabeth Rodriguez","https://pbs.twimg.com/profile_images/832592330473537536/i07vfAJ0_normal.jpg","51264211e147d635",0,0,0,0,0,3968,4920,181412,188,NA
"21","Happy Sunday! Got a hot cup of ☕️ to get my day started. This morning at 6 a.m. and 8 a.m. tune in with @LaurenWFTS @JasonAdamsWFTS &amp; @JJBurtonTV. Top stories: 1. Red tide in TB, 2. ‘Stand your ground’ protest, 3. Vigil for girl @TampaPD says was killed by her own mother #GMTB https://t.co/thjP1EQXnc","1026001395873443840","482218809","en","1026001395873443840",2018-08-05 07:06:09,NA,"everyone",FALSE,FALSE,TRUE,"RosalesReport","2012-02-03T17:17:40.000Z","@CNNNewsource Correspondent. Cuban-born🇨🇺American-raised🇺🇸 Pro-skeptic. Bilingüe. News Tips | DM for Signal","https://t.co/BNLVsGNr6P","Washington, D.C.","Isabel Rosales","https://pbs.twimg.com/profile_images/1338703977672794113/gJU5fF03_normal.jpg","dc62519fda13b4ec",1,1,3,0,0,3925,2595,6402,53,"1611861265273753601"
"22","@WFTSisabel @LaurenWFTS @JasonAdamsWFTS @JJBurtonTV @TampaPD Watching right now.  You’re on a roll!  😛","1026001395873443840","31007522","en","1026085298088886273",2018-08-05 12:39:33,"482218809","everyone",FALSE,FALSE,FALSE,"floridabronco","2009-04-14T00:40:08.000Z","Proud Western Michigan alum. Ex-high school basketball and tennis coach. College football aficionado and connoisseur of southern fried chicken.",NA,"Citrus Hills, FL","Robert Murray","https://pbs.twimg.com/profile_images/1438647384347713539/JFb8tR80_normal.jpg",NA,0,1,3,0,0,97,145,14607,2,NA
"23","@floridabronco @LaurenWFTS @JasonAdamsWFTS @JJBurtonTV @TampaPD Thanks for watching Robert 👍🏻","1026001395873443840","482218809","en","1026088389802643457",2018-08-05 12:51:50,"31007522","everyone",FALSE,FALSE,TRUE,"RosalesReport","2012-02-03T17:17:40.000Z","@CNNNewsource Correspondent. Cuban-born🇨🇺American-raised🇺🇸 Pro-skeptic. Bilingüe. News Tips | DM for Signal","https://t.co/BNLVsGNr6P","Washington, D.C.","Isabel Rosales","https://pbs.twimg.com/profile_images/1338703977672794113/gJU5fF03_normal.jpg","dc62519fda13b4ec",0,1,1,0,0,3925,2596,6402,53,"1611861265273753601"
"24","@WFTSisabel @LaurenWFTS @JasonAdamsWFTS @JJBurtonTV @TampaPD You’re very welcome 😉","1026001395873443840","31007522","en","1026101562517729280",2018-08-05 13:44:11,"482218809","everyone",FALSE,FALSE,FALSE,"floridabronco","2009-04-14T00:40:08.000Z","Proud Western Michigan alum. Ex-high school basketball and tennis coach. College football aficionado and connoisseur of southern fried chicken.",NA,"Citrus Hills, FL","Robert Murray","https://pbs.twimg.com/profile_images/1438647384347713539/JFb8tR80_normal.jpg",NA,0,0,0,0,0,97,145,14607,2,NA
"25","Hundreds to take a stand and defend Gulf Coast beaches amid algae crisis https://t.co/z2MplPYNnt","1026180954019307520","85644587","en","1026180954019307520",2018-08-05 18:59:39,NA,"everyone",FALSE,FALSE,TRUE,"ryanminnaugh","2009-10-27T19:42:48.000Z","Executive Producer/Digital Professional, Husband, Dad, Yankee Fan.","https://t.co/WMNw7U3zfR","United States","Ryan Minnaugh","https://pbs.twimg.com/profile_images/1368521178692911104/xfZa8_qR_normal.jpg","9db9aa483565ef9c",0,0,0,0,0,1296,1133,7717,17,NA
"26","Hundreds to take a stand and defend Gulf Coast beaches amid algae crisis https://t.co/WBoIw0KUxo","1026196032546332673","1090139174","en","1026196032546332673",2018-08-05 19:59:34,NA,"everyone",FALSE,FALSE,TRUE,"WFLAAvery","2013-01-14T20:55:38.000Z","Morning News Co-Anchor @wfla",NA,"Tampa, FL","Avery Cotton","https://pbs.twimg.com/profile_images/1450945115070029831/6ZW6bs2m_normal.jpg","dc62519fda13b4ec",0,0,3,0,0,4663,1477,17284,96,NA
"27","@SethKush # environment killing Republican Red tide and green water? Florida beaches have a problem, and its name is Rick Scott","1026543465054662656","65074878","en","1026543465054662656",2018-08-06 19:00:08,"19899004","everyone",FALSE,FALSE,FALSE,"HASSANSAIDNO","2009-08-12T16:06:30.000Z","",NA,".......","Hassan Said","https://pbs.twimg.com/profile_images/1287841502023028743/6XB7K9iI_normal.jpg","074d5ce471c43508",0,0,0,0,0,0,42,224,0,NA
"28","Red tide hits Anna Maria Island @WFLAJohn #redtide https://t.co/iXDex3sfeW @WFLA","1026648116404146177","85644587","en","1026648116404146177",2018-08-07 01:55:59,NA,"everyone",FALSE,FALSE,TRUE,"ryanminnaugh","2009-10-27T19:42:48.000Z","Executive Producer/Digital Professional, Husband, Dad, Yankee Fan.","https://t.co/WMNw7U3zfR","United States","Ryan Minnaugh","https://pbs.twimg.com/profile_images/1368521178692911104/xfZa8_qR_normal.jpg","9db9aa483565ef9c",1,0,1,0,0,1296,1133,7717,17,NA
"29","so many manatees are dying from red tide😢","1026666586185367554","1270986962","en","1026666586185367554",2018-08-07 03:09:23,NA,"everyone",FALSE,FALSE,FALSE,"caaamyoung","2013-03-15T23:47:28.000Z","",NA,NA,"cameron","https://pbs.twimg.com/profile_images/1552730030266097669/J9RaHY0d_normal.jpg","dc62519fda13b4ec",1,0,9,0,0,797,562,13728,0,NA
"30","What we care about, we measure. Yes, one can become obsessive about data collection. But this effort to 'right-size' environmental monitoring may be crippling our ability to combat red tide. https://t.co/iNtvI7Sc9s","1026833979784273920","2161009586","en","1026833979784273920",2018-08-07 14:14:33,NA,"everyone",FALSE,FALSE,FALSE,"DrScottPaine","2013-10-28T14:32:03.000Z","","http://t.co/GHlS4Msm2g",NA,"Dr. Scott Paine","https://pbs.twimg.com/profile_images/378800000660388116/c6ec86ba695c1acc69d7cefdfcf6ab59_normal.jpeg","dc62519fda13b4ec",0,0,0,0,0,301,205,1747,3,NA
"31","Red tide is near the edge of the Pinellas coast; how much is it affecting fishing and is it even safe to eat anything caught? #RedTide #algae","1026885996535791619","2619943298","en","1026885996535791619",2018-08-07 17:41:14,NA,"everyone",FALSE,FALSE,FALSE,"OnTheRumFishing","2014-07-12T00:41:51.000Z","Just an off shore fishing team trying to figure out how to fish off shore.",NA,"tampa, fl ","On The Rum Fishing team, tampa fl","https://pbs.twimg.com/profile_images/1003304857640501248/MeftK6YT_normal.jpg","07d9cdca58080003",0,0,1,0,0,37,214,93,1,NA
"32","Here in Florida, it feels like a slow-motion disaster. #RedTide #algae #florida https://t.co/fqeDmYDVcv","1026932840330678273","3434694057","en","1026932840330678273",2018-08-07 20:47:23,NA,"everyone",FALSE,FALSE,FALSE,"PhilipsFlix","2015-08-21T21:58:39.000Z","Film critic https://t.co/5jgZiqCB2q @flfilmcritics","https://t.co/RrKESLnksj","PhilipsFlicks","Philip’s Flicks","https://pbs.twimg.com/profile_images/738714714310610944/rxCfrXIZ_normal.jpg","dc62519fda13b4ec",0,0,0,0,0,261,866,1826,7,NA
"33","@jvnhonq_ Where in Florida. We have bad red tide everywhere","1027026582026772480","82252035","en","1027147276379201536",2018-08-08 10:59:28,"34393862","everyone",FALSE,FALSE,FALSE,"peanut_1122","2009-10-14T02:10:32.000Z","I love God, family and friends. My greatest gift is to be a mom. Life verse Jeremiah 29:11",NA,"Plant City, FL","Trisha","https://pbs.twimg.com/profile_images/1607187599021441024/CflxbjXI_normal.jpg","5a5924d17d76eb63",0,1,0,0,0,311,661,4905,5,NA
"34","Red tide creeping north. This is on the north end of Anna Maria Island. Mote Marine has found several dead dolphins today. 📸: @8_plamison #RedTide https://t.co/doO8XS62Xr","1027273790210932737","1090139174","en","1027273790210932737",2018-08-08 19:22:12,NA,"everyone",FALSE,FALSE,TRUE,"WFLAAvery","2013-01-14T20:55:38.000Z","Morning News Co-Anchor @wfla",NA,"Tampa, FL","Avery Cotton","https://pbs.twimg.com/profile_images/1450945115070029831/6ZW6bs2m_normal.jpg","dc62519fda13b4ec",15,4,17,4,0,4663,1477,17284,96,NA
"35","THEN AND NOW 😥These two pictures from @8_plamison show the same stretch of beach in Sarasota just two months apart https://t.co/r2GHQDdHfa #RedTide https://t.co/iINZ0767FX","1027279585967259651","1090139174","en","1027279585967259651",2018-08-08 19:45:13,NA,"everyone",FALSE,FALSE,TRUE,"WFLAAvery","2013-01-14T20:55:38.000Z","Morning News Co-Anchor @wfla",NA,"Tampa, FL","Avery Cotton","https://pbs.twimg.com/profile_images/1450945115070029831/6ZW6bs2m_normal.jpg","dc62519fda13b4ec",0,0,3,0,0,4663,1477,17284,96,NA
"36","#BREAKING: Latest #RedTide report from @MyFWC shows low concentration found in 2 Pinellas samples. #TampaBay 
STORY&gt;&gt; https://t.co/fjaWk7cSMv","1027299715539501057","18753503","en","1027299715539501057",2018-08-08 21:05:13,NA,"everyone",FALSE,FALSE,FALSE,"coreydavis6abc","2009-01-08T04:25:03.000Z","📺 Reporter @6abc","https://t.co/6OczQSSujA","Philadelphia, PA","Corey Davis","https://pbs.twimg.com/profile_images/1510626917371813894/UCchI5Q3_normal.jpg","a22b1167a3d2c56f",0,0,0,0,0,4291,4472,11147,104,"1510626972220727305"
"37","#BREAKING: Latest #RedTide report from @MyFWC shows low concentration found in 2 Pinellas samples https://t.co/g7NRgo0Eyr","1027305096009474059","1090139174","en","1027305096009474059",2018-08-08 21:26:35,NA,"everyone",FALSE,FALSE,TRUE,"WFLAAvery","2013-01-14T20:55:38.000Z","Morning News Co-Anchor @wfla",NA,"Tampa, FL","Avery Cotton","https://pbs.twimg.com/profile_images/1450945115070029831/6ZW6bs2m_normal.jpg","dc62519fda13b4ec",0,0,1,0,0,4663,1477,17284,96,NA
"38","So sad to see. #RedTide #Florida https://t.co/egRvYCVov1","1027331559882452992","15088192","en","1027331559882452992",2018-08-08 23:11:45,NA,"everyone",FALSE,FALSE,TRUE,"adamzwiner","2008-06-11T19:28:42.000Z","Strategic Communications Director @AdvEnergyUnited. awiner@advancedenergyunited.org. Former reporter. @merrillcollege grad.","https://t.co/bAEOEN1J8f","Silver Spring + DC","Adam Z. Winer +","https://pbs.twimg.com/profile_images/1604936668611579904/GreuBtoj_normal.jpg","dc62519fda13b4ec",0,0,0,0,0,2256,1229,15154,118,NA
"39","6 dolphins found dead near Venice; investigation into deaths underway https://t.co/IcZWnNRLuQ via @10NewsWTSP","1027379325077778438","2933699994","en","1027379325077778438",2018-08-09 02:21:33,NA,"everyone",FALSE,FALSE,FALSE,"ShannonHCPS","2014-12-17T16:19:36.000Z","",NA,"Tampa, FL","Shannon Valladolid","https://pbs.twimg.com/profile_images/1123656496104054785/s-VO_BSl_normal.jpg","dc62519fda13b4ec",1,0,0,0,0,955,1169,4650,44,NA
"40","@AveroBuzz Good Info. Do you feel weather played a part? It seems that there were warmer than normal temps. Also impacting the coastal regions increasing red tide and accelerating algae blooms making beach goers hesitant to visit.","1027240945954316288","947900834268045313","en","1027548514077892608",2018-08-09 13:33:51,"229645423","everyone",FALSE,FALSE,FALSE,"JP_onthefly","2018-01-01T18:42:24.000Z","#Restaurant operators share/get industry best practices on the fly. On the Fly is managed by JP a #restaurantconsultant for #USFoods.","https://t.co/JINzGHKxY8","Tampa, FL","On the Fly","https://pbs.twimg.com/profile_images/947904142537830400/fFtVHHjr_normal.jpg","d71f2a3485b7e0ba",0,0,0,0,0,38,104,162,0,NA
"41","Red Tide Is Devastating Florida's Sea Life. Are Humans to Blame? https://t.co/IJkQTyWw9x via @NatGeo","1027600230538272768","20457375","en","1027600230538272768",2018-08-09 16:59:21,NA,"everyone",FALSE,FALSE,FALSE,"ashleybauman","2009-02-09T19:06:41.000Z","📣 SVP 🟠. Proud alumni of @JaneCastor, @BobBuckhorn, @TheDemocrats, @terrymcauliffe, @VADemocrats, @BarackObama, and @FlaDems. @UF 🐊","https://t.co/0gzan5JlGQ","ÜT: 27.988519,-82.453898","Ashley Bauman","https://pbs.twimg.com/profile_images/1488687496833683461/m4Z5NOvL_normal.jpg","dc62519fda13b4ec",0,1,0,1,0,6088,6705,22282,136,NA
"42","@WFLAAvery @8_plamison I hate the #RedWave2018 and the #RedWave","1027273790210932737","990421509708566529","en","1027651013228937216",2018-08-09 20:21:09,"1090139174","everyone",FALSE,FALSE,FALSE,"BOX60326261","2018-04-29T02:44:23.000Z","What can you say, just another foot soldier, waiting for the word. https:https://t.co/peHlMJnnPT GOP=Guilty Old Pedophiles No MAGA ppl",NA,"America, most days.","BOX","https://pbs.twimg.com/profile_images/1044453190278643712/kVw4Bs9z_normal.jpg",NA,0,0,2,0,0,756,1479,20730,1,NA
"43","Ya llego la marea roja a la costa de Tampa. Nuestro compañero @FilippoFerretti , se encuentra en la playa de @CityofSarasota con los detalles. #RedTide https://t.co/KYUC3wu02D","1027654338515226624","806233835310641152","es","1027654338515226624",2018-08-09 20:34:21,NA,"everyone",FALSE,FALSE,FALSE,"RitaSibajaTv","2016-12-06T20:28:20.000Z","| Reporter @univisionnevada | Previously at @UniTampaBay, Noticias @winknews & @coloradoya | @NAHJ |","https://t.co/JSuhDT2ISd","Las Vegas, NV","Rita Sibaja","https://pbs.twimg.com/profile_images/1614070657280782336/vNiSIul8_normal.jpg","dc62519fda13b4ec",2,0,2,0,0,312,738,1847,4,NA
"44","Check out this map - from a respiratory standpoint #redtide is affecting much of the west coast @NOAA @KellyRingFox13 @MarkWilsonTV @fox13news https://t.co/TUDgCPKtEN","1027683787210145794","50131147","en","1027683787210145794",2018-08-09 22:31:22,NA,"everyone",FALSE,FALSE,FALSE,"DoctorJoette","2009-06-23T22:56:46.000Z","Mom, pet lover, physician and former reporter with a longstanding belief that an ounce of prevention is worth 1000 pounds of cure.",NA,"Tampa, Florida","Doctor Joette","https://pbs.twimg.com/profile_images/1277386253428838400/E-gNE_IV_normal.jpg","dc62519fda13b4ec",3,0,3,0,0,4058,3686,3898,93,NA
"45","Finally, Rick Scott was called out by local NBC news at his press conference on the red tide problem! His answer, “I’m proud of my record on environment”, when asked about cuts to environmental programs. So he’s glad his republican administration cut funding?","1028041315492216835","876971881567571968","en","1028041315492216835",2018-08-10 22:12:04,NA,"everyone",FALSE,FALSE,FALSE,"gfounder1","2017-06-20T01:16:04.000Z","retired financial advisor from Indiana now living in Florida. Proud resister to GOP. Crazy about my grandsons. Past  Breakfast Optimist Club member & Rotarian.",NA,"Florida, USA","terry","https://pbs.twimg.com/profile_images/1130984309718945792/NDig0A_A_normal.jpg","011aeb76023deccb",0,1,0,0,0,502,1172,57838,0,NA
"46","Scott continues to blame Obama but thankfully the news reminded listeners it’s Congress that needed to appropriate the money to fix the dike. And the REPUBLICAN LED CONGRESS WOULD NOT APPROVE the money needed. Typical republican, lie, lie &amp; lie some more.","1028041315492216835","876971881567571968","en","1028041321410383872",2018-08-10 22:12:05,"876971881567571968","everyone",FALSE,FALSE,FALSE,"gfounder1","2017-06-20T01:16:04.000Z","retired financial advisor from Indiana now living in Florida. Proud resister to GOP. Crazy about my grandsons. Past  Breakfast Optimist Club member & Rotarian.",NA,"Florida, USA","terry","https://pbs.twimg.com/profile_images/1130984309718945792/NDig0A_A_normal.jpg","011aeb76023deccb",0,0,0,0,0,502,1172,57838,0,NA
