"","text","lang","possibly_sensitive","id","created_at.x","conversation_id","author_id","reply_settings","in_reply_to_user_id","created_at.y","username","name","url","profile_image_url","protected","pinned_tweet_id","verified","description","location","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links"
"13","26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee . https   twitter com kkuizon status 1278444520510763009 photo 1","en",FALSE,"1278444520510763009",2020-07-01 21:45:00,"1278444520510763009","26014932","everyone",NA,"2009-03-23T14:53:08.000Z","kkuizon","Kim Kuizon FOX 13","https://t.co/C8yRkQVAYP","https://pbs.twimg.com/profile_images/964559428560281600/xGdD0z3r_normal.jpg",FALSE,NA,TRUE,"Fox 13 WTVT Reporter. Florida Girl living the dream. Wife, new mom, Gator, adventure seeker-outdoor lover & trying to juggle it all at once. Opinions are my own","Tampa Bay",12,9,18,7,0,7309,516,21126,190,NA,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"14","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…","en",FALSE,"1278444570838290433",2020-07-01 21:45:12,"1278444570838290433","15750898","everyone",NA,"2008-08-06T15:12:10.000Z","FOX13News","FOX 13 Tampa Bay","https://t.co/MUtKcxEsVq","https://pbs.twimg.com/profile_images/1459177564178681893/Y3jxK1Xd_normal.jpg",FALSE,"1598030799273660422",TRUE,"Bringing you the important stuff, like breaking news & weather alerts. But also plenty of fun stories, like sports updates and all those #WeLiveHere tales.","Tampa, FL",12,0,0,0,0,377132,4626,258122,1874,NA,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"15","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…","en",FALSE,"1278444791659978754",2020-07-01 21:46:05,"1278444791659978754","855039889","everyone",NA,"2012-09-30T17:14:40.000Z","LarryToweTV","Larry Towe",NA,"https://pbs.twimg.com/profile_images/2666560011/ca6cc07c5cdce398fa0957be56cf16ff_normal.png",FALSE,NA,FALSE,"Special Projects Photographer for WTVT FOX13, tinkerer, gardener, maker of wooden things. WHSV, WVPT, MCT, WHTM. Opinions my own.","Tampa, Florida",12,0,0,0,0,1960,1436,15365,68,NA,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"16","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…","en",FALSE,"1278444816045608967",2020-07-01 21:46:11,"1278444816045608967","347254898","everyone",NA,"2011-08-02T14:23:30.000Z","Fla_Yakker","🛶𝕭𝖗𝖆𝖉🛶",NA,"https://pbs.twimg.com/profile_images/1380143134328377347/LD1PQlwq_normal.jpg",FALSE,"1380996071128756224",FALSE,"Florida kayak fisherman, Army Brat
#VibeKayaks #ReefAndReel #AccCrappieStix #ShimanoReels #Eurotackle #Garmin #FloGrown #DakotaLithium","Spring Hill, FL",12,0,0,0,0,477,475,11493,2,NA,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"17","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…","en",FALSE,"1278446225780506631",2020-07-01 21:51:47,"1278446225780506631","2167192391","everyone",NA,"2013-11-04T00:31:40.000Z","adenine2k","Adenine",NA,"https://pbs.twimg.com/profile_images/378800000690981287/aa9a046688047a9e4762f984eb41b3cf_normal.jpeg",FALSE,NA,FALSE,"Chemist. History buff. Avid reader. Knowledge hoarder and disseminator. Nerd.",NA,12,0,0,0,0,20,227,510,1,NA,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"18","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…","en",FALSE,"1278447866198065152",2020-07-01 21:58:18,"1278447866198065152","882305157987536897","everyone",NA,"2017-07-04T18:28:36.000Z","hellkat707","Hellkat707",NA,"https://pbs.twimg.com/profile_images/1155595932160942080/UbcRRfk__normal.jpg",FALSE,NA,FALSE,"","Plant City, FL",12,0,0,0,0,19,321,238,0,NA,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"19","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…","en",FALSE,"1278450697680363523",2020-07-01 22:09:33,"1278450697680363523","1088234470665318407","everyone",NA,"2019-01-24T00:38:11.000Z","a4floridacajun","ari4","https://t.co/6yi0YHBPbb","https://pbs.twimg.com/profile_images/1088234674588069888/jMon1JDL_normal.jpg",FALSE,"1620478099438841856",FALSE,"Love the Gulf Coast, and other conservative ideas, places and interfaces. #proLife, low-debt #capitalist, #philosophy as it helps. More at https://t.co/H6efs4NYp7.","Northwest Florida ",12,0,0,0,0,2874,3766,96549,9,NA,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"20","@kkuizon @FOX13News Blackwater or graywater, do we know?","en",FALSE,"1278453211893059584",2020-07-01 22:19:32,"1278444520510763009","731985605601693697","everyone","26014932","2016-05-15T23:12:22.000Z","_gulfcoastchris","Gulf Coast Chris",NA,"https://pbs.twimg.com/profile_images/1587645329154899969/QC2PWNoc_normal.jpg",FALSE,"1550547728081760256",FALSE,"Liberal. Veteran. Patriot.","West Coast Best Coast!",0,1,0,0,0,42,129,5210,1,NA,NA
"21","@kkuizon @FOX13News There are very few things all people agree Governments should do - and they end up screwing that up too.","en",FALSE,"1278457480587198467",2020-07-01 22:36:30,"1278444520510763009","1857157704","everyone","26014932","2013-09-12T11:58:10.000Z","TampaFLPolitico","Ranger Rick",NA,"https://pbs.twimg.com/profile_images/1280482594774269952/7F1X2RNT_normal.jpg",FALSE,NA,FALSE,"Clean Air, Clean Water, Pro-Public Education, Medicare-for-all. Realist over Theory, Local over Feds.","Tampa, FL",0,0,1,0,0,221,304,20927,1,NA,NA
"22","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…","en",FALSE,"1278465126849490947",2020-07-01 23:06:53,"1278465126849490947","804386261121331201","everyone",NA,"2016-12-01T18:06:44.000Z","Frankiesdeadmgt","Glock Sabbath 🥀☠️","https://t.co/ZnwnUr6tGL","https://pbs.twimg.com/profile_images/1436747035391168512/YN8OvYFK_normal.jpg",FALSE,"1044215000859070465",FALSE,"the DEAD🌹💀🌹 #longlivebrucelean FL photographer @tampatattooco @headhighfl","Tampa, FL",12,0,0,0,0,1015,833,58578,2,NA,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"23","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…","en",FALSE,"1278472299642003458",2020-07-01 23:35:23,"1278472299642003458","2842239604","everyone",NA,"2014-10-23T22:00:26.000Z","S_uckmynutt","nic",NA,"https://pbs.twimg.com/profile_images/1250637488533749760/Qpv-9Art_normal.jpg",FALSE,"831903738071830532",FALSE,"Wake up to find out that you are the eyes of the world💀🌹",NA,12,0,0,0,0,496,272,67272,4,NA,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"24","@kkuizon @FOX13News All that stuck up money out there ...dont worry there shit doesn't atink","en",FALSE,"1278489735917375488",2020-07-02 00:44:40,"1278444520510763009","1274752267346903040","everyone","26014932","2020-06-21T17:13:32.000Z","Derrick10338108","Derrick",NA,"https://pbs.twimg.com/profile_images/1276367455489871873/-SXQKmRJ_normal.jpg",FALSE,NA,FALSE,"Want to see the good in everyone...ready to make your life a living hell if I have to",NA,0,0,1,0,0,28,52,54,0,NA,NA
"25","Wastewater spill may have long-term impact on Sarasota Bay @fox13news #longboatkey #sarasota #manatee . https   www fox13news com news wastewater spill may have long term impact on sarasota bay","en",FALSE,"1278496557134946304",2020-07-02 01:11:47,"1278496557134946304","26014932","everyone",NA,"2009-03-23T14:53:08.000Z","kkuizon","Kim Kuizon FOX 13","https://t.co/C8yRkQVAYP","https://pbs.twimg.com/profile_images/964559428560281600/xGdD0z3r_normal.jpg",FALSE,NA,TRUE,"Fox 13 WTVT Reporter. Florida Girl living the dream. Wife, new mom, Gator, adventure seeker-outdoor lover & trying to juggle it all at once. Opinions are my own","Tampa Bay",1,0,1,1,0,7309,516,21126,190,NA,"Wastewater spill may have long-term impact on Sarasota Bay @fox13news #longboatkey #sarasota #manatee https://t.co/Ldw2SL80h3"
"26","RT @kkuizon: Wastewater spill may have long-term impact on Sarasota Bay @fox13news #longboatkey #sarasota #manatee https://t.co/Ldw2SL80h3","en",FALSE,"1278496984693911552",2020-07-02 01:13:29,"1278496984693911552","836348305567268865","everyone",NA,"2017-02-27T22:52:29.000Z","indivisible_brd","IndivisibleBradenton",NA,"https://pbs.twimg.com/profile_images/836350408868171776/kwaVmLAx_normal.jpg",FALSE,"1109118422216892416",FALSE,"Indivisible Bradenton","Bradenton, FL",1,0,0,0,0,1149,946,25194,24,NA,"Wastewater spill may have long-term impact on Sarasota Bay @fox13news #longboatkey #sarasota #manatee https://t.co/Ldw2SL80h3"
"27","@kkuizon @FOX13News Yay humans!","en",FALSE,"1278531673085423617",2020-07-02 03:31:19,"1278444520510763009","758626133831192576","everyone","26014932","2016-07-28T11:32:19.000Z","HellFireFlorida","The Hellfire Club",NA,"https://pbs.twimg.com/profile_images/990933509668790272/HRAIXkiW_normal.jpg",FALSE,"1514925908003536896",FALSE,"Follow Hell Fire to get the latest common sense tweets. Not a Democrat. Not a Republican. All politicians are conmen.",NA,0,0,0,0,0,47,151,2117,1,NA,NA
"28","@kkuizon @FOX13News Terrorist attack?","sv",FALSE,"1278531793113812993",2020-07-02 03:31:48,"1278444520510763009","758626133831192576","everyone","26014932","2016-07-28T11:32:19.000Z","HellFireFlorida","The Hellfire Club",NA,"https://pbs.twimg.com/profile_images/990933509668790272/HRAIXkiW_normal.jpg",FALSE,"1514925908003536896",FALSE,"Follow Hell Fire to get the latest common sense tweets. Not a Democrat. Not a Republican. All politicians are conmen.",NA,0,0,0,0,0,47,151,2117,1,NA,NA
"29","@_gulfcoastchris @kkuizon @FOX13News Poopy water?","en",FALSE,"1278531897828749314",2020-07-02 03:32:13,"1278444520510763009","758626133831192576","everyone","731985605601693697","2016-07-28T11:32:19.000Z","HellFireFlorida","The Hellfire Club",NA,"https://pbs.twimg.com/profile_images/990933509668790272/HRAIXkiW_normal.jpg",FALSE,"1514925908003536896",FALSE,"Follow Hell Fire to get the latest common sense tweets. Not a Democrat. Not a Republican. All politicians are conmen.",NA,0,0,0,0,0,47,151,2117,1,NA,NA
"30","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…","en",FALSE,"1278639322368016384",2020-07-02 10:39:05,"1278639322368016384","435423881","everyone",NA,"2011-12-13T01:46:22.000Z","redcarma","Just Maryann ⚾️🏈🤘🎵🎶","https://t.co/dTLQF9jhU3","https://pbs.twimg.com/profile_images/1257806466502856705/gp9d2PKt_normal.jpg",FALSE,NA,FALSE,"Not my circus. Not my monkeys. Bronx girl. Sports Chick Extraordinaire. #USFAlum #YankeeGirl #CowboyNation #veggiegirl","Tampa Bay",12,0,0,0,0,339,1304,11446,12,NA,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"31","Break in main wastewater sewer line in Manatee County. 

“We’re really afraid of the ecological consequences and right now today, we’re worried about the health and potential human impacts,” said Justin Bloom, Founder of Suncoast Waterkeeper. 

. https   www mysuncoast com 2020 07 01 crews stop massive wastewater spill states dep says much million gallons could have spilled near sarasota bay","en",FALSE,"1280588146401587201",2020-07-07 19:43:00,"1280588146401587201","1046953802245578753","everyone",NA,"2018-10-02T02:43:32.000Z","HelpFloridaHeal","Help Florida Heal","https://t.co/nrcNO8vykn","https://pbs.twimg.com/profile_images/1046954462252650496/fAI8sUWg_normal.jpg",FALSE,"1304150592277929984",FALSE,"We are a nonpartisan group of FL citizens demanding that our politicians take action to help Florida heal from the red tide and green algae poisoning our state.","Boca Grande, FL",1,0,0,1,0,147,347,1461,2,NA,"Break in main wastewater sewer line in Manatee County. 

“We’re really afraid of the ecological consequences and right now today, we’re worried about the health and potential human impacts,” said Justin Bloom, Founder of Suncoast Waterkeeper. 

https://t.co/jp21kOMit5"
"32","RT @ReadCarlos: On Friday, a contractor hit a sewer line at 5250 Gulf of Mexico Drive on Longboat Key at about 7:30 p.m. resulting in a spi…","en",FALSE,"1281639829516750851",2020-07-10 17:22:01,"1281639829516750851","816013053745627136","everyone",NA,"2017-01-02T20:07:27.000Z","Artymedon","Felsenhardt",NA,"https://pbs.twimg.com/profile_images/1028519708381732865/f0iw2Swi_normal.jpg",FALSE,"1621846317419962368",FALSE,"🕵️‍♂️pianist, botanist, linguist
#civil,#rights,#Communautes Francophones","South Carolina, USA",1,0,0,0,0,363,4925,14508,0,NA,"On Friday, a contractor hit a sewer line at 5250 Gulf of Mexico Drive on Longboat Key at about 7:30 p.m. resulting in a spill of less than 1,000 gallons of wastewater. Repairs will be completed by Wednesday. The spill has been plugged and bypassed."
"33","The town of Longboat Key has been fined over $242,000 by the @FLDEPNews  for a sewage break and ensuing spill that occurred in June sending around 28 million gallons of #sewage wastewater into #Sarasota Bay in June . https   thebradentontimes com longboat key fined for sarasota bay sewage spill p22231 158 htm","en",FALSE,"1313811606900559873",2020-10-07 12:01:11,"1313811606900559873","1088196428961406976","everyone",NA,"2019-01-23T22:07:01.000Z","awsproject","American Water Security Project","https://t.co/AR8sz1dyFZ","https://pbs.twimg.com/profile_images/1088562451866501120/isA81Jbq_normal.jpg",FALSE,NA,FALSE,"Promoting the need for #sewage and #wastewater #infrastructure upgrades and repairs, #ethical treatment of wastewater, and protection of our nation's waters",NA,0,0,0,0,0,92,95,1368,1,NA,"The town of Longboat Key has been fined over $242,000 by the @FLDEPNews  for a sewage break and ensuing spill that occurred in June sending around 28 million gallons of #sewage wastewater into #Sarasota Bay in June https://t.co/DVe0xRcfBm"
"34","Wastewater appears to be leaking at an old phosphate plant in Palmetto. To prevent “a potential catastrophic failure,"" state regulators have approved controlled releases to Port Manatee on Tampa Bay. . https   www tampabay com news environment 2021 03 30 leak at old phosphate plant could cause discharges into tampa bay","en",FALSE,"1376865441847599106",2021-03-30 11:54:36,"1376865441847599106","213164823","everyone",NA,"2010-11-08T04:18:07.000Z","ZackSampson","Zack Sampson","https://t.co/YleaqdcAN8","https://pbs.twimg.com/profile_images/560772860545757185/UJ0f-WFA_normal.jpeg",FALSE,NA,TRUE,"Investigative reporter @TB_Times. zsampson@tampabay.com. On Signal: 813-534-0157. he/him.","St. Petersburg, Fla.",9,0,2,1,0,3328,869,14757,153,NA,"Wastewater appears to be leaking at an old phosphate plant in Palmetto. To prevent “a potential catastrophic failure,"" state regulators have approved controlled releases to Port Manatee on Tampa Bay. https://t.co/KApnXQUCH2"
"35","RT @ZackSampson: Wastewater appears to be leaking at an old phosphate plant in Palmetto. To prevent “a potential catastrophic failure,"" sta…","en",FALSE,"1376874677432426498",2021-03-30 12:31:18,"1376874677432426498","1705235282","everyone",NA,"2013-08-27T17:44:53.000Z","mahoneysthename","Emily L. Mahoney","https://t.co/zCm8SMts8h","https://pbs.twimg.com/profile_images/1430913248807751685/27cwBhxb_normal.jpg",FALSE,NA,TRUE,"Political editor @TB_Times reporting on power, and those who hold it, in Florida. Writer of The Buzz newsletter. emahoney@tampabay.com.","St Petersburg, FL",9,0,0,0,0,5174,2298,6320,209,NA,"Wastewater appears to be leaking at an old phosphate plant in Palmetto. To prevent “a potential catastrophic failure,"" state regulators have approved controlled releases to Port Manatee on Tampa Bay. https://t.co/KApnXQUCH2"
