"","text","id","reply_settings","created_at.x","lang","possibly_sensitive","in_reply_to_user_id","conversation_id","author_id","location","username","url","name","created_at.y","verified","pinned_tweet_id","profile_image_url","description","protected","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count"
"11","@DJ58580742 @floridaguy267 @Solmemes1 We call that red tide","1022642106735775744","everyone",2018-07-27 00:37:32,"en",FALSE,"1001541425060859904","1016858430785585153","2924063531","FL","KathleenLong","https://t.co/CGcqdKFH9p","KLONG","2014-12-16T01:43:59.000Z",FALSE,"1253508562321641472","https://pbs.twimg.com/profile_images/1253505095993622528/RyzqeJXb_normal.jpg","#KAG Women for Trump Native NY'er #ProLife #MAGA2020 #Red wave #Family #standwithIsrael ✝ my family served #LivePDNation",FALSE,"b83641daa7c732dc",0,0,0,0,0,418,977,18152,6
"12","The red tide hazard is serious 🤮 https://t.co/zVgy9HOU4C","1024392662051373056","everyone",2018-07-31 20:33:37,"en",FALSE,NA,"1024392662051373056","3808929736","Windermere, FL","kaceeemiller",NA,"K I R S T E N ❤️‍🔥","2015-09-28T23:58:57.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1589813727565680642/YrmHNGng_normal.jpg","boy mom ♡ || 26 • insta: kiirstenmiller",FALSE,"0043956c6f41307f",3,0,2,1,0,536,519,18765,0
"13","Turn the Tide!! 
STOP ""FEEDING"" the RED TIDE!! https://t.co/TAWhMVmdtM via @Change","1024703942301810690","everyone",2018-08-01 17:10:32,"en",FALSE,NA,"1024703942301810690","2841413614","Sarasota, FL","lesrealtor","https://t.co/wiuNn6Uaxg","Leslie Gregory","2014-10-22T18:22:51.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/524990446867468288/hlyXZcLo_normal.jpeg","Broker Agent for Fine Properties in Sarasota, FL Leslie@FinePropertiesRE.com 941-238-7714",FALSE,"008338532a26abed",0,0,0,0,0,293,585,501,5
"14","@kgabssss the red tide made her asthma flare up and the plane mixed with sunburn basically gave her the flu lol","1024802743876313088","everyone",2018-08-01 23:43:08,"en",FALSE,"24970658","1024791188635889664","166279657","CT","kaayllaa_atl","https://t.co/gtcXF5w6Xc","kayla","2010-07-13T19:35:04.000Z",FALSE,"1586368248362041345","https://pbs.twimg.com/profile_images/1484622184618151936/cToVxyt6_normal.jpg","i wonder what its like to be the universe experiencing itself ironically // 8123 // ct",FALSE,"0064b4f401ced97c",0,1,0,0,0,780,315,60152,8
"15","This red tide/algae thing could crush Rick Scott if it's still around near election.  Seeing all my boating friends, prime GOP voters, extremely pissed off and pointing fingers at Scott.  #FlaPol","1024820172044025856","everyone",2018-08-02 00:52:23,"en",FALSE,NA,"1024820172044025856","144834495","Florida, USA, Planet Earth","RTShark",NA,"R","2010-05-17T12:32:50.000Z",FALSE,"748294506022313984","https://pbs.twimg.com/profile_images/1384690326921744388/VEutFQxt_normal.jpg","Old punker. I watch race cars, hockey and talk Hurricane football. I detail cars for fun.

Fuck racism. Fuck transphobia. Fuck homophobia.

Nazis can fuck off.",FALSE,"0064b4f401ced97c",0,1,0,0,0,1149,1155,84188,60
"16","Red tide washes out fish and tourists https://t.co/jk7OJzwAHK","1024835908271529984","everyone",2018-08-02 01:54:55,"en",FALSE,NA,"1024835908271529984","839537188819849216","Champa Bay, FL","NoDocumentaries","https://t.co/8DAkno21eA","Michael Moore Jr.","2017-03-08T18:03:58.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1044690077539078145/BYbWEK4Z_normal.jpg","Writer, journalist, storyteller. Semi-retired trivia geek. Fantasy Football nerd. Aspiring wannabe Tetris master.",FALSE,"015ece617bb3a210",0,0,0,0,0,769,3355,9034,7
"17","@OversteerTV I don't think whether the pointing is misguided or not matters.  Two things favor the Dems is that incumbents get punished, the GOP controls that area, and Dems in general are usually seen as better for the environment.   

Anyway, was just an observation I see on Facebook.","1024837171952459777","everyone",2018-08-02 01:59:57,"en",FALSE,"28165728","1024820172044025856","144834495","Florida, USA, Planet Earth","RTShark",NA,"R","2010-05-17T12:32:50.000Z",FALSE,"748294506022313984","https://pbs.twimg.com/profile_images/1384690326921744388/VEutFQxt_normal.jpg","Old punker. I watch race cars, hockey and talk Hurricane football. I detail cars for fun.

Fuck racism. Fuck transphobia. Fuck homophobia.

Nazis can fuck off.",FALSE,NA,0,1,0,0,0,1149,1155,84188,60
"18","@OversteerTV As far as Scott goes, you look at the map of red tide here and that is basic Scott's primary donor area.   

It could create interesting politics.","1024837449405681664","everyone",2018-08-02 02:01:03,"en",FALSE,"144834495","1024820172044025856","144834495","Florida, USA, Planet Earth","RTShark",NA,"R","2010-05-17T12:32:50.000Z",FALSE,"748294506022313984","https://pbs.twimg.com/profile_images/1384690326921744388/VEutFQxt_normal.jpg","Old punker. I watch race cars, hockey and talk Hurricane football. I detail cars for fun.

Fuck racism. Fuck transphobia. Fuck homophobia.

Nazis can fuck off.",FALSE,"0064b4f401ced97c",0,0,0,0,0,1149,1155,84188,60
"19","Page 1 of today’s @bradentonherald features heartbreaking story by @jenstaletovich &amp; photo on the killer red tide in SW Florida; @urbanmark2014 on thefts at Bradenton cemetery; &amp; the latest on Trump/Russia Read more at https://t.co/yh6lSLqACX #ReadMore https://t.co/H1tlJ3ci8U","1024966990887362561","everyone",2018-08-02 10:35:48,"en",FALSE,NA,"1024966990887362561","349049976","Bradenton, Fla.","MRMasferrer",NA,"Marc R. Masferrer","2011-08-05T13:16:34.000Z",TRUE,NA,"https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg","",FALSE,"d096ac3f2b0da338",0,0,0,0,0,3163,1917,76767,119
"20","MOTE employee explaining what happened to the turtle. #turtle #turtlesofinstagram #loggerhead #loggerheadturtle #wildlife #wildliferescue #annamariaisland #florida #MOTE #redtide… https://t.co/rKo1C44Pnq","1025030153804677120","everyone",2018-08-02 14:46:47,"en",FALSE,NA,"1025030153804677120","39622281","Kentucky","SuzyP39",NA,"Skylar Peak","2009-05-12T23:07:08.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1013642548504604672/7SDFuOjl_normal.jpg","I am a model and Pageant girl who loves God and her family and her Dog Reece.",FALSE,"3c2aec1245cb0d0c",0,0,0,0,0,60,314,1856,0
"21","MOTE employee explaining what happened to the turtle. #turtle #turtlesofinstagram #loggerhead #loggerheadturtle #wildlife #wildliferescue #annamariaisland #florida #MOTE #redtide #tracking… https://t.co/werQYl8BfI","1025149633037824001","everyone",2018-08-02 22:41:33,"en",FALSE,NA,"1025149633037824001","39622281","Kentucky","SuzyP39",NA,"Skylar Peak","2009-05-12T23:07:08.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1013642548504604672/7SDFuOjl_normal.jpg","I am a model and Pageant girl who loves God and her family and her Dog Reece.",FALSE,"3c2aec1245cb0d0c",0,0,0,0,0,60,314,1856,0
"22","Happy Friday! Page 1 of today’s @bradentonherald features team report on red tide mess in Gulf of Mexico. @saranealeigh @SamPutterman @Gsabella Read more at https://t.co/yh6lSLqACX #ReadLocal https://t.co/6EPlqsFj2a","1025329217322606592","everyone",2018-08-03 10:35:09,"en",FALSE,NA,"1025329217322606592","349049976","Bradenton, Fla.","MRMasferrer",NA,"Marc R. Masferrer","2011-08-05T13:16:34.000Z",TRUE,NA,"https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg","",FALSE,"d096ac3f2b0da338",3,1,2,0,0,3163,1917,76767,119
"23","Here’s the red tide story: https://t.co/ZUmODUlKIB","1025329514870661120","everyone",2018-08-03 10:36:20,"en",FALSE,"349049976","1025329217322606592","349049976","Bradenton, Fla.","MRMasferrer",NA,"Marc R. Masferrer","2011-08-05T13:16:34.000Z",TRUE,NA,"https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg","",FALSE,"d096ac3f2b0da338",0,0,0,0,0,3163,1917,76767,119
"24","Hundreds of dead fish line Siesta Key beach. Red tide may be heading to Manatee next, report @SamPutterman, @saranealeigh and @Gsabella.
https://t.co/gxYB3QlfQk","1025365358864211969","everyone",2018-08-03 12:58:46,"en",FALSE,NA,"1025365358864211969","265559945","Bradenton, FL","JDeleon1012","https://t.co/CRohX622QC","Jessica De Leon","2011-03-13T19:24:39.000Z",TRUE,"1612861489475457029","https://pbs.twimg.com/profile_images/1613951615102324757/ES0hXmN3_normal.jpg","Investigative multi-media journalist at @abcactionnews.

Formerly @BradentonHerald and @BHnewsguild.

Confidential tips: JessDeLeon@protonmail.com",FALSE,"008338532a26abed",1,0,0,0,0,2840,1467,31062,82
"25","Dead fish washing in on Longboat Key #redtide #lbk #srq #venicebeach #siestakey #ftmeyersbeach #sanibelisland #saveourocean #gulfcoast #vote @barackobama @vp… https://t.co/RiKyNFDWXs","1025435396451127296","everyone",2018-08-03 17:37:04,"en",FALSE,NA,"1025435396451127296","711239149","Apollo Beach, FL","UAMGLala1014",NA,"Laura Mucerino","2012-07-22T20:41:39.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/831993482579439617/qRnD2Hsb_normal.jpg","Destiny is all...Living my best life in Florida with my best friend and soul mate #bossmanfrank and doggy mom to rescue pup Simba 🐾❤️",FALSE,"06994603b8d09169",0,1,0,0,0,787,1138,3453,9
"26","@UAMGLala1014 @BarackObama @VP We are coming to vacation in Longboat Key end of this month from Seattle. The Airbnb we rented is refusing to let us cancel saying the beaches there are fine. Has the red tide reached Longboat Key?","1025488532821798912","everyone",2018-08-03 21:08:13,"en",FALSE,"711239149","1025435396451127296","1449428138","Seattle, WA","weatherchaser5","https://t.co/vgWhFBNgYx","Sarah Kogler","2013-05-22T16:57:47.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1602006710075658240/z31sOhI0_normal.jpg","BS Atmospheric Science - Ohio State, Meteorologist, Storm Chaser, Structure Hipster, Photographer and lover of all things travel. Grand Optimist",FALSE,"a285b156487ecf55",0,1,0,0,0,4042,1819,16286,85
"27","@JohnnyBcomedy @ScrumRyanRadio @AnnaHummelRadio I worked on longboat key on Wednesday and the red tide smell was pretty bad.","1025551935636680709","everyone",2018-08-04 01:20:09,"en",FALSE,"15827235","1025551935636680709","520880925",NA,"HempTimmy",NA,"Tim Hemp","2012-03-11T01:03:00.000Z",FALSE,"729180599970304002","https://pbs.twimg.com/profile_images/936342646343241730/g6MuJT73_normal.jpg","#1Bhole",FALSE,"b83641daa7c732dc",0,0,2,0,0,85,95,4578,6
"28","The surf at @ManateeGov Public Beach on #AnnaMariaIsland shows signs of #RedTide  https://t.co/hIypEGQZBY","1025713057065054208","everyone",2018-08-04 12:00:24,"en",FALSE,NA,"1025713057065054208","349049976","Bradenton, Fla.","MRMasferrer",NA,"Marc R. Masferrer","2011-08-05T13:16:34.000Z",TRUE,NA,"https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg","",FALSE,"19e150d848908604",1,0,0,0,0,3163,1917,76767,119
"29","The smell isn’t too made &amp; I’m not feeling it in my eyes or throat. But I wouldn’t get in water. #RedTide","1025714203963867136","everyone",2018-08-04 12:04:57,"en",FALSE,"349049976","1025713873389797376","349049976","Bradenton, Fla.","MRMasferrer",NA,"Marc R. Masferrer","2011-08-05T13:16:34.000Z",TRUE,NA,"https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg","",FALSE,"19e150d848908604",0,0,0,0,0,3163,1917,76767,119
"30","Live from Coquina Beach as #redtide hits #AnnaMariaIsland  https://t.co/3CQrBeN5Iq","1025723230584225793","everyone",2018-08-04 12:40:49,"en",FALSE,NA,"1025723230584225793","349049976","Bradenton, Fla.","MRMasferrer",NA,"Marc R. Masferrer","2011-08-05T13:16:34.000Z",TRUE,NA,"https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg","",FALSE,"224d8d4e6da92f36",2,2,0,1,0,3163,1917,76767,119
"31","@MRMasferrer How bad is the red tide? Is it spotty ir everywhere? We leave for Holmes beach today.","1025730275362439168","everyone",2018-08-04 13:08:49,"en",FALSE,"349049976","1025723230584225793","1004878561709383682",NA,"Vern94264301",NA,"Vern","2018-06-08T00:11:33.000Z",FALSE,NA,"https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","",FALSE,NA,0,1,0,0,0,0,0,2,0
"32","@Vern94264301 The water is brown-green. I wouldn’t swim in it. Wasn’t affecting my eyes, throat, skin, etc. Didn’t smell too awful https://t.co/klnvEfsGrt","1025733833122045952","everyone",2018-08-04 13:22:57,"en",FALSE,"1004878561709383682","1025723230584225793","349049976","Bradenton, Fla.","MRMasferrer",NA,"Marc R. Masferrer","2011-08-05T13:16:34.000Z",TRUE,NA,"https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg","",FALSE,NA,0,0,0,0,0,3163,1917,76771,119
"33","Pretty day. No red tide. https://t.co/RlDvacy3mL","1025757698598547456","everyone",2018-08-04 14:57:47,"en",FALSE,NA,"1025757698598547456","17428633","Orlando","kimvoss",NA,"drkimvoss","2008-11-16T22:02:03.000Z",FALSE,"1396518861474877444","https://pbs.twimg.com/profile_images/1423065779759685635/7AEDQhB7_normal.jpg","UCF full professor, wife & boy mom of 2. Books: Women’s Page J; Women Politicking Politely; Food Section; Mad Men; Fashion J. Next: V. Castleberry.",FALSE,"07d9cddf26486002",0,0,1,0,0,1270,2551,17988,97
"34","@RCCallihan Not a coincidence. Brief visit to my favorite part of the beach confirmed #Redtide has arrived. It looked and smelled OK, but waded into the water only for a second, started coughing and walked right out. #beanpoint https://t.co/QOfeVpwkOI","1025823619526615041","everyone",2018-08-04 19:19:44,"en",FALSE,"1697808410","1025797058354196481","265559945","Bradenton, FL","JDeleon1012","https://t.co/CRohX622QC","Jessica De Leon","2011-03-13T19:24:39.000Z",TRUE,"1612861489475457029","https://pbs.twimg.com/profile_images/1613951615102324757/ES0hXmN3_normal.jpg","Investigative multi-media journalist at @abcactionnews.

Formerly @BradentonHerald and @BHnewsguild.

Confidential tips: JessDeLeon@protonmail.com",FALSE,"3c2aec1245cb0d0c",2,0,2,0,0,2840,1467,31062,82
"35","Thousands of fish now dead in Sarasota Bay.  This video was taken near Coquina Beach.  Boat captains are reporting red tide as far north as Passage Key.  We are feeling burning in our eyes and throat from toxic bloom.  @abcactionnews https://t.co/PRsuy60lkb","1025858496829566976","everyone",2018-08-04 21:38:19,"en",FALSE,NA,"1025858496829566976","82925465","Tampa, FL","MichaelPaluska","https://t.co/ubIaHDiqQ4","Michael Paluska","2009-10-16T17:11:30.000Z",TRUE,NA,"https://pbs.twimg.com/profile_images/1507698331249790979/ycOs_bfx_normal.jpg","Special projects Reporter at ABC Action News.",FALSE,"07d9db6fd6486002",9,1,6,0,0,1697,1493,5504,72
"36","The #sunrise was beautiful on #annamariaisland #florida on Saturday but it couldn’t hide the #redtide in the water and air. @ Anna Maria Island Beaches https://t.co/MnS3GUNHbd","1025862594249273345","everyone",2018-08-04 21:54:36,"en",FALSE,NA,"1025862594249273345","349049976","Bradenton, Fla.","MRMasferrer",NA,"Marc R. Masferrer","2011-08-05T13:16:34.000Z",TRUE,NA,"https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg","",FALSE,"19e150d848908604",0,0,0,0,0,3163,1917,76767,119
"37","@MichaelPaluska @TheRealBawllz @abcactionnews Now a justification for disliking the beach.","1025896905707012096","everyone",2018-08-05 00:10:57,"en",FALSE,"82925465","1025858496829566976","745763282","Bradenton, FL","Trekmark8","https://t.co/f2bT9tcli4","Brian Matthews","2012-08-08T19:07:08.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1238953162754662400/062Q7QoZ_normal.jpg","FL native & graduate of the Ringling College of Art & Design; creator of the online animated series 'Stone Trek’.",FALSE,NA,0,0,0,0,0,423,483,23694,10
"38","Even though red tide is creeping up on us the sunsets are spectacular #islandlife #florida #lavinovita #ladolcevita  #extravirgin #sunset #relax @ Longboat Key, Florida https://t.co/HaXz2QG5bd","1025897116886032384","everyone",2018-08-05 00:11:47,"en",FALSE,NA,"1025897116886032384","97718802","Anna Maria","oliveoiloutpost","http://t.co/eEMOfgeThV","Olive Oil Outpost","2009-12-18T18:09:19.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/586287124460089344/6-0ts-kC_normal.png","Amazing Olive Oils, Olives, Balsamics, Vinegars, Pastas, Cheese, Meats, Wines an espresso bar and more",FALSE,"06994603b8d09169",0,0,0,0,0,519,812,3527,18
"39","@weatherchaser5 @UAMGLala1014 @BarackObama @VP Have you gotten any resolution from @Airbnb @AirbnbHelp on this? Looks like we'll run into this  issue, wondering their stance","1025910047308693504","everyone",2018-08-05 01:03:10,"en",FALSE,"1449428138","1025435396451127296","13538432","Columbia, SC","kaceyliles",NA,"kacey","2008-02-16T00:55:10.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/790568409645940736/YIUAae5X_normal.jpg","",FALSE,"6057f1e35bcc6c20",0,1,0,0,0,2606,1586,16674,119
"40","@kaceyliles @UAMGLala1014 @BarackObama @VP @Airbnb @AirbnbHelp Airbnb is currently working on a solution, so fingers crossed","1025917633256873984","everyone",2018-08-05 01:33:19,"en",FALSE,"13538432","1025435396451127296","1449428138","Seattle, WA","weatherchaser5","https://t.co/vgWhFBNgYx","Sarah Kogler","2013-05-22T16:57:47.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1602006710075658240/z31sOhI0_normal.jpg","BS Atmospheric Science - Ohio State, Meteorologist, Storm Chaser, Structure Hipster, Photographer and lover of all things travel. Grand Optimist",FALSE,"3912e7cd4cf62c39",0,0,1,0,0,4042,1819,16286,85
"41","The environment is THE story of Page 1 of Sunday’s @bradentonherald @RCCallihan  has the latest on #RedTide &amp; @jajones1 reports on what new mining permits for @MosaicInFlorida will mean for Manatee County. Read more at https://t.co/yh6lSLqACX https://t.co/L0OmAPkgqg","1026061477759905793","everyone",2018-08-05 11:04:54,"en",FALSE,NA,"1026061477759905793","349049976","Bradenton, Fla.","MRMasferrer",NA,"Marc R. Masferrer","2011-08-05T13:16:34.000Z",TRUE,NA,"https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg","",FALSE,"d096ac3f2b0da338",2,1,2,0,0,3163,1917,76767,119
"42","The #RedTide story by @RCCallihan https://t.co/VAfU6sM8Qg","1026061760229515264","everyone",2018-08-05 11:06:01,"en",FALSE,"349049976","1026061477759905793","349049976","Bradenton, Fla.","MRMasferrer",NA,"Marc R. Masferrer","2011-08-05T13:16:34.000Z",TRUE,NA,"https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg","",FALSE,"d096ac3f2b0da338",0,1,0,0,0,3163,1917,76767,119
"43","The @MosaicInFlorida story by @jajones1 https://t.co/5Lpdltq8FY","1026062001540419585","everyone",2018-08-05 11:06:59,"en",FALSE,"349049976","1026061477759905793","349049976","Bradenton, Fla.","MRMasferrer",NA,"Marc R. Masferrer","2011-08-05T13:16:34.000Z",TRUE,NA,"https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg","",FALSE,"d096ac3f2b0da338",0,0,0,0,0,3163,1917,76771,119
"44","@VSPC Hi guys, wondering whether to drive up or stay at Anna Maria? Is there any sign off Red Tide?","1026107113842651142","everyone",2018-08-05 14:06:14,"en",FALSE,"23946417","1026107113842651142","28243008","London","marie_cavanagh",NA,"marie cavanagh","2009-04-02T00:59:04.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1404092878826135555/lcfd37Eb_normal.jpg","Coffee & karaoke enthusiast. Working on climate change & net zero.",FALSE,"224d8d4e6da92f36",0,1,0,0,0,166,113,1716,2
"45","The red tide algae bloom may be south, but the dead fish are here. 

#Florida #AnnaMariaIsland #wildlifephotography #redtide @ Coquina Beach Park https://t.co/3uyuGZNQBW","1026117992902471680","everyone",2018-08-05 14:49:28,"en",FALSE,NA,"1026117992902471680","240005388","St. Petersburg, FL","JennGlenfield","https://t.co/bobkqP2CId","Jennifer Glenfield","2011-01-18T23:18:37.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1271134361891586048/NTvAEi62_normal.jpg","Video producer for @TB_Times, alum of @ucbsoj and former local politics and enviro issues for @ami_islander.",FALSE,"224d8d4e6da92f36",0,0,0,0,0,425,854,244,21
"46","Even all the way by #ManateeMemorial hospital, in braxkish water the #RedTide claims yet another #victim @BAYNEWS9DESK https://t.co/1aKX82C5Eh","1026121308613107712","everyone",2018-08-05 15:02:39,"en",FALSE,NA,"1026121308613107712","2406249106","Bradenton, FL","lapinskilucas",NA,"Lucas Lapinski","2014-03-13T00:45:56.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1081307080332660736/UAd7Uelt_normal.jpg","Live and breathe sports especially @packers and @raptors as well as my beloved soccer team @LegiaWarszawa. Live where you vacation! #BradentonFL",FALSE,"07d9db5e5e081003",0,0,0,0,0,73,96,3564,14
