"","text","created_at.x","possibly_sensitive","author_id","id","reply_settings","conversation_id","lang","in_reply_to_user_id","profile_image_url","username","verified","protected","created_at.y","description","name","url","pinned_tweet_id","location","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"11","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…",2020-07-01 21:46:05,FALSE,"855039889","1278444791659978754","everyone","1278444791659978754","en",NA,"https://pbs.twimg.com/profile_images/2666560011/ca6cc07c5cdce398fa0957be56cf16ff_normal.png","LarryToweTV",FALSE,FALSE,"2012-09-30T17:14:40.000Z","Special Projects Photographer for WTVT FOX13, tinkerer, gardener, maker of wooden things. WHSV, WVPT, MCT, WHTM. Opinions my own.","Larry Towe",NA,NA,"Tampa, Florida",12,0,0,0,0,1960,1436,15365,68,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"12","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…",2020-07-01 21:46:11,FALSE,"347254898","1278444816045608967","everyone","1278444816045608967","en",NA,"https://pbs.twimg.com/profile_images/1380143134328377347/LD1PQlwq_normal.jpg","Fla_Yakker",FALSE,FALSE,"2011-08-02T14:23:30.000Z","Florida kayak fisherman, Army Brat
#VibeKayaks #ReefAndReel #AccCrappieStix #ShimanoReels #Eurotackle #Garmin #FloGrown #DakotaLithium","🛶𝕭𝖗𝖆𝖉🛶",NA,"1380996071128756224","Spring Hill, FL",12,0,0,0,0,477,475,11493,2,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"13","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…",2020-07-01 21:51:47,FALSE,"2167192391","1278446225780506631","everyone","1278446225780506631","en",NA,"https://pbs.twimg.com/profile_images/378800000690981287/aa9a046688047a9e4762f984eb41b3cf_normal.jpeg","adenine2k",FALSE,FALSE,"2013-11-04T00:31:40.000Z","Chemist. History buff. Avid reader. Knowledge hoarder and disseminator. Nerd.","Adenine",NA,NA,NA,12,0,0,0,0,20,227,510,1,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"14","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…",2020-07-01 21:58:18,FALSE,"882305157987536897","1278447866198065152","everyone","1278447866198065152","en",NA,"https://pbs.twimg.com/profile_images/1155595932160942080/UbcRRfk__normal.jpg","hellkat707",FALSE,FALSE,"2017-07-04T18:28:36.000Z","","Hellkat707",NA,NA,"Plant City, FL",12,0,0,0,0,19,321,238,0,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"15","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…",2020-07-01 22:09:33,FALSE,"1088234470665318407","1278450697680363523","everyone","1278450697680363523","en",NA,"https://pbs.twimg.com/profile_images/1088234674588069888/jMon1JDL_normal.jpg","a4floridacajun",FALSE,FALSE,"2019-01-24T00:38:11.000Z","Love the Gulf Coast, and other conservative ideas, places and interfaces. #proLife, low-debt #capitalist, #philosophy as it helps. More at https://t.co/H6efs4NYp7.","ari4","https://t.co/6yi0YHBPbb","1620478099438841856","Northwest Florida ",12,0,0,0,0,2874,3766,96549,9,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"16","@kkuizon @FOX13News Blackwater or graywater, do we know?",2020-07-01 22:19:32,FALSE,"731985605601693697","1278453211893059584","everyone","1278444520510763009","en","26014932","https://pbs.twimg.com/profile_images/1587645329154899969/QC2PWNoc_normal.jpg","_gulfcoastchris",FALSE,FALSE,"2016-05-15T23:12:22.000Z","Liberal. Veteran. Patriot.","Gulf Coast Chris",NA,"1550547728081760256","West Coast Best Coast!",0,1,0,0,0,42,129,5210,1,NA
"17","@kkuizon @FOX13News There are very few things all people agree Governments should do - and they end up screwing that up too.",2020-07-01 22:36:30,FALSE,"1857157704","1278457480587198467","everyone","1278444520510763009","en","26014932","https://pbs.twimg.com/profile_images/1280482594774269952/7F1X2RNT_normal.jpg","TampaFLPolitico",FALSE,FALSE,"2013-09-12T11:58:10.000Z","Clean Air, Clean Water, Pro-Public Education, Medicare-for-all. Realist over Theory, Local over Feds.","Ranger Rick",NA,NA,"Tampa, FL",0,0,1,0,0,221,304,20927,1,NA
"18","26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay

. http   www theuncensoredreport com 2020 07 26 to 28 million gallons of wastewater is believed to have spilled into sarasota bay",2020-07-01 22:48:22,FALSE,"747552338","1278460465203630080","everyone","1278460465203630080","en",NA,"https://pbs.twimg.com/profile_images/1199787023508365318/sFxlsK-T_normal.jpg","TheSuncoastNews",FALSE,FALSE,"2012-08-09T16:54:44.000Z","Covering local Suncoast news and some national news. Alumna @UofMaryland, Vet @DepNavy. Bringing back Truth In Media!","Francesco Abbruzzino - The Scoop","https://t.co/ZhRKxESlva",NA,"Sarasota, Florida",0,0,0,0,0,1107,319,152229,54,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay

https://t.co/iY91p2n2xU"
"19","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…",2020-07-01 23:06:53,FALSE,"804386261121331201","1278465126849490947","everyone","1278465126849490947","en",NA,"https://pbs.twimg.com/profile_images/1436747035391168512/YN8OvYFK_normal.jpg","Frankiesdeadmgt",FALSE,FALSE,"2016-12-01T18:06:44.000Z","the DEAD🌹💀🌹 #longlivebrucelean FL photographer @tampatattooco @headhighfl","Glock Sabbath 🥀☠️","https://t.co/ZnwnUr6tGL","1044215000859070465","Tampa, FL",12,0,0,0,0,1015,833,58578,2,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"20","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…",2020-07-01 23:35:23,FALSE,"2842239604","1278472299642003458","everyone","1278472299642003458","en",NA,"https://pbs.twimg.com/profile_images/1250637488533749760/Qpv-9Art_normal.jpg","S_uckmynutt",FALSE,FALSE,"2014-10-23T22:00:26.000Z","Wake up to find out that you are the eyes of the world💀🌹","nic",NA,"831903738071830532",NA,12,0,0,0,0,496,272,67272,4,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"21","@kkuizon @FOX13News All that stuck up money out there ...dont worry there shit doesn't atink",2020-07-02 00:44:40,FALSE,"1274752267346903040","1278489735917375488","everyone","1278444520510763009","en","26014932","https://pbs.twimg.com/profile_images/1276367455489871873/-SXQKmRJ_normal.jpg","Derrick10338108",FALSE,FALSE,"2020-06-21T17:13:32.000Z","Want to see the good in everyone...ready to make your life a living hell if I have to","Derrick",NA,NA,NA,0,0,1,0,0,28,52,54,0,NA
"22","Wastewater spill may have long-term impact on Sarasota Bay @fox13news #longboatkey #sarasota #manatee . https   www fox13news com news wastewater spill may have long term impact on sarasota bay",2020-07-02 01:11:47,FALSE,"26014932","1278496557134946304","everyone","1278496557134946304","en",NA,"https://pbs.twimg.com/profile_images/964559428560281600/xGdD0z3r_normal.jpg","kkuizon",TRUE,FALSE,"2009-03-23T14:53:08.000Z","Fox 13 WTVT Reporter. Florida Girl living the dream. Wife, new mom, Gator, adventure seeker-outdoor lover & trying to juggle it all at once. Opinions are my own","Kim Kuizon FOX 13","https://t.co/C8yRkQVAYP",NA,"Tampa Bay",1,0,1,1,0,7309,516,21126,190,"Wastewater spill may have long-term impact on Sarasota Bay @fox13news #longboatkey #sarasota #manatee https://t.co/Ldw2SL80h3"
"23","RT @kkuizon: Wastewater spill may have long-term impact on Sarasota Bay @fox13news #longboatkey #sarasota #manatee https://t.co/Ldw2SL80h3",2020-07-02 01:13:29,FALSE,"836348305567268865","1278496984693911552","everyone","1278496984693911552","en",NA,"https://pbs.twimg.com/profile_images/836350408868171776/kwaVmLAx_normal.jpg","indivisible_brd",FALSE,FALSE,"2017-02-27T22:52:29.000Z","Indivisible Bradenton","IndivisibleBradenton",NA,"1109118422216892416","Bradenton, FL",1,0,0,0,0,1149,946,25194,24,"Wastewater spill may have long-term impact on Sarasota Bay @fox13news #longboatkey #sarasota #manatee https://t.co/Ldw2SL80h3"
"24","@kkuizon @FOX13News Yay humans!",2020-07-02 03:31:19,FALSE,"758626133831192576","1278531673085423617","everyone","1278444520510763009","en","26014932","https://pbs.twimg.com/profile_images/990933509668790272/HRAIXkiW_normal.jpg","HellFireFlorida",FALSE,FALSE,"2016-07-28T11:32:19.000Z","Follow Hell Fire to get the latest common sense tweets. Not a Democrat. Not a Republican. All politicians are conmen.","The Hellfire Club",NA,"1514925908003536896",NA,0,0,0,0,0,47,151,2117,1,NA
"25","@kkuizon @FOX13News Terrorist attack?",2020-07-02 03:31:48,FALSE,"758626133831192576","1278531793113812993","everyone","1278444520510763009","sv","26014932","https://pbs.twimg.com/profile_images/990933509668790272/HRAIXkiW_normal.jpg","HellFireFlorida",FALSE,FALSE,"2016-07-28T11:32:19.000Z","Follow Hell Fire to get the latest common sense tweets. Not a Democrat. Not a Republican. All politicians are conmen.","The Hellfire Club",NA,"1514925908003536896",NA,0,0,0,0,0,47,151,2117,1,NA
"26","@_gulfcoastchris @kkuizon @FOX13News Poopy water?",2020-07-02 03:32:13,FALSE,"758626133831192576","1278531897828749314","everyone","1278444520510763009","en","731985605601693697","https://pbs.twimg.com/profile_images/990933509668790272/HRAIXkiW_normal.jpg","HellFireFlorida",FALSE,FALSE,"2016-07-28T11:32:19.000Z","Follow Hell Fire to get the latest common sense tweets. Not a Democrat. Not a Republican. All politicians are conmen.","The Hellfire Club",NA,"1514925908003536896",NA,0,0,0,0,0,47,151,2117,1,NA
"27","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…",2020-07-02 10:39:05,FALSE,"435423881","1278639322368016384","everyone","1278639322368016384","en",NA,"https://pbs.twimg.com/profile_images/1257806466502856705/gp9d2PKt_normal.jpg","redcarma",FALSE,FALSE,"2011-12-13T01:46:22.000Z","Not my circus. Not my monkeys. Bronx girl. Sports Chick Extraordinaire. #USFAlum #YankeeGirl #CowboyNation #veggiegirl","Just Maryann ⚾️🏈🤘🎵🎶","https://t.co/dTLQF9jhU3",NA,"Tampa Bay",12,0,0,0,0,339,1304,11446,12,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"28","🐢🙏💔🙏🐦 Sarasota | Wastewater spill may have long-term impact on Sarasota Bay . https   www newsbreakapp com n 0PUg99hM",2020-07-02 13:18:16,FALSE,"278324876","1278679384723992579","everyone","1278679384723992579","en",NA,"https://pbs.twimg.com/profile_images/1070001459339673606/j4M5RToE_normal.jpg","harmonych2",FALSE,FALSE,"2011-04-07T02:02:08.000Z","RetNurse-USAVetChaplainsAssistant~Currently testng theory that teaching kindness 2bots will release the men.👀 #DivineMasculine #Forgiveness #ExNurseApologyTour","Linda Chapman","https://t.co/TITTEYgLsV","1113467304271122432","Sarasota, FL",0,0,0,0,0,1114,2280,15150,6,"🐢🙏💔🙏🐦 Sarasota | Wastewater spill may have long-term impact on Sarasota Bay https://t.co/OTHhhxkmKM"
"29","“We’re really afraid of the ecological consequences and right now today, we’re worried about the health and potential human impacts."" . https   www mysuncoast com 2020 07 01 crews stop massive wastewater spill states dep says much million gallons could have spilled near sarasota bay",2020-07-02 14:15:00,FALSE,"9581122","1278693660834529281","everyone","1278693660834529281","en",NA,"https://pbs.twimg.com/profile_images/1012040604619034624/Rcn4ySrr_normal.jpg","mysuncoast",TRUE,FALSE,"2007-10-21T15:57:27.000Z","ABC7 is the news leader in Sarasota/Manatee counties. News tip? 941-923-6397 or news@mysuncoast.com. Share pics/vids with us thru https://t.co/w4B9r5SLV1","ABC7 Sarasota","http://t.co/nQUeAxZ5Ke",NA,"Sarasota, Florida",2,1,2,2,0,67055,855,89769,690,"“We’re really afraid of the ecological consequences and right now today, we’re worried about the health and potential human impacts."" https://t.co/shcaF27LPc"
"30","@mysuncoast Forget the humans, we need the animals",2020-07-02 14:41:23,FALSE,"1265826937177505793","1278700301772640261","everyone","1278693660834529281","en","9581122","https://pbs.twimg.com/profile_images/1265827397775097858/VCAv54tW_normal.jpg","Veronic59997651",FALSE,FALSE,"2020-05-28T02:07:32.000Z","Informative and Factual","Richie & Veronica",NA,NA,NA,0,0,0,0,0,5,221,378,0,NA
"31","RT @mysuncoast: “We’re really afraid of the ecological consequences and right now today, we’re worried about the health and potential human…",2020-07-02 16:16:18,FALSE,"3437337791","1278724189554380801","everyone","1278724189554380801","en",NA,"https://pbs.twimg.com/profile_images/1221291032224071680/zJqAENvR_normal.jpg","LohrKrista",FALSE,FALSE,"2015-08-23T22:54:17.000Z","","Krista Lohr",NA,NA,"sarasota ",2,0,0,0,0,155,346,2981,1,"“We’re really afraid of the ecological consequences and right now today, we’re worried about the health and potential human impacts."" https://t.co/shcaF27LPc"
"32","Break in main wastewater sewer line in Manatee County. 

“We’re really afraid of the ecological consequences and right now today, we’re worried about the health and potential human impacts,” said Justin Bloom, Founder of Suncoast Waterkeeper. 

. https   www mysuncoast com 2020 07 01 crews stop massive wastewater spill states dep says much million gallons could have spilled near sarasota bay",2020-07-07 19:43:00,FALSE,"1046953802245578753","1280588146401587201","everyone","1280588146401587201","en",NA,"https://pbs.twimg.com/profile_images/1046954462252650496/fAI8sUWg_normal.jpg","HelpFloridaHeal",FALSE,FALSE,"2018-10-02T02:43:32.000Z","We are a nonpartisan group of FL citizens demanding that our politicians take action to help Florida heal from the red tide and green algae poisoning our state.","Help Florida Heal","https://t.co/nrcNO8vykn","1304150592277929984","Boca Grande, FL",1,0,0,1,0,147,347,1461,2,"Break in main wastewater sewer line in Manatee County. 

“We’re really afraid of the ecological consequences and right now today, we’re worried about the health and potential human impacts,” said Justin Bloom, Founder of Suncoast Waterkeeper. 

https://t.co/jp21kOMit5"
"33","Also in this week's water and wastewater news, the U.S. Environmental Protection Agency will prohibit companies from manufacturing, processing or importing products containing certain long-chain PFAS without prior approval
. https   www tpomag com online_exclusives 2020 07 news briefs large wastewater spill concerns sarasota bay residents",2020-07-09 21:00:54,FALSE,"166524131","1281332526523600897","everyone","1281332526523600897","en",NA,"https://pbs.twimg.com/profile_images/1681814623/tpo_icon_normal.png","TPOmag",FALSE,FALSE,"2010-07-14T10:56:02.000Z","Dedicated to Municipal Wastewater Treatment Professionals - Treatment Plant Operator Magazine","TPO Magazine","http://t.co/dJpCXiXAwL",NA,NA,1,0,1,0,0,2246,57,6613,56,"Also in this week's water and wastewater news, the U.S. Environmental Protection Agency will prohibit companies from manufacturing, processing or importing products containing certain long-chain PFAS without prior approval
https://t.co/nm7RyNRVtV"
"34","RT @TPOmag: Also in this week's water and wastewater news, the U.S. Environmental Protection Agency will prohibit companies from manufactur…",2020-07-09 23:51:04,FALSE,"269969362","1281375349427908608","everyone","1281375349427908608","en",NA,"https://pbs.twimg.com/profile_images/1304625206078722051/BBmfKFiq_normal.jpg","RadkeH2O",FALSE,FALSE,"2011-03-21T19:42:58.000Z","A nerd who's passions include water, BTS, Nationals baseball, and laughter.","Christine Radke",NA,NA,"Northern VA",1,0,0,0,0,938,803,7257,38,"Also in this week's water and wastewater news, the U.S. Environmental Protection Agency will prohibit companies from manufacturing, processing or importing products containing certain long-chain PFAS without prior approval
https://t.co/nm7RyNRVtV"
"35","The town of Longboat Key has been fined over $242,000 by the @FLDEPNews  for a sewage break and ensuing spill that occurred in June sending around 28 million gallons of #sewage wastewater into #Sarasota Bay in June . https   thebradentontimes com longboat key fined for sarasota bay sewage spill p22231 158 htm",2020-10-07 12:01:11,FALSE,"1088196428961406976","1313811606900559873","everyone","1313811606900559873","en",NA,"https://pbs.twimg.com/profile_images/1088562451866501120/isA81Jbq_normal.jpg","awsproject",FALSE,FALSE,"2019-01-23T22:07:01.000Z","Promoting the need for #sewage and #wastewater #infrastructure upgrades and repairs, #ethical treatment of wastewater, and protection of our nation's waters","American Water Security Project","https://t.co/AR8sz1dyFZ",NA,NA,0,0,0,0,0,92,95,1368,1,"The town of Longboat Key has been fined over $242,000 by the @FLDEPNews  for a sewage break and ensuing spill that occurred in June sending around 28 million gallons of #sewage wastewater into #Sarasota Bay in June https://t.co/DVe0xRcfBm"
"36","SARASOTA, Fla. – After a leak in the liner of a reservoir caused a partial breach in one of its containment walls, officials hope pumping 30 M gallons of wastewater into the Tampa Bay ecosystem will relieve pressure on the walls &amp; reduce chance of an uncontrolled major breach. . https   twitter com drummike2012 status 1379118259291688967",2021-04-05 18:13:26,FALSE,"111101761","1379135105751375875","everyone","1379135105751375875","en",NA,"https://pbs.twimg.com/profile_images/1481480644760801280/pzztGkKw_normal.jpg","snapshutter",FALSE,FALSE,"2010-02-03T20:35:05.000Z","My F-bombs drop F-bombs. When I comb my hair nice-my horns don't show. Nov 13 ♏️ he/him 🚫DM’s ! 🇨🇦🇺🇸🏳️‍🌈 #LGBTQIA+ #BLM #BlueCrew","Rotten Robbie",NA,"1305194450025500672","North of Seattle ",0,1,0,0,0,33643,35387,61997,16,"SARASOTA, Fla. – After a leak in the liner of a reservoir caused a partial breach in one of its containment walls, officials hope pumping 30 M gallons of wastewater into the Tampa Bay ecosystem will relieve pressure on the walls &amp; reduce chance of an uncontrolled major breach. https://t.co/9C33jS5BX7"
"37","@snapshutter Oh, no. 🤬",2021-04-05 18:22:11,FALSE,"824684964105113600","1379137307496869888","everyone","1379135105751375875","en","111101761","https://pbs.twimg.com/profile_images/1563335181775151105/cT9HI6fg_normal.jpg","mrsmushnik",FALSE,FALSE,"2017-01-26T18:26:32.000Z","JFC! Arrest the insurrectionists!  #FightFascism #BlackLivesMatter #MMIWG2S #LoveIsLove 🇺🇦🏳️‍🌈","Steph 🐝 ☮️💙",NA,NA,"Earth  🌎",0,0,1,0,0,2398,2744,16440,2,NA
