"","text","id","reply_settings","possibly_sensitive","created_at.x","lang","author_id","conversation_id","in_reply_to_user_id","created_at.y","name","username","location","description","protected","url","pinned_tweet_id","profile_image_url","verified","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"11","RT @WFLAEd: Reminder...We've got some #RedTide issues along Sarasota &amp; Manatee County beaches. Here's wher you can find more info.
https://…","1006167612034813952","everyone",FALSE,2018-06-11 13:33:47,"en","18091082","1006167612034813952",NA,"2008-12-13T01:37:59.000Z","Kathy Karalekas","kathyk671","Tampa, FL","Florida girl. Disney geek. Sports aficionado. Former TV news promo producer. Writer @thetampabaymoms. @planDisney panelist 2015/19/21. Frog-a-phobe.",FALSE,NA,"1567846072579506176","https://pbs.twimg.com/profile_images/1574824799540580360/o0Dcr5V9_normal.jpg",FALSE,6,0,0,0,0,NA,2313,1632,33034,71,"Reminder...We've got some #RedTide issues along Sarasota &amp; Manatee County beaches. Here's wher you can find more info.
https://t.co/ZLNxcFnioH https://t.co/P6Wd9NIP7a"
"12","RT @WFLAEd: Reminder...We've got some #RedTide issues along Sarasota &amp; Manatee County beaches. Here's wher you can find more info.
https://…","1006262154889170945","everyone",FALSE,2018-06-11 19:49:27,"en","1627501111","1006262154889170945",NA,"2013-07-28T09:16:16.000Z","MC Wilkins","mcwilkins63",NA,"",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/761774660988043265/yQguu_ql_normal.jpg",FALSE,6,0,0,0,0,NA,158,76,287184,29,"Reminder...We've got some #RedTide issues along Sarasota &amp; Manatee County beaches. Here's wher you can find more info.
https://t.co/ZLNxcFnioH https://t.co/P6Wd9NIP7a"
"13","Noticing some upper respiratory issues? Please be aware of the #redtide that could be causing these issues! Click the link BELOW to read more! 🌊

#redtide #sarasota #florida #beach #ocean #siestakey #longboatkey #lidokey . https   www wtsp com article news local sarasotacounty red tide could cause respiratory issues in sarasota county weather service warns 67 565540131","1009075079945293824","everyone",FALSE,2018-06-19 14:07:01,"en","108846998","1009075079945293824",NA,"2010-01-27T05:31:50.000Z","Brandy Coffey","BrandyCoffey","Sarasota, Florida USA","Brandy believes the basic tenets of service should be knowledge, honesty, loyalty, and trust. 
(941) 404-4737",FALSE,"https://t.co/rAhDFQnMCP",NA,"https://pbs.twimg.com/profile_images/1179770524223696898/SgYm9AaC_normal.jpg",FALSE,0,0,0,0,0,NA,1132,1026,11653,42,"Noticing some upper respiratory issues? Please be aware of the #redtide that could be causing these issues! Click the link BELOW to read more! 🌊

#redtide #sarasota #florida #beach #ocean #siestakey #longboatkey #lidokey https://t.co/DejH7RBsn3"
"14","Red tide still lingering at Sarasota, Manatee County beaches  #redtide. http   heraldtribune com news 20180628 red tide still lingering at sarasota manatee county beaches","1012697308801196032","everyone",FALSE,2018-06-29 14:00:28,"en","491451140","1012697308801196032",NA,"2012-02-13T17:06:12.000Z","Kobee Manatee®","KobeeManatee","Florida","Hi!  I'm a West Indian manatee and I'm also called Florida Manatee! Get more updates here: https://t.co/rphtIgOlyh",FALSE,"http://t.co/YMrzQZZFV0",NA,"https://pbs.twimg.com/profile_images/466621926626975744/tDF7wAZT_normal.jpeg",FALSE,0,0,1,0,0,NA,2300,2988,21100,128,"Red tide still lingering at Sarasota, Manatee County beaches https://t.co/0z06DvUm2k #redtide"
"15","I remember #redtide as a kid - it was never like this.  This year has already killed many egg-carrying fish, sea turtles, and manatees. Part of protecting species is by protecting them from runoff that propels red tide in the gulf. #SaveOurSeas  . http   www heraldtribune com news 20180628 red tide still lingering at sarasota manatee county beaches","1013796298842169344","everyone",FALSE,2018-07-02 14:47:27,"en","983540772187320321","1013796298842169344",NA,"2018-04-10T03:02:48.000Z","Tony Mowry","tonyfor74","Venice, FL","United States Air Force JAG, father, attorney, Venetian and candidate for the Florida House of Representatives, District 74.",FALSE,"https://t.co/ws9fcI2WM0",NA,"https://pbs.twimg.com/profile_images/1003810573203668998/u7jgbi5y_normal.jpg",FALSE,7,1,9,0,0,NA,410,702,156,2,"I remember #redtide as a kid - it was never like this.  This year has already killed many egg-carrying fish, sea turtles, and manatees. Part of protecting species is by protecting them from runoff that propels red tide in the gulf. #SaveOurSeas  https://t.co/RhCcePvknH"
"16","Red tide still lingering at Sarasota, Manatee County beaches  #redtide. http   heraldtribune com news 20180628 red tide still lingering at sarasota manatee county beaches","1013799709109096449","everyone",FALSE,2018-07-02 15:01:00,"en","491451140","1013799709109096449",NA,"2012-02-13T17:06:12.000Z","Kobee Manatee®","KobeeManatee","Florida","Hi!  I'm a West Indian manatee and I'm also called Florida Manatee! Get more updates here: https://t.co/rphtIgOlyh",FALSE,"http://t.co/YMrzQZZFV0",NA,"https://pbs.twimg.com/profile_images/466621926626975744/tDF7wAZT_normal.jpeg",FALSE,0,0,1,0,0,NA,2300,2988,21100,128,"Red tide still lingering at Sarasota, Manatee County beaches https://t.co/0z06DvUm2k #redtide"
"17","RT @tonyfor74: I remember #redtide as a kid - it was never like this.  This year has already killed many egg-carrying fish, sea turtles, an…","1013801926247550977","everyone",FALSE,2018-07-02 15:09:49,"en","824254582540869632","1013801926247550977",NA,"2017-01-25T13:56:21.000Z","Kevin Griffith","kevinmgriffith","Florida, USA","Husband. Dad. RPCV. Sarasotan.",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/824629599992762369/bT4UyqGg_normal.jpg",FALSE,7,0,0,0,0,NA,216,605,826,8,"I remember #redtide as a kid - it was never like this.  This year has already killed many egg-carrying fish, sea turtles, and manatees. Part of protecting species is by protecting them from runoff that propels red tide in the gulf. #SaveOurSeas  https://t.co/RhCcePvknH"
"18","RT @tonyfor74: I remember #redtide as a kid - it was never like this.  This year has already killed many egg-carrying fish, sea turtles, an…","1013860376251895813","everyone",FALSE,2018-07-02 19:02:04,"en","3437337791","1013860376251895813",NA,"2015-08-23T22:54:17.000Z","Krista Lohr","LohrKrista","sarasota ","",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/1221291032224071680/zJqAENvR_normal.jpg",FALSE,7,0,0,0,0,NA,155,346,2981,1,"I remember #redtide as a kid - it was never like this.  This year has already killed many egg-carrying fish, sea turtles, and manatees. Part of protecting species is by protecting them from runoff that propels red tide in the gulf. #SaveOurSeas  https://t.co/RhCcePvknH"
"19","RT @tonyfor74: I remember #redtide as a kid - it was never like this.  This year has already killed many egg-carrying fish, sea turtles, an…","1016322399808180224","everyone",FALSE,2018-07-09 14:05:17,"en","328711586","1016322399808180224",NA,"2011-07-03T22:01:45.000Z","Sarasota Alliance for Fair Elections","keepdemocracy","Sarasota County, Florida","SAFE is a nonpartisan, nonprofit grassroots organization promoting election reform and campaign finance reform. In 2018 we focused on single member districts.",FALSE,NA,"1123680644150833154","https://pbs.twimg.com/profile_images/1002234635412279296/-v9uyzgu_normal.jpg",FALSE,7,0,0,0,0,NA,522,2146,907,4,"I remember #redtide as a kid - it was never like this.  This year has already killed many egg-carrying fish, sea turtles, and manatees. Part of protecting species is by protecting them from runoff that propels red tide in the gulf. #SaveOurSeas  https://t.co/RhCcePvknH"
"20","RT @tonyfor74: I remember #redtide as a kid - it was never like this.  This year has already killed many egg-carrying fish, sea turtles, an…","1016323383162802181","everyone",FALSE,2018-07-09 14:09:11,"en","974094774775922688","1016323383162802181",NA,"2018-03-15T01:27:46.000Z","Dr. Parisima Taeb for FL House 78","ParisimaTaeb","Fort Myers, FL","Running for FL House District 78 (Lee County area): Mother, Physician, Small business owner, Marjory Stoneman Douglas Alumna: https://t.co/yEZ4ru1pP2",FALSE,"https://t.co/c1iEyTchdD","1054843392990109696","https://pbs.twimg.com/profile_images/1013359078058479616/Gkh-PHNZ_normal.jpg",FALSE,7,0,0,0,0,NA,570,719,996,4,"I remember #redtide as a kid - it was never like this.  This year has already killed many egg-carrying fish, sea turtles, and manatees. Part of protecting species is by protecting them from runoff that propels red tide in the gulf. #SaveOurSeas  https://t.co/RhCcePvknH"
"21","RT @tonyfor74: I remember #redtide as a kid - it was never like this.  This year has already killed many egg-carrying fish, sea turtles, an…","1016323542227587072","everyone",FALSE,2018-07-09 14:09:49,"en","900183725417410561","1016323542227587072",NA,"2017-08-23T02:31:39.000Z","☮️🇺🇦Justice is Coming","cantescape2020","USA","#TheResistance #BLM, #codifyRoe #ERA Now! #lockTrumpup #expand thecourt #ROEVEMBER",FALSE,NA,"1307134932557402113","https://pbs.twimg.com/profile_images/1557819594798206977/m6dSVt1T_normal.jpg",FALSE,7,0,0,0,0,NA,3957,4909,201236,3,"I remember #redtide as a kid - it was never like this.  This year has already killed many egg-carrying fish, sea turtles, and manatees. Part of protecting species is by protecting them from runoff that propels red tide in the gulf. #SaveOurSeas  https://t.co/RhCcePvknH"
"22","RT @tonyfor74: I remember #redtide as a kid - it was never like this.  This year has already killed many egg-carrying fish, sea turtles, an…","1016331559044075520","everyone",FALSE,2018-07-09 14:41:40,"en","24817432","1016331559044075520",NA,"2009-03-17T01:50:28.000Z","Rose von Perbandt","MiraclesArt","Seminole Territory","Lateral thinker",FALSE,NA,"1589815044099170305","https://pbs.twimg.com/profile_images/1184661745186562049/gBxwdf80_normal.jpg",FALSE,7,0,0,0,0,NA,3299,4143,339261,4,"I remember #redtide as a kid - it was never like this.  This year has already killed many egg-carrying fish, sea turtles, and manatees. Part of protecting species is by protecting them from runoff that propels red tide in the gulf. #SaveOurSeas  https://t.co/RhCcePvknH"
"23","@tonyfor74 @ParisimaTaeb Anyone who votes for the environment destroying GOP is complicit is this destruction.","1016331733002870796","everyone",FALSE,2018-07-09 14:42:22,"en","24817432","1013796298842169344","983540772187320321","2009-03-17T01:50:28.000Z","Rose von Perbandt","MiraclesArt","Seminole Territory","Lateral thinker",FALSE,NA,"1589815044099170305","https://pbs.twimg.com/profile_images/1184661745186562049/gBxwdf80_normal.jpg",FALSE,0,0,0,0,0,NA,3306,4151,339990,4,NA
"24","A patchy bloom of the Florida red tide organism, Karenia brevis, persists in Southwest Florida.
 
In Southwest Florida over the past week, K. brevis was observed at background concentrations in one sample collected from Manatee County,... . https   floridadep gov dear algal bloom","1017843502129078279","everyone",FALSE,2018-07-13 18:49:36,"en","3323529387","1017843502129078279",NA,"2015-06-13T20:03:03.000Z","Eco-Voice","eco_voice","South Florida","A non-partisan, independent, volunteer run org, which endeavors to communicate multiple positions on important environmental issues effecting south Florida.",FALSE,"http://t.co/73f8BdQGYP",NA,"https://pbs.twimg.com/profile_images/638127626402402304/Z71sdYyG_normal.jpg",FALSE,0,0,0,0,0,NA,304,616,14115,7,"A patchy bloom of the Florida red tide organism, Karenia brevis, persists in Southwest Florida.
 
In Southwest Florida over the past week, K. brevis was observed at background concentrations in one sample collected from Manatee County,... https://t.co/Kl0gbpObEb"
"25","It's coming #LongboatKey #AnnaMarie ..... 

Here is #SiestaKey 

#FishKill #RedTide
. https   www youtube com watch","1024467202404216832","everyone",FALSE,2018-08-01 01:29:49,"en","578516563","1024467202404216832",NA,"2012-05-13T00:32:41.000Z","gary","gporter812",NA,"Proud kid raised in a barn. My playgrounds were on the backside of 🐎racetracks.

It is easier to fool the people, than to convince them they have been fooled.",FALSE,NA,"1598475194154340353","https://pbs.twimg.com/profile_images/1511849726953545737/PVAmk6PV_normal.jpg",FALSE,0,0,0,0,0,NA,440,412,53384,3,"It's coming #LongboatKey #AnnaMarie ..... 

Here is #SiestaKey 

#FishKill #RedTide
https://t.co/7x8XnsDF0T"
"26","The k. brevis algae bloom #RedTide affecting Southwest Florida has not affected beaches north of Sarasota County. We are very busy at BeachHorses in Bradenton and at WaterHorses in St. Pete. . https   twitter com BeachHorsescom status 1024780317641646081 photo 1","1024780317641646081","everyone",FALSE,2018-08-01 22:14:01,"en","554451482","1024780317641646081",NA,"2012-04-15T16:09:04.000Z","The Real BeachHorses","BeachHorsescom","Florida USA","Horseback riding in SW Florida. on the beach, in the water, and on the trails. Owned by Great World Adventures. Est. 2008",FALSE,"https://t.co/RJleoYpMQv","1264739800374009857","https://pbs.twimg.com/profile_images/1224761384841420800/w7PZqgXq_normal.jpg",FALSE,0,2,2,0,0,NA,508,1013,1714,3,"The k. brevis algae bloom #RedTide affecting Southwest Florida has not affected beaches north of Sarasota County. We are very busy at BeachHorses in Bradenton and at WaterHorses in St. Pete. https://t.co/tYQv4JJXXL"
"27","@BeachHorsescom Are they public beaches? If so what time do@you open?","1024781285938614272","everyone",FALSE,2018-08-01 22:17:52,"en","22065097","1024780317641646081","554451482","2009-02-26T21:30:43.000Z","Mr. Skeeter","redskeeter","Chicagoland","You have the right to free speech!! Provided of course you’re actually dumb enough to try it. Know your rights!!",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/1515554677261312000/hk1MyqWJ_normal.jpg",FALSE,0,0,0,0,0,NA,275,1793,27881,2,NA
"28","MOTE employee explaining what happened to the turtle. #turtle #turtlesofinstagram #loggerhead #loggerheadturtle #wildlife #wildliferescue #annamariaisland #florida #MOTE #redtide… . https   www instagram com p Bl vNf_H zP","1025030153804677120","everyone",FALSE,2018-08-02 14:46:47,"en","39622281","1025030153804677120",NA,"2009-05-12T23:07:08.000Z","Skylar Peak","SuzyP39","Kentucky","I am a model and Pageant girl who loves God and her family and her Dog Reece.",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/1013642548504604672/7SDFuOjl_normal.jpg",FALSE,0,0,0,0,0,"3c2aec1245cb0d0c",59,313,1855,0,"MOTE employee explaining what happened to the turtle. #turtle #turtlesofinstagram #loggerhead #loggerheadturtle #wildlife #wildliferescue #annamariaisland #florida #MOTE #redtide… https://t.co/rKo1C44Pnq"
"29","Coquina Beach and Bradenton Beach are great alternatives today if you want to avoid #RedTide in @SiestaKey and surrounding beaches. Just a a short 45 min drive along the coast. Beautiful beaches. . https   twitter com jaimevelez status 1025052747220103174 photo 1","1025052747220103174","everyone",FALSE,2018-08-02 16:16:34,"en","13916022","1025052747220103174",NA,"2008-02-24T22:04:17.000Z","Jaime Velez","jaimevelez","Wheaton, IL","Chief Empathy Officer & Organizational Change Management Expert. Army Vet.
Helping orgs succesfuly navigate the people side of #DigitalTransformation. 👨🏻‍💻",FALSE,"https://t.co/MjF7CkayJR","1516070830891061248","https://pbs.twimg.com/profile_images/1385069559108014083/d8NgaRWb_normal.jpg",FALSE,0,1,5,0,0,NA,588,1616,2916,123,"Coquina Beach and Bradenton Beach are great alternatives today if you want to avoid #RedTide in @SiestaKey and surrounding beaches. Just a a short 45 min drive along the coast. Beautiful beaches. https://t.co/CI99USLrM9"
"30","@jaimevelez @SiestaKey Is this a pic from today?","1025059755885309952","everyone",FALSE,2018-08-02 16:44:25,"en","65301471","1025052747220103174","13916022","2009-08-13T06:58:24.000Z","Justin","clarklsn2001","Kansas City, MO","Entrepreneur, Biotech Investor/Trader. May have positions in the stocks I mention, however my tweets are not investment advice.",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/1506272823471489024/f-a8TL_B_normal.jpg",FALSE,0,1,0,0,0,NA,451,677,3811,20,NA
"31","@clarklsn2001 @SiestaKey Yes it was! Water and weather was perfect.","1025137007356518404","everyone",FALSE,2018-08-02 21:51:23,"en","13916022","1025052747220103174","65301471","2008-02-24T22:04:17.000Z","Jaime Velez","jaimevelez","Wheaton, IL","Chief Empathy Officer & Organizational Change Management Expert. Army Vet.
Helping orgs succesfuly navigate the people side of #DigitalTransformation. 👨🏻‍💻",FALSE,"https://t.co/MjF7CkayJR","1516070830891061248","https://pbs.twimg.com/profile_images/1385069559108014083/d8NgaRWb_normal.jpg",FALSE,0,2,1,0,0,NA,588,1616,2915,123,NA
"32","MOTE employee explaining what happened to the turtle. #turtle #turtlesofinstagram #loggerhead #loggerheadturtle #wildlife #wildliferescue #annamariaisland #florida #MOTE #redtide #tracking… . https   www instagram com p Bl vNf_H zP","1025149633037824001","everyone",FALSE,2018-08-02 22:41:33,"en","39622281","1025149633037824001",NA,"2009-05-12T23:07:08.000Z","Skylar Peak","SuzyP39","Kentucky","I am a model and Pageant girl who loves God and her family and her Dog Reece.",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/1013642548504604672/7SDFuOjl_normal.jpg",FALSE,0,0,0,0,0,"3c2aec1245cb0d0c",59,313,1855,0,"MOTE employee explaining what happened to the turtle. #turtle #turtlesofinstagram #loggerhead #loggerheadturtle #wildlife #wildliferescue #annamariaisland #florida #MOTE #redtide #tracking… https://t.co/werQYl8BfI"
"33","Our story on the terrible #RedTide in SWFL that now reaches as far north as Sarasota County. Researchers predict it may very well end up on Manatee County shores in the coming days. #readlocal @Gsabella @saranealeigh @bradentonherald . https   www bradenton com news local article215966155 html","1025159047224459265","everyone",FALSE,2018-08-02 23:18:58,"en","35984854","1025159047224459265",NA,"2009-04-28T04:12:30.000Z","Samantha Putterman","SamPutterman","Florida, USA","Covering misinformation @PolitiFact. Former: @Bradentonherald @TB_Times. Fan of dogs, coffee, news & dogs. Tips: sputterman@poynter.org",FALSE,"https://t.co/BCOBpCDHlV",NA,"https://pbs.twimg.com/profile_images/1162065799693119489/wZV3E7_Y_normal.jpg",FALSE,3,0,3,1,0,NA,1321,1223,5892,57,"Our story on the terrible #RedTide in SWFL that now reaches as far north as Sarasota County. Researchers predict it may very well end up on Manatee County shores in the coming days. #readlocal @Gsabella @saranealeigh @bradentonherald https://t.co/rr9umqlyNv"
"34","RT @SamPutterman: Our story on the terrible #RedTide in SWFL that now reaches as far north as Sarasota County. Researchers predict it may v…","1025159147959013377","everyone",FALSE,2018-08-02 23:19:22,"en","14539292","1025159147959013377",NA,"2008-04-26T03:49:23.000Z","rickhirsch","rickhirsch","Miami","Journalist. Talent scout. Recovering newsaholic. Former managing editor at the Miami Herald.",FALSE,"https://t.co/2v6PayddUf",NA,"https://pbs.twimg.com/profile_images/1327600466772054018/3dGb3ymr_normal.jpg",TRUE,3,0,0,0,0,NA,6029,1530,11525,220,"Our story on the terrible #RedTide in SWFL that now reaches as far north as Sarasota County. Researchers predict it may very well end up on Manatee County shores in the coming days. #readlocal @Gsabella @saranealeigh @bradentonherald https://t.co/rr9umqlyNv"
"35","RT @SamPutterman: Our story on the terrible #RedTide in SWFL that now reaches as far north as Sarasota County. Researchers predict it may v…","1025174876468994054","everyone",FALSE,2018-08-03 00:21:52,"en","746229368","1025174876468994054",NA,"2012-08-09T00:38:36.000Z","Mike Garbett","MGarbett52","Riverview, FL","Real time news editor @McClatchy || Past @bradentonherald || Tampa Tribune || @AUG_Chronicle || Proud NJ native now living in the Sunshine State",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/766225027826057216/rN1ol4wo_normal.jpg",TRUE,3,0,0,0,0,NA,351,209,925,13,"Our story on the terrible #RedTide in SWFL that now reaches as far north as Sarasota County. Researchers predict it may very well end up on Manatee County shores in the coming days. #readlocal @Gsabella @saranealeigh @bradentonherald https://t.co/rr9umqlyNv"
